idx,y_true,y_pred,dimension_label,response,raw,dim_pred
89,0,0,2_mood,I can easily manage my mood.,"2_mood, 0",2_mood
90,0,0,2_mood,My emotions are stable.,"2_mood, 0",2_mood
91,0,0,2_mood,I feel relaxed and content.,"2_mood, 0",2_mood
92,0,0,2_mood,I’m in a good mood today.,"2_mood, 0",2_mood
93,0,0,2_mood,"No mood issues, I feel stable.","2_mood, 0",2_mood
94,0,0,2_mood,I don’t have any emotional distress.,"2_mood, 0",2_mood
95,0,0,2_mood,Everything seems fine emotionally.,"2_mood, 0",2_mood
96,0,0,2_mood,I feel emotionally balanced.,"2_mood, 0",2_mood
97,0,0,2_mood,No major mood changes for me.,"2_mood, 0",2_mood
98,0,0,2_mood,I'm feeling cheerful.,"2_mood, 0",2_mood
99,0,0,2_mood,I feel emotionally strong.,"2_mood, 0",2_mood
100,0,0,2_mood,I feel happy most of the time.,"2_mood, 0",2_mood
101,0,0,2_mood,I have a stable mood throughout the day.,"2_mood, 0",2_mood
102,0,0,2_mood,I don’t feel stressed or anxious.,"2_mood, 0",2_mood
103,0,0,2_mood,I’ve been feeling optimistic.,"2_mood, 0",2_mood
104,0,0,2_mood,I'm feeling energetic and upbeat.,"2_mood, 0",2_mood
105,0,0,2_mood,I feel emotionally in control.,"2_mood, 0",2_mood
106,0,0,2_mood,My emotions are manageable.,"2_mood, 0",2_mood
107,0,0,2_mood,I haven’t had any mood swings recently.,"2_mood, 0",2_mood
108,0,0,2_mood,I feel emotionally well.,"2_mood, 0",2_mood
109,0,0,2_mood,I have a positive outlook.,"2_mood, 0",2_mood
110,0,0,2_mood,I feel hopeful about things.,"2_mood, 0",2_mood
111,0,0,2_mood,I'm maintaining a good mental state.,"2_mood, 0",2_mood
112,0,0,2_mood,I'm emotionally resilient.,"32_coping, 0",32_coping
113,0,0,2_mood,I feel lighthearted.,"2_mood, 0",2_mood
114,0,0,2_mood,I'm feeling emotionally steady.,"2_mood, 0",2_mood
115,0,0,2_mood,I feel like my usual self.,"2_mood, 0",2_mood
116,0,0,2_mood,I feel at peace with everything.,"2_mood, 0",2_mood
117,0,0,2_mood,I’m content with how things are.,"2_mood, 0",2_mood
118,0,0,2_mood,I don’t feel overwhelmed.,"2_mood, 0",2_mood
119,0,0,2_mood,I feel emotionally refreshed.,"2_mood, 0",2_mood
120,0,0,2_mood,My mind is at ease.,"2_mood, 0",2_mood
121,0,0,2_mood,I’m in a calm and relaxed mood.,"2_mood, 0",2_mood
122,0,0,2_mood,I feel stable emotionally and mentally.,"2_mood, 0",2_mood
123,0,0,2_mood,"No big mood shifts, I feel good.","2_mood, 0",2_mood
124,0,0,2_mood,"I had a great weekend, and I’m feeling really refreshed!","2_mood, 0",2_mood
125,0,0,2_mood,"Things have been going well, and I’ve been feeling happy and content.","2_mood, 0",2_mood
126,0,0,2_mood,"I feel at peace with where I am right now, no major worries on my mind.","2_mood, 0",2_mood
127,0,0,2_mood,"I’ve been making time for things I enjoy, and it’s helping me stay in a good mood.","23_leisure, 0",23_leisure
128,1,1,2_mood,I have mood swings.,"2_mood, 1",2_mood
129,1,1,2_mood,I am stressed out.,"2_mood, 1",2_mood
130,1,1,2_mood,I am frustrated.,"2_mood, 1",2_mood
131,1,1,2_mood,I feel dejected.,"2_mood, 1",2_mood
132,1,1,2_mood,I feel frustrated.,"2_mood, 1",2_mood
133,1,0,2_mood,I don't have anything to tell about my mood.,"2_mood, 0",2_mood
134,1,1,2_mood,My mood doesn't go well.,"2_mood, 1",2_mood
135,1,1,2_mood,I feel homesick.,"2_mood, 1",2_mood
136,1,1,2_mood,I am not doing well.,"2_mood, 1",2_mood
137,1,1,2_mood,I am just upset.,"2_mood, 1",2_mood
138,1,1,2_mood,I am a little bit upset these days.,"2_mood, 1",2_mood
139,1,1,2_mood,I am sad.,"2_mood, 1",2_mood
140,1,1,2_mood,I am anxious.,"2_mood, 1",2_mood
141,1,1,2_mood,I am a little bit angst.,"2_mood, 1",2_mood
142,1,1,2_mood,I feel anxious.,"2_mood, 1",2_mood
143,1,1,2_mood,I experience mood swings.,"2_mood, 1",2_mood
144,1,1,2_mood,I feel dispirited.,"2_mood, 1",2_mood
145,1,1,2_mood,I feel depressed.,"2_mood, 1",2_mood
146,1,1,2_mood,I am bad-tempered.,"2_mood, 1",2_mood
147,1,1,2_mood,I am unhappy.,"2_mood, 1",2_mood
148,1,1,2_mood,I'm feeling a little unstable.,"2_mood, 1",2_mood
149,1,1,2_mood,I feel a little off today.,"2_mood, 1",2_mood
150,1,1,2_mood,I've been feeling a bit low.,"2_mood, 1",2_mood
151,1,1,2_mood,I'm having some minor mood swings.,"2_mood, 1",2_mood
152,1,1,2_mood,"Some days I feel down, but it's manageable.","2_mood, 1",2_mood
153,1,1,2_mood,I feel a bit irritable lately.,"2_mood, 1",2_mood
154,1,1,2_mood,I get sad occasionally.,"2_mood, 1",2_mood
155,1,1,2_mood,My emotions are a little unpredictable.,"2_mood, 1",2_mood
156,1,1,2_mood,I’ve been feeling somewhat anxious.,"2_mood, 1",2_mood
157,1,1,2_mood,I have some mood fluctuations.,"2_mood, 1",2_mood
158,1,1,2_mood,I’m feeling slightly overwhelmed.,"2_mood, 1",2_mood
159,1,1,2_mood,I get stressed easily these days.,"2_mood, 1",2_mood
160,1,1,2_mood,I have minor mood swings now and then.,"2_mood, 1",2_mood
161,1,1,2_mood,I'm dealing with some emotional stress.,"2_mood, 1",2_mood
162,1,1,2_mood,I have been feeling slightly uneasy.,"2_mood, 1",2_mood
163,1,1,2_mood,"I get emotional sometimes, but it's not extreme.","2_mood, 1",2_mood
164,1,1,2_mood,I've had some moments of sadness.,"2_mood, 1",2_mood
165,1,1,2_mood,I occasionally feel down without a reason.,"2_mood, 1",2_mood
166,1,1,2_mood,I've been feeling a little off-balance emotionally.,"2_mood, 1",2_mood
167,1,1,2_mood,I have some trouble managing stress.,"32_coping, 1",32_coping
168,1,1,2_mood,My mood is slightly unstable.,"2_mood, 1",2_mood
169,1,1,2_mood,"I sometimes feel lonely, but it’s not too bad.","26_support_social, 1",26_support_social
170,1,1,2_mood,I’ve been feeling unmotivated.,"31_motivation, 1",31_Motivation
171,1,1,2_mood,I'm a little on edge.,"2_mood, 1",2_mood
172,1,1,2_mood,I have small emotional ups and downs.,"2_mood, 1",2_mood
173,1,1,2_mood,I feel like I need a break emotionally.,"2_mood, 1",2_mood
174,1,1,2_mood,I feel mentally drained but not overwhelmed.,"2_mood, 1",2_mood
175,1,1,2_mood,I'm experiencing some tension.,"2_mood, 1",2_mood
176,1,1,2_mood,My mood has been fluctuating mildly.,"2_mood, 1",2_mood
177,1,1,2_mood,I’m slightly more irritable than usual.,"2_mood, 1",2_mood
178,1,1,2_mood,I’ve been feeling a little restless.,"2_mood, 1",2_mood
179,1,1,2_mood,"I’m managing my emotions, but it takes effort.","2_mood, 1",2_mood
180,1,1,2_mood,"I’ve been feeling a bit off, but I’m trying to stay positive and push through it.","2_mood, 1",2_mood
181,1,1,2_mood,"Work has been stressful lately, and I find myself feeling more irritable than usual.","2_mood, 1",2_mood
182,1,1,2_mood,"I have moments where I feel down, but I try to distract myself with hobbies.","2_mood, 1",2_mood
183,1,1,2_mood,"I feel like I’m on an emotional rollercoaster, some good days, some not so great.","2_mood, 1",2_mood
184,1,1,2_mood,"I’ve been feeling a little lonely lately, but I’m managing the best I can.","26_support_social, 1",26_support_social
185,2,2,2_mood,I am anxious a lot.,"2_mood, 2",2_mood
186,2,1,2_mood,I am really upset now.,"2_mood, 1",2_mood
187,2,1,2_mood,I am really anxious these days.,"2_mood, 1",2_mood
188,2,1,2_mood,My mood swings a lot these days.,"2_mood, 1",2_mood
189,2,1,2_mood,I am really sad these days.,"2_mood, 1",2_mood
190,2,2,2_mood,I feel so depressed now.,"2_mood, 2",2_mood
191,2,2,2_mood,I feel so depressed.,"2_mood, 2",2_mood
192,2,1,2_mood,I am under a lot of pressure.,"32_coping, 1",32_coping
193,2,1,2_mood,I am worry about my mood.,"2_mood, 1",2_mood
194,2,0,2_mood,I don't know about my mood.,"Maybe, 0","NA, 99"
195,2,1,2_mood,I get angry easily.,"2_mood, 1",2_mood
196,2,2,2_mood,I often cry out of control.,"2_mood, 2",2_mood
197,2,2,2_mood,I usually feel lonely and helpless.,"2_mood, 2",2_mood
198,2,2,2_mood,I am really helpless.,"2_mood, 2",2_mood
199,2,2,2_mood,I cannot control my mood.,"2_mood, 2",2_mood
200,2,1,2_mood,I don't know what's going on about my mood.,"2_mood, 1",2_mood
201,2,2,2_mood,My mood is easily out of control.,"2_mood, 2",2_mood
202,2,2,2_mood,My emotions are out of my control.,"2_mood, 2",2_mood
203,2,2,2_mood,My emotions are unstable.,"2_mood, 2",2_mood
204,2,1,2_mood,I can't manage my mood well.,"2_mood, 1",2_mood
205,2,1,2_mood,My mood can't be eaily managed.,"2_mood, 1",2_mood
206,2,1,2_mood,I am upset a lot.,"2_mood, 1",2_mood
207,2,1,2_mood,I am really upset these days.,"2_mood, 1",2_mood
208,2,1,2_mood,I am really sad now.,"2_mood, 1",2_mood
209,2,2,2_mood,I feel emotionally drained all the time.,"2_mood, 2",2_mood
210,2,2,2_mood,I can't control my emotions lately.,"2_mood, 2",2_mood
211,2,2,2_mood,I feel deeply sad every day.,"2_mood, 2",2_mood
212,2,2,2_mood,I have frequent panic attacks.,"2_mood, 2",2_mood
213,2,2,2_mood,I don't see any joy in life anymore.,"2_mood, 2",2_mood
214,2,2,2_mood,I have no motivation to do anything.,"31_motivation, 2",31_Motivation
215,2,2,2_mood,I feel emotionally exhausted and hopeless.,"2_mood, 2",2_mood
216,2,2,2_mood,I can't seem to shake off my sadness.,"2_mood, 2",2_mood
217,2,2,2_mood,I cry a lot and don’t know why.,"2_mood, 2",2_mood
218,2,2,2_mood,My emotions are completely out of control.,"2_mood, 2",2_mood
219,2,2,2_mood,I feel numb most of the time.,"2_mood, 2",2_mood
220,2,1,2_mood,I’ve been isolating myself because of my mood.,"6_talk, 1",6_talk
221,2,2,2_mood,I feel overwhelmed to the point of breaking down.,"2_mood, 2",2_mood
222,2,2,2_mood,I’ve been struggling with extreme mood swings.,"2_mood, 2",2_mood
223,2,2,2_mood,I have trouble getting out of bed due to my mood.,"2_mood, 2",2_mood
224,2,2,2_mood,I feel emotionally detached from everyone.,"2_mood, 2",2_mood
225,2,2,2_mood,I get uncontrollably angry over small things.,"2_mood, 2",2_mood
226,2,2,2_mood,I feel like my emotions are spiraling out of control.,"2_mood, 2",2_mood
227,2,2,2_mood,I'm struggling to cope with daily life.,"32_coping, 2",32_coping
228,2,2,2_mood,I can't focus because of how bad I feel emotionally.,"2_mood, 2",2_mood
229,2,1,2_mood,I feel constantly on edge.,"2_mood, 1",2_mood
230,2,1,2_mood,I often feel like crying for no reason.,"2_mood, 1",2_mood
231,2,2,2_mood,I’m unable to manage my emotions anymore.,"2_mood, 2",2_mood
232,2,2,2_mood,I’ve lost interest in everything I used to enjoy.,"2_mood, 2",2_mood
233,2,2,2_mood,I feel completely emotionally unstable.,"2_mood, 2",2_mood
234,2,2,2_mood,I am too overwhelmed to handle anything right now.,"2_mood, 2",2_mood
235,2,2,2_mood,I feel trapped in my emotions.,"2_mood, 2",2_mood
236,2,1,2_mood,I just broke up and feel really lost.,"2_mood, 1",2_mood
237,2,2,2_mood,I’ve been having panic attacks.,"2_mood, 2",2_mood
238,2,2,2_mood,I feel like I'm falling apart emotionally.,"2_mood, 2",2_mood
239,2,2,2_mood,My anxiety is affecting my daily life.,"2_mood, 2",2_mood
240,2,2,2_mood,I feel overwhelmed all the time.,"2_mood, 2",2_mood
241,2,2,2_mood,I feel like I have no energy to do anything.,"2_mood, 2",2_mood
242,2,1,2_mood,I don’t feel like myself anymore.,"2_mood, 1",2_mood
243,2,2,2_mood,Nothing makes me happy anymore.,"2_mood, 2",2_mood
244,2,2,2_mood,I can’t focus on anything because of how I feel.,"2_mood, 2",2_mood
245,2,2,2_mood,I’ve been experiencing constant distress.,"2_mood, 2",2_mood
246,2,2,2_mood,I feel completely lost and don’t know what to do.,"2_mood, 2",2_mood
247,2,2,2_mood,I feel like I’m drowning in sadness.,"2_mood, 2",2_mood
248,2,2,2_mood,I feel like my emotions are taking over my life.,"2_mood, 2",2_mood
249,2,2,2_mood,I desperately need help managing my emotions.,"2_mood, 2",2_mood
250,2,2,2_mood,"I feel like I’ve lost all motivation, I don’t even enjoy things I used to love.","2_mood, 2",2_mood
251,2,2,2_mood,"Every day feels heavy, and I struggle just to get through the simplest tasks.","2_mood, 2",2_mood
252,2,2,2_mood,"I’ve been having panic attacks, and it’s starting to interfere with my daily life.","2_mood, 2",2_mood
253,2,2,2_mood,"I feel completely exhausted, mentally and emotionally, like I can’t keep going.","2_mood, 2",2_mood
254,2,2,2_mood,I’ve been isolating myself from friends and family because I don’t feel like talking to anyone.,"6_talk, 2",6_talk
255,0,0,3_medication,I am taking the pills every day.,"3_medication, 0",3_medication
256,0,0,3_medication,I am taking the medicines regularly.,"3_medication, 0",3_medication
257,0,0,3_medication,I take my medications as prescribed.,"3_medication, 0",3_medication
258,0,0,3_medication,I take my medications following the prescription.,"3_medication, 0",3_medication
259,0,0,3_medication,I take my medications following the doctors.,"3_medication, 0",3_medication
260,0,0,3_medication,I am not on any meds.,"3_medication, 0",3_medication
261,0,0,3_medication,I am not on any medication.,"3_medication, 0",3_medication
262,0,0,3_medication,I am not on any pills.,"3_medication, 0",3_medication
263,0,0,3_medication,I am not under any prescription.,"3_medication, 0",3_medication
264,0,0,3_medication,I don't take any prescription drugs.,"3_medication, 0",3_medication
265,0,0,3_medication,I don't need to take drugs.,"20_alcohol, 0",20_alcohol
266,0,2,3_medication,I don't need to take meds.,"3_medication, 2",3_medication
267,0,0,3_medication,I don't need to take pills.,"3_medication, 0",3_medication
268,0,0,3_medication,I am following the doctor's instruction.,"3_medication, 0",3_medication
269,0,0,3_medication,"I never miss a dose, and I take my medication exactly as prescribed.","3_medication, 0",3_medication
270,0,0,3_medication,I always set an alarm to remind me to take my meds.,"3_medication, 0",3_medication
271,0,0,3_medication,I keep my medication schedule consistent every day.,"3_medication, 0",3_medication
272,0,0,3_medication,"I take my pills every morning and night, just as instructed.","3_medication, 0",3_medication
273,0,0,3_medication,"My doctor and I have a solid plan, and I stick to it.","4_care, 0",4_care
274,0,0,3_medication,I always double-check that I’ve taken my medication.,"3_medication, 0",3_medication
275,0,0,3_medication,I refill my prescriptions on time and follow the instructions carefully.,"3_medication, 0",3_medication
276,0,0,3_medication,Taking my medication is a habit now; I never forget.,"3_medication, 0",3_medication
277,0,0,3_medication,I take my meds at the same time every day to stay consistent.,"3_medication, 0",3_medication
278,0,0,3_medication,I’ve got a pill organizer that helps me keep track of my medication.,"3_medication, 0",3_medication
279,0,0,3_medication,"My medication helps me feel better, so I never skip it.","3_medication, 0",3_medication
280,0,0,3_medication,I trust my doctor’s advice and take my medicine accordingly.,"3_medication, 0",3_medication
281,0,0,3_medication,Following my prescription is part of my routine.,"3_medication, 0",3_medication
282,0,0,3_medication,I make sure to carry my meds when I travel so I never miss a dose.,"3_medication, 0",3_medication
283,0,0,3_medication,"I don’t have to take any medications, and I’m healthy.","3_medication, 0",3_medication
284,0,0,3_medication,I track my meds using a phone app to ensure I stay on schedule.,"3_medication, 0",3_medication
285,0,0,3_medication,Taking my medication regularly has really improved my health.,"3_medication, 0",3_medication
286,0,0,3_medication,I’m diligent about my meds because I know they’re important.,"3_medication, 0",3_medication
287,0,0,3_medication,I discuss any concerns about my medication with my doctor right away.,"3_medication, 0",3_medication
288,0,0,3_medication,I have no issues with remembering my medication.,"3_medication, 0",3_medication
289,0,0,3_medication,I don’t mind taking my meds because they help me feel better.,"3_medication, 0",3_medication
290,0,0,3_medication,I follow my prescription to make sure my treatment is effective.,"3_medication, 0",3_medication
291,0,0,3_medication,My pharmacist helped me set up an easy-to-follow routine.,"3_medication, 0",3_medication
292,0,0,3_medication,"My health is my priority, so I stick to my prescribed medication schedule.","3_medication, 0",3_medication
293,0,0,3_medication,I never skip my meds because I know consistency is key.,"3_medication, 0",3_medication
294,0,0,3_medication,It’s easy for me to remember my medication since I take it with my meals.,"3_medication, 0",3_medication
295,0,0,3_medication,I always check my prescription label to make sure I take it correctly.,"3_medication, 0",3_medication
296,0,0,3_medication,I take my medications exactly as instructed to avoid any complications.,"3_medication, 0",3_medication
297,0,0,3_medication,I am careful about taking the right dose at the right time.,"3_medication, 0",3_medication
298,0,0,3_medication,I take my medications responsibly to keep my health in check.,"3_medication, 0",3_medication
299,0,0,3_medication,"I know the importance of my meds, so I never forget to take them.","3_medication, 0",3_medication
300,0,0,3_medication,"I don’t take any prescription drugs, and I feel fine.","3_medication, 0",3_medication
301,0,0,3_medication,"I never had the need for medication, and I feel healthy.","3_medication, 0",3_medication
302,0,0,3_medication,"I don’t take any meds, and my health is great.","3_medication, 0",3_medication
303,0,0,3_medication,I listen to my doctor and follow their instructions carefully.,"4_care, 0",4_care
304,0,0,3_medication,I take my meds every day without fail.,"3_medication, 0",3_medication
305,0,0,3_medication,"I don’t have to take any medicine, but if I needed to, I would follow instructions.","3_medication, 0",3_medication
306,0,0,3_medication,"I take all my prescribed medicine, and I have no trouble managing it.","3_medication, 0",3_medication
307,0,0,3_medication,My doctor and I work together to make sure I stay on top of my medication.,"3_medication, 0",3_medication
308,1,1,3_medication,I skip a day or two.,"3_medication, 1",3_medication
309,1,2,3_medication,I sometimes take the medicines.,"3_medication, 2",3_medication
310,1,1,3_medication,I sometimes forget to take the medicines.,"3_medication, 1",3_medication
311,1,1,3_medication,"Sometimes I forget a dose, but I usually remember later in the day.","3_medication, 1",3_medication
312,1,1,3_medication,"I skip a dose once in a while, but I try my best to stay on track.","3_medication, 1",3_medication
313,1,1,3_medication,I occasionally miss my medication when I get too busy.,"3_medication, 1",3_medication
314,1,1,3_medication,"I take my meds most of the time, but I forget now and then.","3_medication, 1",3_medication
315,1,1,3_medication,I only forget my meds when my schedule gets hectic.,"3_medication, 1",3_medication
316,1,1,3_medication,I sometimes miss my morning pill but take it later when I remember.,"3_medication, 1",3_medication
317,1,1,3_medication,"I usually remember to take my medicine, but not always at the same time.","3_medication, 1",3_medication
318,1,1,3_medication,"I have a reminder on my phone, but I still forget occasionally.","3_medication, 1",3_medication
319,1,1,3_medication,"I take my meds, but I’ve skipped a few days recently.","3_medication, 1",3_medication
320,1,1,3_medication,"Sometimes I forget if I’ve taken my medication, so I end up missing it.","3_medication, 1",3_medication
321,1,1,3_medication,I need to be more consistent with taking my medication.,"3_medication, 1",3_medication
322,1,1,3_medication,"I follow my prescription, but I forget every now and then.","3_medication, 1",3_medication
323,1,1,3_medication,"I take my medication, but I sometimes take it at irregular times.","3_medication, 1",3_medication
324,1,1,3_medication,I need to find a better system to remember my medication.,"3_medication, 1",3_medication
325,1,1,3_medication,"I take my pills most days, but I miss a day here and there.","3_medication, 1",3_medication
326,1,1,3_medication,"I forget my medication sometimes, but I try to be mindful of it.","3_medication, 1",3_medication
327,1,1,3_medication,"I miss a dose occasionally, but it’s not too often.","3_medication, 1",3_medication
328,1,1,3_medication,"I’ve skipped my medication a few times, but I usually stay on track.","3_medication, 1",3_medication
329,1,1,3_medication,"I’m not perfect at taking my medication, but I try my best.","3_medication, 1",3_medication
330,1,1,3_medication,"I don’t always follow my prescription exactly, but I mostly do.","3_medication, 1",3_medication
331,1,1,3_medication,My schedule makes it hard to take my meds consistently.,"3_medication, 1",3_medication
332,1,1,3_medication,I forget to refill my prescription on time sometimes.,"3_medication, 1",3_medication
333,1,1,3_medication,I sometimes run out of my medication before getting a refill.,"3_medication, 1",3_medication
334,1,1,3_medication,"I take my meds, but I’m not always strict about the timing.","3_medication, 1",3_medication
335,1,1,3_medication,"I take my medication when I remember, but I need to be more consistent.","3_medication, 1",3_medication
336,1,1,3_medication,"I skip my meds when I feel like I don’t need them, but I usually take them.","3_medication, 1",3_medication
337,1,1,3_medication,"I follow my prescription, but there are days I just don’t feel like taking them.","3_medication, 1",3_medication
338,1,1,3_medication,I sometimes hesitate to take my medication when I don’t feel like it.,"3_medication, 1",3_medication
339,1,1,3_medication,"I take my meds most days, but sometimes I procrastinate on it.","3_medication, 1",3_medication
340,1,1,3_medication,"I usually follow my prescription, but I’ve been inconsistent lately.","3_medication, 1",3_medication
341,1,1,3_medication,"I know I need to take my meds, but sometimes I don’t feel like it.","3_medication, 1",3_medication
342,1,1,3_medication,I forget my medication when I travel or break my routine.,"3_medication, 1",3_medication
343,1,1,3_medication,"I try to stay on top of my medication, but I slip up sometimes.","3_medication, 1",3_medication
344,1,2,3_medication,I often miss my night doses because I fall asleep early.,"3_medication, 2",3_medication
