Dimension,Dimension Label,Score,Response
Managing mood,2_mood,2,I feel constantly on edge.
Managing mood,2_mood,2,I often feel like crying for no reason.
Managing mood,2_mood,2,I’m unable to manage my emotions anymore.
Managing mood,2_mood,2,I’ve lost interest in everything I used to enjoy.
Managing mood,2_mood,2,I feel completely emotionally unstable.
Managing mood,2_mood,2,I am too overwhelmed to handle anything right now.
Managing mood,2_mood,2,I feel trapped in my emotions.
Managing mood,2_mood,2,I just broke up and feel really lost.
Managing mood,2_mood,2,I’ve been having panic attacks.
Managing mood,2_mood,2,I feel like I'm falling apart emotionally.
Managing mood,2_mood,2,My anxiety is affecting my daily life.
Managing mood,2_mood,2,I feel overwhelmed all the time.
Managing mood,2_mood,2,I feel like I have no energy to do anything.
Managing mood,2_mood,2,I don’t feel like myself anymore.
Managing mood,2_mood,2,Nothing makes me happy anymore.
Managing mood,2_mood,2,I can’t focus on anything because of how I feel.
Managing mood,2_mood,2,I’ve been experiencing constant distress.
Managing mood,2_mood,2,I feel completely lost and don’t know what to do.
Managing mood,2_mood,2,I feel like I’m drowning in sadness.
Managing mood,2_mood,2,I feel like my emotions are taking over my life.
Managing mood,2_mood,2,I desperately need help managing my emotions.
Managing mood,2_mood,2,"I feel like I’ve lost all motivation, I don’t even enjoy things I used to love."
Managing mood,2_mood,2,"Every day feels heavy, and I struggle just to get through the simplest tasks."
Managing mood,2_mood,2,"I’ve been having panic attacks, and it’s starting to interfere with my daily life."
Managing mood,2_mood,2,"I feel completely exhausted, mentally and emotionally, like I can’t keep going."
Managing mood,2_mood,2,I’ve been isolating myself from friends and family because I don’t feel like talking to anyone.
Taking medication as prescribed,3_medication,0,I am taking the pills every day.
Taking medication as prescribed,3_medication,0,I am taking the medicines regularly.
Taking medication as prescribed,3_medication,0,I take my medications as prescribed.
Taking medication as prescribed,3_medication,0,I take my medications following the prescription.
Taking medication as prescribed,3_medication,0,I take my medications following the doctors.
Taking medication as prescribed,3_medication,0,I am not on any meds.
Taking medication as prescribed,3_medication,0,I am not on any medication.
Taking medication as prescribed,3_medication,0,I am not on any pills.
Taking medication as prescribed,3_medication,0,I am not under any prescription.
Taking medication as prescribed,3_medication,0,I don't take any prescription drugs.
Taking medication as prescribed,3_medication,0,I don't need to take drugs.
Taking medication as prescribed,3_medication,0,I don't need to take meds.
Taking medication as prescribed,3_medication,0,I don't need to take pills.
Taking medication as prescribed,3_medication,0,I am following the doctor's instruction.
Taking medication as prescribed,3_medication,0,"I never miss a dose, and I take my medication exactly as prescribed."
Taking medication as prescribed,3_medication,0,I always set an alarm to remind me to take my meds.
Taking medication as prescribed,3_medication,0,I keep my medication schedule consistent every day.
Taking medication as prescribed,3_medication,0,"I take my pills every morning and night, just as instructed."
Taking medication as prescribed,3_medication,0,"My doctor and I have a solid plan, and I stick to it."
Taking medication as prescribed,3_medication,0,I always double-check that I’ve taken my medication.
Taking medication as prescribed,3_medication,0,I refill my prescriptions on time and follow the instructions carefully.
Taking medication as prescribed,3_medication,0,Taking my medication is a habit now; I never forget.
Taking medication as prescribed,3_medication,0,I take my meds at the same time every day to stay consistent.
Taking medication as prescribed,3_medication,0,I’ve got a pill organizer that helps me keep track of my medication.
Taking medication as prescribed,3_medication,0,"My medication helps me feel better, so I never skip it."
Taking medication as prescribed,3_medication,0,I trust my doctor’s advice and take my medicine accordingly.
Taking medication as prescribed,3_medication,0,Following my prescription is part of my routine.
Taking medication as prescribed,3_medication,0,I make sure to carry my meds when I travel so I never miss a dose.
Taking medication as prescribed,3_medication,0,"I don’t have to take any medications, and I’m healthy."
Taking medication as prescribed,3_medication,0,I track my meds using a phone app to ensure I stay on schedule.
Taking medication as prescribed,3_medication,0,Taking my medication regularly has really improved my health.
Taking medication as prescribed,3_medication,0,I’m diligent about my meds because I know they’re important.
Taking medication as prescribed,3_medication,0,I discuss any concerns about my medication with my doctor right away.
Taking medication as prescribed,3_medication,0,I have no issues with remembering my medication.
Taking medication as prescribed,3_medication,0,I don’t mind taking my meds because they help me feel better.
Taking medication as prescribed,3_medication,0,I follow my prescription to make sure my treatment is effective.
Taking medication as prescribed,3_medication,0,My pharmacist helped me set up an easy-to-follow routine.
Taking medication as prescribed,3_medication,0,"My health is my priority, so I stick to my prescribed medication schedule."
Taking medication as prescribed,3_medication,0,I never skip my meds because I know consistency is key.
Taking medication as prescribed,3_medication,0,It’s easy for me to remember my medication since I take it with my meals.
Taking medication as prescribed,3_medication,0,I always check my prescription label to make sure I take it correctly.
Taking medication as prescribed,3_medication,0,I take my medications exactly as instructed to avoid any complications.
Taking medication as prescribed,3_medication,0,I am careful about taking the right dose at the right time.
Taking medication as prescribed,3_medication,0,I take my medications responsibly to keep my health in check.
Taking medication as prescribed,3_medication,0,"I know the importance of my meds, so I never forget to take them."
Taking medication as prescribed,3_medication,0,"I don’t take any prescription drugs, and I feel fine."
Taking medication as prescribed,3_medication,0,"I never had the need for medication, and I feel healthy."
Taking medication as prescribed,3_medication,0,"I don’t take any meds, and my health is great."
Taking medication as prescribed,3_medication,0,I listen to my doctor and follow their instructions carefully.
Taking medication as prescribed,3_medication,0,I take my meds every day without fail.
Taking medication as prescribed,3_medication,0,"I don’t have to take any medicine, but if I needed to, I would follow instructions."
Taking medication as prescribed,3_medication,0,"I take all my prescribed medicine, and I have no trouble managing it."
Taking medication as prescribed,3_medication,0,My doctor and I work together to make sure I stay on top of my medication.
Taking medication as prescribed,3_medication,1,I skip a day or two.
Taking medication as prescribed,3_medication,1,I sometimes take the medicines.
Taking medication as prescribed,3_medication,1,I sometimes forget to take the medicines.
Taking medication as prescribed,3_medication,1,"Sometimes I forget a dose, but I usually remember later in the day."
Taking medication as prescribed,3_medication,1,"I skip a dose once in a while, but I try my best to stay on track."
Taking medication as prescribed,3_medication,1,I occasionally miss my medication when I get too busy.
Taking medication as prescribed,3_medication,1,"I take my meds most of the time, but I forget now and then."
Taking medication as prescribed,3_medication,1,I only forget my meds when my schedule gets hectic.
Taking medication as prescribed,3_medication,1,I sometimes miss my morning pill but take it later when I remember.
Taking medication as prescribed,3_medication,1,"I usually remember to take my medicine, but not always at the same time."
Taking medication as prescribed,3_medication,1,"I have a reminder on my phone, but I still forget occasionally."
Taking medication as prescribed,3_medication,1,"I take my meds, but I’ve skipped a few days recently."
Taking medication as prescribed,3_medication,1,"Sometimes I forget if I’ve taken my medication, so I end up missing it."
Taking medication as prescribed,3_medication,1,I need to be more consistent with taking my medication.
Taking medication as prescribed,3_medication,1,"I follow my prescription, but I forget every now and then."
Taking medication as prescribed,3_medication,1,"I take my medication, but I sometimes take it at irregular times."
Taking medication as prescribed,3_medication,1,I need to find a better system to remember my medication.
Taking medication as prescribed,3_medication,1,"I take my pills most days, but I miss a day here and there."
Taking medication as prescribed,3_medication,1,"I forget my medication sometimes, but I try to be mindful of it."
Taking medication as prescribed,3_medication,1,"I miss a dose occasionally, but it’s not too often."
Taking medication as prescribed,3_medication,1,"I’ve skipped my medication a few times, but I usually stay on track."
Taking medication as prescribed,3_medication,1,"I’m not perfect at taking my medication, but I try my best."
Taking medication as prescribed,3_medication,1,"I don’t always follow my prescription exactly, but I mostly do."
Taking medication as prescribed,3_medication,1,My schedule makes it hard to take my meds consistently.
Taking medication as prescribed,3_medication,1,I forget to refill my prescription on time sometimes.
Taking medication as prescribed,3_medication,1,I sometimes run out of my medication before getting a refill.
Taking medication as prescribed,3_medication,1,"I take my meds, but I’m not always strict about the timing."
Taking medication as prescribed,3_medication,1,"I take my medication when I remember, but I need to be more consistent."
Taking medication as prescribed,3_medication,1,"I skip my meds when I feel like I don’t need them, but I usually take them."
Taking medication as prescribed,3_medication,1,"I follow my prescription, but there are days I just don’t feel like taking them."
Taking medication as prescribed,3_medication,1,I sometimes hesitate to take my medication when I don’t feel like it.
Taking medication as prescribed,3_medication,1,"I take my meds most days, but sometimes I procrastinate on it."
Taking medication as prescribed,3_medication,1,"I usually follow my prescription, but I’ve been inconsistent lately."
Taking medication as prescribed,3_medication,1,"I know I need to take my meds, but sometimes I don’t feel like it."
Taking medication as prescribed,3_medication,1,I forget my medication when I travel or break my routine.
Taking medication as prescribed,3_medication,1,"I try to stay on top of my medication, but I slip up sometimes."
Taking medication as prescribed,3_medication,1,I often miss my night doses because I fall asleep early.
Taking medication as prescribed,3_medication,1,I don’t always follow my prescription as strictly as I should.
Taking medication as prescribed,3_medication,1,"I take my meds, but sometimes I forget and have to take them late."
Taking medication as prescribed,3_medication,1,I know I need to be better at taking my medication regularly.
Taking medication as prescribed,3_medication,1,"I take my meds, but only when I remember."
Taking medication as prescribed,3_medication,1,I keep forgetting my medication at least once a week.
Taking medication as prescribed,3_medication,2,I haven't taken medicine for a long time.
Taking medication as prescribed,3_medication,2,I always forget to take the medicines.
Taking medication as prescribed,3_medication,2,I can't remember to take the medicines.
Taking medication as prescribed,3_medication,2,I don't follow the prescription.
Taking medication as prescribed,3_medication,2,It depends on my mood.
Taking medication as prescribed,3_medication,2,I don't want to follow the prescription.
Taking medication as prescribed,3_medication,2,I don't think I need them anymore.
Taking medication as prescribed,3_medication,2,I don't think I need it anymore.
Taking medication as prescribed,3_medication,2,I don't want to take the drugs.
Taking medication as prescribed,3_medication,2,I don't want to take the medicines.
Taking medication as prescribed,3_medication,2,I don't want to take the meds.
Taking medication as prescribed,3_medication,2,I don't want to take the pills.
Taking medication as prescribed,3_medication,2,I don't want to use the drugs.
Taking medication as prescribed,3_medication,2,I don't want to use the meds.
Taking medication as prescribed,3_medication,2,I don't want to use the pills.
Taking medication as prescribed,3_medication,2,I hate taking the drugs.
Taking medication as prescribed,3_medication,2,I hate taking the medicines.
Taking medication as prescribed,3_medication,2,I hate taking the meds.
Taking medication as prescribed,3_medication,2,I hate taking the pills.
Taking medication as prescribed,3_medication,2,I haven’t been taking my medication for weeks.
Taking medication as prescribed,3_medication,2,"I don’t think I need my medication anymore, so I stopped taking it."
Taking medication as prescribed,3_medication,2,"I always forget to take my medicine, and it’s becoming a problem."
Taking medication as prescribed,3_medication,2,I stopped following my prescription because I don’t feel like it helps.
Taking medication as prescribed,3_medication,2,"I’ve been skipping my medication a lot, and I know it’s bad."
Taking medication as prescribed,3_medication,2,I don’t see the point in taking my meds anymore.
Taking medication as prescribed,3_medication,2,"I hate taking medication, so I avoid it."
Taking medication as prescribed,3_medication,2,I ignore my prescription most of the time.
Taking medication as prescribed,3_medication,2,"I’ve stopped taking my meds, and I’m starting to feel worse."
Taking medication as prescribed,3_medication,2,"I know I should take my meds, but I refuse to."
Taking medication as prescribed,3_medication,2,"I don’t trust my medication, so I’ve stopped taking it."
Taking medication as prescribed,3_medication,2,"I take my meds only when I feel like it, which isn’t often."
Taking medication as prescribed,3_medication,2,"I can’t keep up with my medication, and it’s affecting my health."
Taking medication as prescribed,3_medication,2,I’ve run out of meds and haven’t bothered getting a refill.
Taking medication as prescribed,3_medication,2,"I don’t like how my meds make me feel, so I stopped taking them."
Taking medication as prescribed,3_medication,2,I take my meds so inconsistently that I don’t think they work.
Taking medication as prescribed,3_medication,2,I stopped my medication without consulting my doctor.
Taking medication as prescribed,3_medication,2,I don’t feel motivated to take my meds anymore.
Taking medication as prescribed,3_medication,2,I’ve completely abandoned my prescription.
Taking medication as prescribed,3_medication,2,I can’t handle taking medication every day.
Taking medication as prescribed,3_medication,2,"I keep forgetting my medication, and now I’m not sure if it’s working anymore."
Taking medication as prescribed,3_medication,2,"I don’t believe my medication helps, so I stopped taking it."
Taking medication as prescribed,3_medication,2,I ran out of my prescription weeks ago and haven’t refilled it.
Taking medication as prescribed,3_medication,2,"I don’t feel comfortable taking my meds anymore, so I just quit."
Taking medication as prescribed,3_medication,2,"I take my meds sporadically, whenever I feel like it."
Taking medication as prescribed,3_medication,2,I refuse to take my medication because I don’t like the side effects.
Taking medication as prescribed,3_medication,2,"I can’t keep up with my meds, and it’s making my condition worse."
Taking medication as prescribed,3_medication,2,"I feel like my medication is useless, so I don’t take it anymore."
Taking medication as prescribed,3_medication,2,"I skip my meds all the time, even though I know I shouldn’t."
Taking medication as prescribed,3_medication,2,I stopped taking my prescription because I think I don’t need it anymore.
Taking medication as prescribed,3_medication,2,"I keep forgetting my pills, and I’m starting to feel the effects."
Taking medication as prescribed,3_medication,2,"I don’t want to take my medication anymore, even if my doctor says I should."
Taking medication as prescribed,3_medication,2,"I hate how my meds make me feel, so I don’t take them."
Taking medication as prescribed,3_medication,2,I threw away my medication because I don’t trust it.
Taking medication as prescribed,3_medication,2,"I’ve been skipping my medication for weeks, and now I feel worse."
Taking medication as prescribed,3_medication,2,I don’t have the energy to manage my medication routine anymore.
Taking medication as prescribed,3_medication,2,"I don’t even know where my meds are, maybe expired, I haven’t taken them in ages."
Taking medication as prescribed,3_medication,2,"I feel like my meds are making things worse, so I stopped taking them."
Taking medication as prescribed,3_medication,2,"I’m completely off my medication, and I haven’t told my doctor yet."
Participating primary and mental health care,4_care,0,I visit the doctors regularly.
Participating primary and mental health care,4_care,0,I visit my therapist every week.
Participating primary and mental health care,4_care,0,I see my therapist every month.
Participating primary and mental health care,4_care,0,I visit my therapist every month.
Participating primary and mental health care,4_care,0,I see my counselor every month.
Participating primary and mental health care,4_care,0,I visit my counselor every month.
Participating primary and mental health care,4_care,0,I talk to my counselor every week.
Participating primary and mental health care,4_care,0,I see my case manager every week.
Participating primary and mental health care,4_care,0,I visit my case manager every week.
Participating primary and mental health care,4_care,0,I talk to my case manager every month.
Participating primary and mental health care,4_care,0,I see my case manager every month.
Participating primary and mental health care,4_care,0,I visit my case manager every month.
Participating primary and mental health care,4_care,0,I see my case manager regularly.
Participating primary and mental health care,4_care,0,I visit my case manager regularly.
Participating primary and mental health care,4_care,0,I see my psychiatrist every week.
Participating primary and mental health care,4_care,0,I visit my psychiatrist every week.
Participating primary and mental health care,4_care,0,I talk to my psychiatrist every month.
Participating primary and mental health care,4_care,0,I see my psychiatrist every month.
Participating primary and mental health care,4_care,0,I visit my psychiatrist every month.
Participating primary and mental health care,4_care,0,I see my psychiatrist regularly.
Participating primary and mental health care,4_care,0,I visit my psychiatrist regularly.
Participating primary and mental health care,4_care,0,I see my prescriber every week.
Participating primary and mental health care,4_care,0,I visit my prescriber every week.
Participating primary and mental health care,4_care,0,I talk to my prescriber every month.
Participating primary and mental health care,4_care,0,I see my prescriber every month.
Participating primary and mental health care,4_care,0,I visit my prescriber every month.
Participating primary and mental health care,4_care,0,I see my prescriber regularly.
Participating primary and mental health care,4_care,0,I visit my prescriber regularly.
Participating primary and mental health care,4_care,0,I talk to my therapist every week.
Participating primary and mental health care,4_care,0,I see my therapist regularly.
Participating primary and mental health care,4_care,0,I talk to my therapist regularly.
Participating primary and mental health care,4_care,0,I see my PCP regularly.
Participating primary and mental health care,4_care,0,I talk to my PCP regularly.
Participating primary and mental health care,4_care,0,I visit my PCP regularly.
Participating primary and mental health care,4_care,0,I see my PCP periodicly.
Participating primary and mental health care,4_care,0,I talk to my PCP periodicly.
