Dimension,Dimension Label ,Original Response,Original Response Score,Follow-up Response,Follow-up Response Score
Participating primary and mental health care,4_care,I haven't gone to my psychiatrist for a long time.,2,"Follow-up: The last time I went to the psychiatrist was 6 months ago. This was because I was dealing with a lot of stress at work and needed some professional help. Since then, I haven't had the need to pay a visit as I have been managing my stress levels well. However, I do realize that constant check-ups are important for my mental well-being, and I plan to schedule an appointment soon.",0
Participating primary and mental health care,4_care,I haven't seen my psychiatrist for a long time.,2,"Follow-up: Due to the ongoing pandemic, I have not been able to visit my psychiatrist in person for several months. I have been managing my condition with medications, but I miss the face-to-face sessions that used to help me understand and manage my mental health better. Moreover, I have been feeling a bit more anxious lately which I believe is due to the lack of professional support and guidance.",0
Participating primary and mental health care,4_care,I haven't visited my psychiatrist for a long time.,2,"Follow-up: My last visit to the psychiatrist was about a year ago. Since then, due to the pandemic and personal reasons, I have been unable to schedule an appointment. I do feel the need to discuss my current mental state and my progress with my psychiatrist. However, I have been managing my condition through consistent medication and healthy lifestyle choices.",0
Participating primary and mental health care,4_care,I haven't gone to my prescriber for a long time.,2,"Follow-up: I've been trying to pick up running as a hobby. I find it helps clear my mind and relieve stress. Plus, it's a great way to stay fit and healthy.",1
Participating primary and mental health care,4_care,I haven't seen my prescriber for a long time.,2,"Follow-up: I was supposed to have regular check-ups with my medical prescriber for my ongoing health condition. However, due to the current pandemic situation, all the appointments have been delayed. Besides, I also struggle with some mental health issues, but without the consistent medical supervision, it's been quite challenging to manage.",0
Participating primary and mental health care,4_care,I haven't visited my prescriber for a long time.,2,"Follow-up: I have been feeling relatively healthy and didn't feel the need to visit. Moreover, due to the current pandemic situation, I have been avoiding non-essential outings including medical check-ups. However, I understand the importance of regular health check-ups and I plan to schedule a visit soon.",0
Participating primary and mental health care,4_care,I haven't gone to my case manager for a long time.,2,"Follow-up: I have been struggling with my mental health lately and I know I should reach out to my case manager, but I have been feeling overwhelmed. The thought of explaining everything that's been going on feels daunting and exhausting. I've been putting it off, trying to manage on my own, but I'm starting to realize I might need more professional support.",0
Participating primary and mental health care,4_care,I haven't seen my case manager for a long time.,2,"Follow-up: My last appointment with my case manager was several months ago. Since then, due to the pandemic, we haven't been able to meet in person. We tried to set up virtual appointments, but it's just not the same. I feel disconnected and my mental health issues seem to be getting worse without the regular consultations and support.",0
Participating primary and mental health care,4_care,I haven't visited my case manager for a long time.,2,"Follow-up: The last time I saw my case manager was about 6 months ago. Since then, I've been dealing with my health issues alone. I used to have regular check-ups, but due to the pandemic and other personal reasons, I was unable to continue. I know it's important to have regular check-ups, especially when dealing with mental health issues, but I've been neglecting this. I'm planning to schedule an appointment soon though.",0
Participating primary and mental health care,4_care,I haven't gone to my therapist for a long time.,2,Follow-up: I was just thinking about my college days. They were really fun. I was part of a music band and we used to perform in various college events.,1
Participating primary and mental health care,4_care,I haven't seen my therapist for a long time.,2,"Follow-up: I've been trying to keep myself busy by picking up new hobbies. Recently, I started learning to play the piano. It's a bit challenging but also enjoyable.",1
Participating primary and mental health care,4_care,I haven't visited my therapist for a long time.,2,"Follow-up: I have been trying to learn a new language recently. I think it's a good way to keep myself busy and distracted from my thoughts. It's challenging, but it also gives me something to look forward to every day.",1
Participating primary and mental health care,4_care,I am too busy to talk to my therapist.,2,"Follow-up: My daily schedule is packed with work commitments and personal responsibilities. This leaves me with very little time to attend therapy sessions. Plus, the time difference between my therapist and me also adds to the scheduling issues. I know I should prioritize my mental health, but it's challenging given the current circumstances.",0
Participating primary and mental health care,4_care,I am too busy to talk to my PCP.,2,"Follow-up: Apart from that, I've been trying to learn a new language recently. It's a bit challenging, but I enjoy the process. It keeps my mind active and helps me relax after a long day of work.",1
Participating primary and mental health care,4_care,I am too busy to talk to my prescriber.,2,"Follow-up: My schedule is completely packed with work, and sometimes I work late into the night. This makes it difficult for me to find the time to schedule an appointment with my prescriber. Even when I have time, I feel too exhausted to engage in a conversation about my health. I understand it's important, but it's just hard for me to prioritize it over my job right now.",0
Participating primary and mental health care,4_care,I am too busy to talk to my case manager.,2,Follow-up: I enjoy playing the piano in my free time. It helps me to unwind and relax. I have been taking online classes to improve my skills.,1
Participating primary and mental health care,4_care,I am too busy to talk to my psychiatrist.,2,"Follow-up: My work schedule has been incredibly hectic lately, often requiring me to put in extra hours. This has made it difficult for me to set aside time for regular appointments with my psychiatrist. I understand the importance of mental health care, but the pressure and demands from my job have left me little room to prioritize these appointments.",0
Participating primary and mental health care,4_care,I never go to the doctor.,2,"Follow-up: I have been fortunate enough to enjoy good health so I haven't felt the need to visit a doctor. Plus, I have a bit of a fear of hospitals and clinics, which also acts as a deterrent. I try to take care of myself through good nutrition and regular exercise. I understand the importance of regular check-ups, and am trying to overcome my apprehension about it.",0
Organizing personal possessions & doing housework,5_house,I rarely do houseworks.,2,"Follow-up: I've been quite busy with my work recently and it's hard to find the time to do housework. Also, I'm not a naturally organized person, so it tends to pile up. I'm considering hiring a cleaning service to help manage my personal possessions and keep my house tidy.",0
Organizing personal possessions & doing housework,5_house,I didn't housekeeping recently.,2,"Follow-up: I've been trying to learn a new language lately. It's a bit challenging, but I'm making progress. I've always found languages to be fascinating.",1
Organizing personal possessions & doing housework,5_house,I did not use the vacuum machine at all.,2,"Follow-up: I am planning to adopt a cat. I've always wanted a pet, and I think now is the right time to do it.",1
Organizing personal possessions & doing housework,5_house,I did not use vacuum cleaner.,2,Follow-up: I have a keen interest in painting. I find it as a relaxing activity which helps me to unwind after a long day. I mostly do landscape paintings and sometimes portraits as well.,1
Organizing personal possessions & doing housework,5_house,I hardly ever do any laundry.,2,"Follow-up: I have a small garden in the balcony where I grow some herbs and flowers. It's not big, but it's enough for me. I usually spend my weekends there, watering the plants and enjoying the nature.",1
Organizing personal possessions & doing housework,5_house,I never do laundry myself.,2,"Follow-up: I have a laundry service that I use. They come to pick up my dirty laundry once a week, clean it, and deliver it back to me. It's very convenient and saves me a lot of time. The cost is also reasonable. I just don't like the idea of spending my weekend doing laundry.",0
Organizing personal possessions & doing housework,5_house,I never mop the floor.,2,"Follow-up: Recently, I started learning how to cook. I'm trying to make dishes from different cuisines. Yesterday, I made pasta for the first time and it turned out really good.",1
Organizing personal possessions & doing housework,5_house,My dishes piled up.,2,Follow-up: The dishes have been piling up in my sink for the past few days. I've been really busy with work and haven't had the energy or time to do them. It's gotten to the point where I'm running out of clean dishes to use.,0
Organizing personal possessions & doing housework,5_house,I haven't been doing my dishes.,2,"Follow-up: I've been trying to learn a new language in my free time. I've been focused on Spanish, as I plan to visit Spain next year. It's a beautiful language, and I am enjoying the learning process.",1
Organizing personal possessions & doing housework,5_house,I hate doing housework.,2,"Follow-up: I find housework to be monotonous and time-consuming. It's not just about the physical labor involved, it's also about the mental exhaustion of keeping track of what needs to be done and when. I'd rather spend that time doing something I enjoy or find productive. Plus, I am not very good at organizing things, so my efforts often seem futile when I can't find something I need later on.",0
Organizing personal possessions & doing housework,5_house,I am not a big fan with housework.,2,"Follow-up: I have been thinking about adopting a pet, maybe a cat or a dog. The idea of having a companion at home is very appealing to me.",1
Organizing personal possessions & doing housework,5_house,I don't like to maintain my house.,2,"Follow-up: Maintaining a house involves activities like cleaning, organizing personal possessions, and sometimes fixing minor issues. I find these activities monotonous and time-consuming. I prefer to use this time for my hobbies such as reading or playing sports. Also, I feel overwhelmed with the amount of things I have and it becomes a task to organize them.",0
Organizing personal possessions & doing housework,5_house,I don't like to do housework.,2,"Follow-up: I am a student, currently studying computer science. I spend most of my time on assignments and projects. I barely have time to rest, let alone doing housework.",0
Organizing personal possessions & doing housework,5_house,I don't care if my place is organized or not.,2,"Follow-up: I have always been more oriented towards functionality rather than aesthetics. As long as I can find what I need when I need it, I don't mind if things are a bit messy. Besides, I find that I have more important things to focus on than keeping everything in perfect order.",0
Organizing personal possessions & doing housework,5_house,I don't care if my place is cleaned or not.,2,Follow-up: I used to play basketball when I was in high school. I was the captain of our team and we even won a regional championship. Those were some memorable days.,1
Organizing personal possessions & doing housework,5_house,I don't care if my place is maintained or not.,2,"Follow-up: Also, I have been trying to get into the habit of exercising daily. It's not easy, but I'm trying to make it a routine. It helps me to stay fit and improve my mood.",1
Organizing personal possessions & doing housework,5_house,I don't care if my house is organized or not.,2,"Follow-up: I have a pet cat. She is very playful and loves to mess around with my stuff. It's hard to keep the place tidy with her around, but I love her company.",0
Organizing personal possessions & doing housework,5_house,I don't care if my apartment is cleaned or not.,2,Follow-up: I have been working in a tech company for the past few years. The work pressure is immense and sometimes I have to work late nights and even on weekends. That leaves me with little time for myself and my personal interests.,0
Organizing personal possessions & doing housework,5_house,I don't care if my room is maintained or not.,2,Follow-up: I'm not really bothered by clutter or disorganization. I don't have a specific place for everything and my things tend to be strewn around. I also don't dedicate a specific time for cleaning or organizing. I only clean up when I feel like it's absolutely necessary.,0
Talking to other people,6_talk,I don't like to share my personal life with others.,2,"Follow-up: It's not that I am anti-social or anything, but I believe that certain aspects of my life are meant to be private. I don't feel comfortable discussing my personal struggles or joys with others out of fear of being judged or misunderstood. Plus, I also respect other people's privacy and don't expect them to share their personal life with me unless they want to.",0
Talking to other people,6_talk,I don't like to share anything with others.,2,Follow-up: I've always been a private person and value my personal space. I find it difficult to trust others with my feelings and experiences. This reluctance to share has been further amplified after a few bad experiences in the past where my trust was betrayed.,0
Talking to other people,6_talk,I don't want to talk to others.,2,"Follow-up: I have been spending a lot of time on my hobbies lately. I enjoy painting and reading novels, which gives me a sense of peace and tranquility.",1
Talking to other people,6_talk,I don't want to talk to anyone.,2,"Follow-up: I have always been a fan of classic literature. From Shakespeare's plays to Jane Austen's novels, I find them absolutely fascinating. I enjoy how they transport me to another time and place.",1
Talking to other people,6_talk,I don't want to chat with anyone.,2,Follow-up: I'm feeling quite overwhelmed and stressed out due to the workload and pressure at my job. I don't have the mental energy to engage in social interactions. I need some time alone to relax and recharge.,0
Talking to other people,6_talk,I don't want to chat with others.,2,Follow-up: I have been trying to focus on my personal projects recently. I am working on a painting that I've been planning to finish for months. It's a landscape painting of my hometown.,0
Talking to other people,6_talk,Talking to others is meaningless.,2,Follow-up: I have a pet dog. He is very loyal and always stays by my side. I feel very warm when I am with him.,1
Talking to other people,6_talk,I haven't been talking to anyone.,2,Follow-up: I have been spending my free time reading books. I have developed a great interest in philosophy and psychology. These subjects help me to understand different perspectives of life.,0
Talking to other people,6_talk,I did not talk to anyone.,2,"Follow-up: I am a huge fan of historical fiction novels. Recently, I've been engrossed in a book set in the Victorian era, it's fascinating to immerse myself in a different time period.",1
Talking to other people,6_talk,I did not meet anyone recently,2,"Follow-up: I have been spending a lot of time learning to cook new recipes. It's a fun and productive way to spend time, plus I get to enjoy some delicious meals at the end!",0
Talking to other people,6_talk,I did not meet anyone these days,2,"Follow-up: I have been working from home due to the pandemic, so I don't get to meet people in person as much as I used to. I mainly interact with others through online meetings and calls, which is not the same as face-to-face communication. I miss the casual interactions and small talks with colleagues at the office.",0
Talking to other people,6_talk,I did not chat with anyone recently,2,Follow-up: I'm planning to start a new hobby to occupy my time. I'm thinking of painting or playing a musical instrument. It's a great way to express myself and keep my mind active.,1
Talking to other people,6_talk,I did not chat with anyone these days,2,"Follow-up: I've been keeping to myself lately due to personal reasons and the pandemic situation. I have been focusing more on introspection and spending time with myself. I've also been avoiding social media and other platforms where I usually interact with others. It's not that I have issues with anyone, it's just a phase where I am not feeling social.",0
Talking to other people,6_talk,I don't like to talk to others,2,"Follow-up: I prefer solitude and quiet times, as opposed to being in social gatherings. I usually get overwhelmed by the noise and the need to keep up with conversations. I find it draining and it usually leaves me feeling exhausted. I enjoy my own company and I find peace in being alone.",0
Talking to other people,6_talk,I don't like to talk to anyone,2,Follow-up: I have always been an introvert and I find it difficult to express myself to others. I feel more comfortable when I am alone. I feel drained when I'm around people for large amounts of time. I prefer solitude and engaging in activities that I can do alone.,0
Talking to other people,6_talk,I prefer not to talk to anyone,2,Follow-up: I have a cat named Whiskers. She's a lovely Persian cat with a fluffy white coat. She's my best companion and we spend a lot of time together.,1
Talking to other people,6_talk,I prefer to stay alone.,2,Follow-up: I have been focusing on my studies lately. My university is on the other side of the country so I don't get to see my friends from my hometown very often.,0
Talking to other people,6_talk,I be alone the whole time,2,"Follow-up: By saying I'm alone the whole time, I mean that I'm not really participating in social activities. I spend most of my time by myself, reading, or watching movies. I have a few close friends, but we don't get to see each other often due to our busy schedules. I've also been feeling a bit anxious about initiating conversations with new people, which makes it harder for me to expand my social circle.",0
Expressing feelings to other people,7_emo,I never share my feelings with others.,2,"Follow-up: I tend to keep my thoughts and emotions to myself because I fear being misunderstood or judged. I've had past experiences where I've shared my feelings and it hasn't been received well, which has made me more reserved. I believe it's easier to deal with things on my own than to burden others with my problems.",0
Expressing feelings to other people,7_emo,I hardly ever share my feelings with others.,2,"Follow-up: I have a dog named Max. He's been with me for three years now. He's a golden retriever and he's my best friend. Despite not being a human, he sometimes understands me better than people do.",0
Expressing feelings to other people,7_emo,I never get mad at others.,2,"Follow-up: By that, I mean I have learned to control my anger and emotions. Instead of lashing out immediately, I take some time to understand the situation and express my feelings in a calm and composed way. I believe it's not productive to get mad and it could potentially ruin relationships. This doesn't mean I don't feel anger, but I choose not to express it in a harmful way.",0
Expressing feelings to other people,7_emo,I never express anger to others.,2,"Follow-up: Lately, I've been into gardening. It's a great way to relax and feel close to nature. I enjoy seeing the progress of the plants I've grown from seeds. It's extremely gratifying.",1
Expressing feelings to other people,7_emo,I hardly ever express my feeling to others.,2,Follow-up: I have a pet dog. He's a golden retriever and his name is Max. He's very playful and keeps me busy.,1
Expressing feelings to other people,7_emo,I don't talk to my family and colleagues.,2,Follow-up: I have been learning to play the piano for the past five years. It's something that I really enjoy and helps me to manage stress.,1
Expressing feelings to other people,7_emo,I don't talk to my friends.,2,"Follow-up: I am a painter. I spend most of my time in my studio, working on my canvas. Painting is my passion and it's my way of expressing emotions.",0
Expressing feelings to other people,7_emo,I don't talk to my family.,2,Follow-up: I recently started painting as a hobby. It has been a wonderful way for me to express my emotions and feelings without having to use words. I even had a few of my pieces displayed at a local art show.,1
Expressing feelings to other people,7_emo,I don't talk to my parents.,2,"Follow-up: I have always found it hard to express my feelings to my parents. We have a kind of relationship that is more formal than emotional. This has caused a distance between us and I feel like I can't confide in them about my problems, thoughts or feelings.",0
Expressing feelings to other people,7_emo,I don't talk to my mom.,2,"Follow-up: I have a hard time expressing my feelings to my mom because she never seems to understand or validate them. I've tried to communicate my thoughts and emotions to her in the past, but it often ends up in conflict. Not talking to her seems to be the best way to avoid these confrontations.",0
Expressing feelings to other people,7_emo,I don't talk to my father.,2,"Follow-up: I don't communicate with my father because we had a falling out a few years ago over personal issues. We haven't managed to mend our relationship since then. Our conversations are rare and when they occur, they're usually tense and uncomfortable. This has definitely impacted my ability to express my feelings to him.",0
Expressing feelings to other people,7_emo,I don't talk to my relatives.,2,"Follow-up: I find it difficult to express my feelings and thoughts to my relatives. Our relationship has been strained due to past disagreements and misunderstandings. This has led to a communication barrier between us. I've tried to bridge the gap, but it hasn't been successful.",0
Expressing feelings to other people,7_emo,I don't talk to my sister.,2,"Follow-up: I have a strained relationship with my sister due to some past misunderstandings. We've been out of touch for quite a while. I tried initiating conversations, but the emotional distance seems to have grown over the years. We used to be quite close as kids, but things have changed.",0
Expressing feelings to other people,7_emo,I don't talk to my brother.,2,"Follow-up: Our relationship has been strained for a while now. We had a falling out a few years ago over a disagreement and since then, we have been distant. I find it hard to express my feelings to him because of the unresolved issues between us. It's a situation I hope to mend in the future.",0
Expressing feelings to other people,7_emo,I don't talk to my husband.,2,"Follow-up: Our communication has been strained lately. We've been having more disagreements than usual, and I find it difficult to express my feelings to him without it escalating into an argument. I feel like he's not receptive to my thoughts and emotions, which has led to me pulling back and not talking to him as much.",0
Expressing feelings to other people,7_emo,I don't talk to my wife.,2,"Follow-up: I don't mean to say that I completely ignore her. We do communicate, but it's mostly about practical things like who will pick up the kids or what we'll have for dinner. When it comes to expressing feelings, talking about our hopes, fears, dreams, and worries, I just can't seem to open up. It's like there's this wall between us that I don't know how to break down.",0
