Dimension,Response
Stop,Let's resume latter.
Stop,Please stop.
Stop,Don't talk to me.
Stop,Stop asking.
Stop,I don't want to answer.
Stop,I'm not in the mood.
Stop,I'm not in the mood to answer your question.
Stop,Leave me alone.
Stop,Get off my back.
Stop,Don't bother me.
Stop,Go away.
Stop,Fuck off.
Stop,I am done with the session today.
Stop,Stop talking to me now.
Stop,Enough.
Stop,That’s it.
Stop,I’m over this.
Stop,I need a break.
Stop,Let’s talk some other time.
Stop,I don’t feel like talking.
Stop,This conversation is over.
Stop,That’s enough questions.
Stop,Just stop.
Stop,I'm not dealing with this right now.
Stop,I don't want to talk to you at this moment.
Stop,I need some space right now.
Stop,Leave me in quiet.
Stop,Can you just stop?
Stop,I’ve had enough.
Stop,Let’s not continue this.
Stop,I need some quiet.
Stop,This is getting annoying.
Stop,I don’t want to deal with this right now.
Question,Pardon?
Question,What does that mean?
Question,What is that?
Question,What's going on?
Question,Can you repeat the question?
Question,Say that again?
Question,Can you say it again?
Question,What?
Question,What do you mean?
Question,How can I know?
Question,You tell me.
Question,What do you think?
Question,I don't know.
Question,I don't know what that means.
Question,Who knows?
Question,You never know.
Question,Huh?
Question,Come again?
Question,Could you clarify?
Question,I'm not sure.
Question,Can you explain that?
Question,What are you talking about?
Question,What do you mean by that?
Question,Not sure I understand.
Question,What are you asking?
Question,Can you be more specific?
Question,What exactly do you mean?
Question,I'm confused.
Question,Can you break that down?
Question,"Wait, what?"
Question,What are you referring to?
Question,How should I know?
Question,That’s unclear.
Question,Can you elaborate?
Question,What makes you ask that?
Question,I have no idea.
Question,What’s your point?
Question,Where are you going with this?
Question,Why do you ask?
Question,Is that a real question?
Question,What’s that supposed to mean?
Question,I’m not following.
Question,"Wait, can you clarify?"
Question,I don’t get it.
Question,What’s your angle?
Question,Could you say that differently?
Question,Can you rephrase that?
Question,I'm not following you.
Question,What are you trying to say?
Question,That doesn’t make sense to me.
Question,Could you give me more context?
Question,Do you mind explaining that again?
Question,I don’t quite understand.
Question,Can you make that clearer?
Question,"Wait, do you mean this or something else?"
Question,I need more details on that.
Maybe,Maybe.
Maybe,It's average.
Maybe,Sometimes.
Maybe,From time to time.
Maybe,Ocassionally.
Maybe,Some time in a week.
Maybe,Average.
Maybe,As usual.
Maybe,Just like before.
Maybe,As the old days
Maybe,I'm not sure.
Maybe,Probably.
Maybe,Possibly.
Maybe,Could be.
Maybe,Depends.
Maybe,It varies.
Maybe,Not always.
Maybe,Kind of.
Maybe,Sort of.
Maybe,Now and then.
Maybe,Once in a while.
Maybe,Every so often.
Maybe,On occasion.
Maybe,At times.
Maybe,Not sure.
Maybe,Could go either way.
Maybe,Neither here nor there.
Maybe,Not really sure.
Maybe,Hard to say.
Maybe,It depends on the situation.
Maybe,That’s up for debate.
Maybe,It’s uncertain.
Maybe,Can’t say for sure.
Maybe,More or less.
Maybe,I suppose so.
Maybe,Not necessarily.
Maybe,Not too sure.
Maybe,It's a bit of both.
Maybe,It's possible.
Maybe,I guess.
Maybe,"I think so, but not sure."
Maybe,It could be the case.
Maybe,It’s in between.
Maybe,Somewhat.
Maybe,That depends.
Maybe,A little bit.
Maybe,That's a mayb to me.
