idx,y_true,y_pred,response,raw
57,Yes,Yes,For sure.,"Yes, 0"
58,Yes,Yes,Absolutely.,"Yes, 0"
59,Yes,Yes,Indeed.,"Yes, 0"
60,Yes,Yes,Totally.,"Yes, 0"
61,Yes,Yes,Definitely.,"Yes, 0"
62,Yes,Yes,"Of course, I do.","Yes, 0"
63,Yes,Yes,"Of course, I have.","Yes, 0"
64,Yes,Yes,You bet.,"Yes, 0"
65,Yes,Yes,For real.,"Yes, 0"
66,Yes,Yes,I’d say so.,"Yes, 0"
67,Yes,Maybe,Most likely.,"Maybe, 0"
68,Yes,Yes,Pretty much.,"Yes, 0"
69,Yes,Question,Why not?,"Question, 0"
70,Yes,Maybe,I suppose so.,"Maybe, 0"
71,Yes,Yes,100%.,"Yes, 0"
72,Yes,Yes,Sure thing.,"Yes, 0"
73,Yes,Yes,You got it.,"Yes, 0"
74,Yes,Yes,Exactly.,"Yes, 0"
75,Yes,Yes,Sounds right.,"Yes, 0"
76,Yes,Yes,That’s correct.,"Yes, 0"
77,Yes,Yes,True.,"Yes, 0"
78,Yes,Yes,Affirmative.,"Yes, 0"
79,Yes,Yes,Certainly.,"Yes, 0"
80,Yes,Yes,By all means.,"Yes, 0"
81,Yes,Unknown,That works.,"Other, 0"
82,Yes,Yes,That’s a yes from me.,"Yes, 0"
83,Yes,Yes,Can’t argue with that.,"Yes, 0"
84,Yes,Yes,Right on.,"Yes, 0"
85,Yes,Yes,Count me in.,"Yes, 0"
86,Yes,Yes,That’s the case.,"Yes, 0"
87,Yes,Maybe,I wouldn’t say no.,"Maybe, 0"
88,No,No,No.,"No, 0"
89,No,No,I guess not.,"No, 0"
90,No,No,These days I am not.,"No, 0"
91,No,Unknown,Not recently.,"Other, 0"
92,No,Unknown,Really bad.,"1_mood, 2"
93,No,Unknown,Not good at all.,"1_mood, 2"
94,No,No,I don't want to tell you.,"No, 0"
95,No,Maybe,Not really.,"Maybe, 0"
96,No,No,I don't.,"No, 0"
97,No,No,I do not.,"No, 0"
98,No,No,Always not.,"No, 0"
99,No,Maybe,"I don't think so, maybe.","Maybe, 0"
100,No,No,I don't think so.,"No, 0"
101,No,No,Nope.,"No, 0"
102,No,No,"No, I don't.","No, 0"
103,No,No,"No, I haven't.","No, 0"
104,No,No,I am not.,"No, 0"
105,No,Maybe,Only once in a while.,"Maybe, 0"
106,No,No,Never.,"No, 0"
107,No,No,Never ever.,"No, 0"
108,No,No,I never do that.,"No, 0"
109,No,No,"No, I am not.","No, 0"
110,No,No,"No, I never do that.","No, 0"
111,No,No,"Nope, I never.","No, 0"
112,No,No,Definitely no.,"No, 0"
113,No,Maybe,"Uh, I don't know.","Maybe, 0"
114,No,No,Of course not.,"No, 0"
115,No,Question,You tell me.,"Question, 0"
116,No,Question,"Uh, you tell me.","Question, 0"
117,No,Maybe,I don't know.,"Maybe, 0"
118,No,No,Not at all.,"No, 0"
119,No,No,No way.,"No, 0"
120,No,No,Haven’t done that.,"No, 0"
121,No,Maybe,Can’t recall doing that.,"Maybe, 0"
122,No,Unknown,Not in a long time.,"Other, 0"
123,No,No,I highly doubt it.,"No, 0"
124,No,No,Can’t say that I have.,"No, 0"
125,No,Unknown,Not even close.,"Other, 0"
126,No,No,That’s not me.,"No, 0"
127,No,Maybe,I don’t think so.,"Maybe, 0"
128,No,No,Not once.,"No, 0"
129,No,No,Far from it.,"No, 0"
130,No,No,"I wish, but no.","No, 0"
131,No,No,"Unfortunately, no.","No, 0"
132,No,No,No shot.,"No, 0"
133,No,No,I wouldn’t say so.,"No, 0"
134,No,No,Doesn’t seem like it.,"No, 0"
135,No,No,Not happening.,"No, 0"
136,No,No,Not at this moment.,"No, 0"
137,No,No,"Not really, no.","No, 0"
138,No,No,That’s a no from me.,"No, 0"
139,No,Maybe,Can’t say yes to that.,"Maybe, 0"
140,No,Maybe,I wouldn’t count on it.,"Maybe, 0"
141,No,No,No chance.,"No, 0"
142,No,No,Not gonna happen.,"No, 0"
143,No,No,That’s a no from me.,"No, 0"
144,No,No,Not my thing.,"No, 0"
145,No,Maybe,Not exactly.,"Maybe, 0"
146,No,No,Doesn’t look like it.,"No, 0"
147,No,No,I’d rather not.,"No, 0"
148,No,Unknown,Not feeling it.,"1_mood, 1"
149,No,No,Highly unlikely.,"No, 0"
150,No,Maybe,I wouldn’t bet on it.,"Maybe, 0"
151,No,No,That’s not happening.,"No, 0"
152,No,No,Zero chance.,"No, 0"
153,Stop,Stop,I don't want to talk to you.,"Stop, 0"
154,Stop,Stop,Stop.,"Stop, 0"
155,Stop,Stop,Shut up.,"Stop, 0"
156,Stop,Unknown,Go fuck yourself.,"Other, 0"
157,Stop,Stop,Talk to me later.,"Stop, 0"
158,Stop,Unknown,I am really busy now.,"5_work_dayoff, 1"
159,Stop,Stop,I don't want to talk now.,"Stop, 0"
160,Stop,Stop,Let's do this later.,"Stop, 0"
161,Stop,No,Not now.,"No, 0"
162,Stop,Stop,Stop asking me questions.,"Stop, 0"
163,Stop,Stop,Let's resume latter.,"Stop, 0"
164,Stop,Stop,Please stop.,"Stop, 0"
165,Stop,Stop,Don't talk to me.,"Stop, 0"
166,Stop,Stop,Stop asking.,"Stop, 0"
167,Stop,Stop,I don't want to answer.,"Stop, 0"
168,Stop,Unknown,I'm not in the mood.,"1_mood, 1"
169,Stop,Stop,I'm not in the mood to answer your question.,"Stop, 0"
170,Stop,Stop,Leave me alone.,"Stop, 0"
171,Stop,Unknown,Get off my back.,"Other, 0"
172,Stop,Stop,Don't bother me.,"Stop, 0"
173,Stop,Stop,Go away.,"Stop, 0"
174,Stop,Stop,Fuck off.,"Stop, 0"
175,Stop,Stop,I am done with the session today.,"Stop, 0"
176,Stop,Stop,Stop talking to me now.,"Stop, 0"
177,Stop,Stop,Enough.,"Stop, 0"
178,Stop,Stop,That’s it.,"Stop, 0"
179,Stop,Stop,I’m over this.,"Stop, 0"
180,Stop,Unknown,I need a break.,"5_work_dayoff, 1"
181,Stop,Stop,Let’s talk some other time.,"Stop, 0"
182,Stop,Unknown,I don’t feel like talking.,"3_talk, 1"
183,Stop,Stop,This conversation is over.,"Stop, 0"
184,Stop,Stop,That’s enough questions.,"Stop, 0"
185,Stop,Stop,Just stop.,"Stop, 0"
186,Stop,Stop,I'm not dealing with this right now.,"Stop, 0"
187,Stop,Stop,I don't want to talk to you at this moment.,"Stop, 0"
188,Stop,Stop,I need some space right now.,"Stop, 0"
189,Stop,Stop,Leave me in quiet.,"Stop, 0"
190,Stop,Stop,Can you just stop?,"Stop, 0"
191,Stop,Unknown,I’ve had enough.,"4_safe, 2"
192,Stop,Stop,Let’s not continue this.,"Stop, 0"
193,Stop,Unknown,I need some quiet.,"Other, 0"
194,Stop,Unknown,This is getting annoying.,"Other, 0"
195,Stop,Stop,I don’t want to deal with this right now.,"Stop, 0"
196,Question,Question,Pardon?,"Question, 0"
197,Question,Question,What does that mean?,"Question, 0"
198,Question,Question,What is that?,"Question, 0"
199,Question,Question,What's going on?,"Question, 0"
200,Question,Question,Can you repeat the question?,"Question, 0"
201,Question,Question,Say that again?,"Question, 0"
202,Question,Question,Can you say it again?,"Question, 0"
203,Question,Question,What?,"Question, 0"
204,Question,Question,What do you mean?,"Question, 0"
205,Question,Question,How can I know?,"Question, 0"
206,Question,Question,You tell me.,"Question, 0"
207,Question,Question,What do you think?,"Question, 0"
208,Question,Maybe,I don't know.,"Maybe, 0"
209,Question,Question,I don't know what that means.,"Question, 0"
210,Question,Maybe,Who knows?,"Maybe, 0"
211,Question,Maybe,You never know.,"Maybe, 0"
212,Question,Question,Huh?,"Question, 0"
213,Question,Question,Come again?,"Question, 0"
214,Question,Question,Could you clarify?,"Question, 0"
215,Question,Maybe,I'm not sure.,"Maybe, 0"
216,Question,Question,Can you explain that?,"Question, 0"
217,Question,Question,What are you talking about?,"Question, 0"
218,Question,Question,What do you mean by that?,"Question, 0"
219,Question,Question,Not sure I understand.,"Question, 0"
220,Question,Question,What are you asking?,"Question, 0"
221,Question,Question,Can you be more specific?,"Question, 0"
222,Question,Question,What exactly do you mean?,"Question, 0"
223,Question,Question,I'm confused.,"Question, 0"
224,Question,Question,Can you break that down?,"Question, 0"
225,Question,Question,"Wait, what?","Question, 0"
226,Question,Question,What are you referring to?,"Question, 0"
227,Question,Question,How should I know?,"Question, 0"
228,Question,Question,That’s unclear.,"Question, 0"
229,Question,Question,Can you elaborate?,"Question, 0"
230,Question,Question,What makes you ask that?,"Question, 0"
231,Question,Maybe,I have no idea.,"Maybe, 0"
232,Question,Question,What’s your point?,"Question, 0"
233,Question,Question,Where are you going with this?,"Question, 0"
234,Question,Question,Why do you ask?,"Question, 0"
235,Question,Question,Is that a real question?,"Question, 0"
236,Question,Question,What’s that supposed to mean?,"Question, 0"
237,Question,Question,I’m not following.,"Question, 0"
238,Question,Question,"Wait, can you clarify?","Question, 0"
239,Question,Question,I don’t get it.,"Question, 0"
240,Question,Question,What’s your angle?,"Question, 0"
241,Question,Question,Could you say that differently?,"Question, 0"
242,Question,Question,Can you rephrase that?,"Question, 0"
243,Question,Question,I'm not following you.,"Question, 0"
244,Question,Question,What are you trying to say?,"Question, 0"
245,Question,Question,That doesn’t make sense to me.,"Question, 0"
246,Question,Question,Could you give me more context?,"Question, 0"
247,Question,Question,Do you mind explaining that again?,"Question, 0"
248,Question,Question,I don’t quite understand.,"Question, 0"
249,Question,Question,Can you make that clearer?,"Question, 0"
250,Question,Question,"Wait, do you mean this or something else?","Question, 0"
251,Question,Question,I need more details on that.,"Question, 0"
252,Maybe,Maybe,Maybe.,"Maybe, 0"
253,Maybe,Unknown,It's average.,"Other, 0"
254,Maybe,Maybe,Sometimes.,"Maybe, 0"
255,Maybe,Maybe,From time to time.,"Maybe, 0"
256,Maybe,Maybe,Ocassionally.,"Maybe, 0"
257,Maybe,Unknown,Some time in a week.,"Other, 0"
258,Maybe,Unknown,Average.,"Other, 0"
259,Maybe,Unknown,As usual.,"Other, 0"
260,Maybe,Unknown,Just like before.,"Other, 0"
261,Maybe,Unknown,As the old days,"Other, 0"
262,Maybe,Maybe,I'm not sure.,"Maybe, 0"
263,Maybe,Maybe,Probably.,"Maybe, 0"
264,Maybe,Maybe,Possibly.,"Maybe, 0"
265,Maybe,Maybe,Could be.,"Maybe, 0"
266,Maybe,Maybe,Depends.,"Maybe, 0"
267,Maybe,Maybe,It varies.,"Maybe, 0"
268,Maybe,Maybe,Not always.,"Maybe, 0"
269,Maybe,Maybe,Kind of.,"Maybe, 0"
270,Maybe,Maybe,Sort of.,"Maybe, 0"
271,Maybe,Maybe,Now and then.,"Maybe, 0"
272,Maybe,Maybe,Once in a while.,"Maybe, 0"
273,Maybe,Maybe,Every so often.,"Maybe, 0"
274,Maybe,Maybe,On occasion.,"Maybe, 0"
275,Maybe,Maybe,At times.,"Maybe, 0"
276,Maybe,Maybe,Not sure.,"Maybe, 0"
277,Maybe,Maybe,Could go either way.,"Maybe, 0"
278,Maybe,Maybe,Neither here nor there.,"Maybe, 0"
279,Maybe,Maybe,Not really sure.,"Maybe, 0"
280,Maybe,Maybe,Hard to say.,"Maybe, 0"
281,Maybe,Maybe,It depends on the situation.,"Maybe, 0"
282,Maybe,Maybe,That’s up for debate.,"Maybe, 0"
283,Maybe,Maybe,It’s uncertain.,"Maybe, 0"
284,Maybe,Maybe,Can’t say for sure.,"Maybe, 0"
285,Maybe,Maybe,More or less.,"Maybe, 0"
286,Maybe,Maybe,I suppose so.,"Maybe, 0"
287,Maybe,Maybe,Not necessarily.,"Maybe, 0"
288,Maybe,Maybe,Not too sure.,"Maybe, 0"
289,Maybe,Maybe,It's a bit of both.,"Maybe, 0"
290,Maybe,Maybe,It's possible.,"Maybe, 0"
291,Maybe,Maybe,I guess.,"Maybe, 0"
292,Maybe,Maybe,"I think so, but not sure.","Maybe, 0"
293,Maybe,Maybe,It could be the case.,"Maybe, 0"
294,Maybe,Maybe,It’s in between.,"Maybe, 0"
295,Maybe,Maybe,Somewhat.,"Maybe, 0"
296,Maybe,Maybe,That depends.,"Maybe, 0"
297,Maybe,Maybe,A little bit.,"Maybe, 0"
298,Maybe,Maybe,That's a mayb to me.,"Maybe, 0"
