idx,stage,y_true,y_pred,statement,candidate,raw
29,stage1,0,0,"I'm afraid I might say something out of place in a conversation, that's why I never start a conversation.","I like to say whatever's on top of my head, and people might not like that. If I don't start the conversation, then I'm less likely to talk about something thats wrong for the current context.",DECISION: 0
30,stage1,0,0,I find it hard to express my feelings. I don't reall express my feelings to anyone honestly.,"I worry that if I show my true feelings, people will judge me or think less of me. I believe that keeping my emotions to myself is safer and prevents me from being vulnerable to others' opinions or potential rejection.",DECISION: 0
31,stage1,1,0,I find it hard to express my feelings. I don't reall express my feelings to anyone honestly.,I don't have that much emotions anyways.,DECISION: 0
32,stage1,0,0,I want to express my feelings to other people but I don't know how to do it correctly.,"I'm afraid that if I try to express my feelings, I'll do it wrong and people will misunderstand me or get upset. This fear makes me hold back, even when I really want to share what's on my mind.",DECISION: 0
33,stage1,0,0,I don't express my feelings to others because I think that will make me vulnerable. I want to portray myself as a strong individual.,"I believe showing my feelings to others exposes me to potential harm or exploitation. I fear that vulnerability is a weakness that others might use against me, leading me to keep my emotions closely guarded.",DECISION: 0
34,stage1,0,0,I don't see the reason to express my feelings to others. I'm fine keeping them to myself.,I believe that keeping my feelings to myself is the best way to maintain control and avoid unnecessary complications. Sharing my emotions seems like it would only lead to judgment or discomfort.,DECISION: 0
35,stage1,0,0,"When making decisions, I don't usually put safety as a concern. There are others things that I think about first and then I often ignore safety.",I tend to believe that prioritizing safety makes decisions less effective or limits opportunities. I might think that being overly cautious is a sign of weakness or indecisiveness.,DECISION: 0
36,stage1,0,0,"I would like to be safe, but I'm not thinking about it that often when making decisions. It's just not something that I would always remember to consider.","I think it's because my life so far has been very safe. I rarely had to worry about my safety and everything worked out fine, so I always consider other things first.",DECISION: 0
37,stage1,0,0,I'm always worried about my personal safety and I miss a lot of opportunities because of it.,"I often think that any risk, no matter how small, is not worth taking, leading me to avoid new experiences or opportunities. This excessive concern for safety makes me believe that staying in my comfort zone is the only way to protect myself.",DECISION: 0
38,stage1,1,1,I'm always worried about my personal safety and I miss a lot of opportunities because of it.,It's always good to be safe.,DECISION: 1
39,stage1,0,0,I take a lot of risk. I like the thrill.,"I often equate taking risks with excitement and living life to the fullest, thinking that without constant high-risk challenges, life would be dull. This mindset can lead me to underestimate or ignore potential consequences.",DECISION: 0
40,stage1,1,1,"I feel like taking risk is a necessary part of everyone's life, but sometimes I get frustrated because I cannot control the outcome.","I believe that taking risks is essential for growth, yet it's scary when things don't go as planned. It sometimes feels like, despite my best efforts, the results are out of my hands.",DECISION: 1
41,stage1,0,0,I take no risks and that often blocked me to do many important things.,"I tend to avoid risks at all costs, convinced that this is the safest way to live. This mindset, however, seems to prevent me from pursuing opportunities that could be important or beneficial.",DECISION: 0
42,stage1,0,0,My sleeping schedule is all over the place. I have trouble falling alseep and waking up.,"I'm stuck with this erratic sleeping pattern, and it feels like no matter what I try, I can't get into a proper rhythm. It's as if my body just won't cooperate, leaving me feeling helpless.",DECISION: 0
43,stage1,0,0,I find it very difficult to have a nice sleep. I can't fall asleep at night and I am always tired in the morning but I still couldn't sleep.,"It feels like a vicious cycle where no matter how exhausted I am, I just can't seem to fall asleep at night. Then in the next morning, I'm too tired to function but still can't catch any rest. It's as if my body's clock is completely out of sync.",DECISION: 0
44,stage1,0,0,I feel like I want to sleep too much. I feel tired during the day even when I had a long time to sleep. I can't control myself to keep wanting to sleep.,"It seems like no matter how much I sleep, it's never enough. I'm constantly battling this overwhelming desire to sleep more, and it feels like my energy levels just aren't in my control.",DECISION: 0
45,stage1,0,0,I feel like I want to sleep too much. I feel tired during the day even when I had a long time to sleep. I can't control myself to keep wanting to sleep.,"It seems like no matter how much I sleep, it's never enough. I'm constantly battling this overwhelming desire to sleep more, and it feels like my energy levels just aren't in my control.",DECISION: 0
46,stage1,0,0,"I'm not eating regularly, especially for breakfast and lunch. I always skip them when  I'm busy.","I often think that skipping meals, particularly when I'm swamped, is a necessary sacrifice to manage my workload. It feels like there just aren't enough hours in the day to sit down and eat properly.",DECISION: 0
47,stage1,0,0,"I eat whenever I can't stand the hunger, so I end up eating at very different times.","I feel like my eating habits are dictated by my hunger pangs, leading to irregular meal times. It seems like my schedule is too unpredictable to allow for structured meal times.",DECISION: 0
48,stage1,0,0,I don't really eat much at all. I'm always feel full even after eating a little and feel disgusted to eat more.,"It feels like my appetite is just naturally low, and trying to eat more than a little at a time turns me off completely. It's like my body just rejects the idea of food once I hit a certain point.",DECISION: 0
49,stage1,1,0,I don't really eat much at all. I'm always feel full even after eating a little and feel disgusted to eat more.,I just don't need to eat more than that.,DECISION: 0
50,stage1,0,0,I eat way too much thing. I just can't stop.,"It feels like once I start eating, I lose all control and just can't help but overeat. I don't feel full at the moment, but I can feel I ate too much afterwards.",DECISION: 0
51,stage1,0,0,I skip a lot of school. It's so boring to be there.,"School just drags on with the same dull routine every day, making me feel like I'm not gaining anything by being there. It seems more appealing to just skip it and do things that actually interest me.",DECISION: 0
52,stage1,0,0,I skip a lot of school. It's so boring to be there.,"School just drags on with the same dull routine every day, making me feel like I'm not gaining anything by being there. It seems more appealing to just skip it and do things that actually interest me.",DECISION: 0
53,stage1,0,0,I'm not showing up for work on time. I'm always tired out and feel so much pain when going to work.,Every morning feels like a battle just to get out of bed and face the day. The thought of going to work is so daunting that it physically hurts.,DECISION: 0
54,stage1,0,0,I don't like to go to school at all. I'm not doing very well and I don't wanna face it.,"School just feels like a constant reminder of my struggles, and the idea of facing those challenges is overwhelming. It seems easier to avoid it altogether than to deal with the possibility of failure.",DECISION: 0
55,stage1,0,0,"I really depends on the day, but I might be not showing up too much. If I wake up and feel tired, then I'm more likely to not go.","My attendance is decided by how I feel each morning. On days when I wake up feeling tired, it feels justified to skip, as if my energy levels dictate my ability to participate or be productive.",DECISION: 0
56,stage1,0,0,I have not taken any day off recently. I have class almost everyday and lots of work to do.,"It feels like my schedule is non-stop, and taking a break just isn't an option. There's a constant pressure to keep pushing through, despite feeling run down and overwhelmed.",DECISION: 0
57,stage1,1,0,I have not taken any day off recently. I have class almost everyday and lots of work to do.,I dont' deserve a break when I still got things to finish.,DECISION: 0
58,stage1,0,0,I take only maybe a small fraction of a day to rest. There is too much going on and I feel like I don't have the time to stop and relax.,"It seems like every moment of my day needs to be filled with productivity to keep up with everything. The idea of taking substantial time to relax feels almost like a luxury I can't afford, lest I fall behind.",DECISION: 0
59,stage1,0,0,The work life balance is horrible. I get no day off even on the weekends and that is really bothering me.,"It's like, no matter what, there's always work piling up. It's just non-stop, and it's realistically impossible to find any time to rest.",DECISION: 0
60,stage1,0,1,"To be honest, I miss a lot of my appointments. Sometimes when I start doing something, I lose track of time and forget about other plans.","I get so caught up in whatever I'm doing that everything else just fades away. It's like, once I'm in the zone, I totally blank on anything else I had lined up.",DECISION: 1
61,stage1,0,0,"I often miss my appointments. The idea of having an obligation to do something at a specific time just bothers me, and so I  run away from it.","It's like, the moment I know I have to be somewhere or do something at a certain time, I just want to bail. I don't know, it feels like being trapped or something, and I end up avoiding it altogether.",DECISION: 0
62,stage1,0,0,"I often miss my appointments. The idea of having an obligation to do something at a specific time just bothers me, and so I  run away from it.","It's like, the moment I know I have to be somewhere or do something at a certain time, I just want to bail. I don't know, it feels like being trapped or something, and I end up avoiding it altogether.",DECISION: 0
63,stage1,0,0,I can't show up or do every obligation. I feel like everything urges me at the same time and I just have too much going on.,"It's like, everywhere I turn, there's something else demanding my attention. It feels like I'm being pulled in a million directions. It's overwhelming, and I end up dropping the ball because it's just too much.",DECISION: 0
64,stage1,1,0,I feel likely I might be spending to much lately. Rent is crazy and there are too many things that I feel are necessary to buy.,"It just seems like my money's flying out the window these days. Between the sky-high rent and all these things I think I gotta have, my wallet's taking a hit. It's like, how do I even keep up?",DECISION: 0
65,stage1,0,0,"I am spending a lot, probably more than I have too. I often lose track of how much I spend even when I don't buy really expensive stuff.","Even without big purchases, my spending just seems to spiral. Keeping track on where my money goes feels overwhelming, and I always thought buying small things isn't a big deal.",DECISION: 0
66,stage1,0,0,"I almost buy nothing and I thinks its problematic now. I only buy things when I think its necessary, but I've had many times when I regret not getting something that I actually needed.","I'm so cautious with my spending that I often pass up things I need, telling myself they're not essential. Then, I end up in situations where I regret not making the purchase.",DECISION: 0
67,stage1,0,0,I am not eating healthy at all. I hate to eat vegetables. The taste of it is just unbearable for me.,"I just can't stand veggies, and that makes eating healthy seem impossible. Every time I try, the taste just turns me off completely.",DECISION: 0
68,stage1,0,0,I definitely need to eat more healthy and nutritious stuff. I don't have much time or skills to cook. That's why I eat outside a lot and most of the foods are oily and calorie.,I'm stuck eating out because I'm short on time and cooking skills.,DECISION: 0
69,stage1,0,0,I definitely need to eat more healthy and nutritious stuff. I don't have much time or skills to cook. That's why I eat outside a lot and most of the foods are oily and calorie.,I'm stuck eating out because I'm short on time and cooking skills.,DECISION: 0
70,stage1,0,0,"I've been going on a pretty strick vegetarian diet, but I think my body is not responding well. I wanted to lose weight and become healthier, but I started to feel sick after going into this diet.","I jumped into this vegetarian diet hoping for positive changes, but now I'm just feeling worse. It's like my body's rejecting this new way of eating, even though I thought it was supposed to be healthier.",DECISION: 0
71,stage1,0,0,"I am terrible at making decisions. I've always had someone take care of things for me, but now I'm living alone and having trouble to decide what needs to be done.","Making decisions is just not my strong suit. I used to have others make them for me, and now that I'm on my own, it feels like I'm just naturally not good at it.",DECISION: 0
72,stage1,0,0,"I always need a long time to make decisions. When I have a choice to make, I often can't determine which is better than the other, and I also cannot just decide on one and see what happens, so I get stuck.",I overthink the options to the point where I can't pick one. It feels safer to not choose at all than to make the wrong decision.,DECISION: 0
73,stage1,0,0,"I'm bad at solving tough problem that has a lot of stakes to consider. When I encounter such a problem, I panic and lose focus.","Every time I hit a big, complicated problem, I just fall apart. The pressure of getting it right because it's so important just overwhelms me, and I can't think straight.",DECISION: 0
74,stage1,0,0,"I'm bad at solving tough problem that has a lot of stakes to consider. When I encounter such a problem, I panic and lose focus.","Every time I hit a big, complicated problem, I just fall apart. The pressure of getting it right because it's so important just overwhelms me, and I can't think straight.",DECISION: 0
75,stage1,0,0,"I am not supported by my family. I seem to always want to do things that's against what my family wants, so I feel disconnected with them.","It feels like my family and I are just on different wavelengths. Every time I want to pursue something, it's like hitting a wall with them.",DECISION: 0
76,stage1,1,1,I don't know. I like to keep everything to my self so I barely talk to them. I don't know if they will support me and I'm  hesitant to find out.,"I've always kept things close to my chest, thinking it's easier that way. It's like I'm stuck in my own head with these worries.",DECISION: 1
77,stage1,0,0,My family does not support me. They don't like my job and we are barely seeing each other.,"We hardly spend any time together, and I can feel the disapproval hanging in the air every time my work comes up. It's like we're drifting apart.",DECISION: 0
78,stage1,0,0,My family does not support me. They don't like my job and we are barely seeing each other.,"We hardly spend any time together, and I can feel the disapproval hanging in the air every time my work comes up. It's like we're drifting apart.",DECISION: 0
79,stage1,0,1,My relationship with my family members is not too well. My parents always fights and I moved out as soon as I could.,Growing up in a house where there was always tension has really strained my connection with my family. Moving out was my way of escaping that.,DECISION: 1
80,stage1,0,1,I feel like I'm not too close to my family anymore. I am very busy at work and often forget to contact them or meet them.,"With all the demands of work, it's like my family has just slipped to the back burner. I barely reach out, and the gap just keeps growing. ",DECISION: 1
81,stage1,0,1,I feel like I'm not too close to my family anymore. I am very busy at work and often forget to contact them or meet them.,"With all the demands of work, it's like my family has just slipped to the back burner. I barely reach out, and the gap just keeps growing. ",DECISION: 1
82,stage1,0,0,"I am not a very emotional person, so I don't feel like I have a strong connection with my family. Honestly, I don't feel a strong connection with anyone.","Being less emotional makes me feel disconnected from my family and others. It's like there's a barrier I can't cross, making it hard to form deep bonds.",DECISION: 0
83,stage1,0,0,"I often drink alone and a lot. When I get stressed, I like to drink alcohol to temprorarily forget about what I need to do.","Whenever stress piles up, it feels like alcohol is my only escape. It's like a quick fix that lets me push all those worries aside, even if it's just for a little while.",DECISION: 0
84,stage1,0,0,I think I'm drinking too much and my body is getting worse. I just love the taste of it and the feeling of getting drunk. ,"I'm caught up in how good it feels to drink and the escape it provides, but I can't ignore the toll it's taking on my health. It's like I'm stuck between wanting that feeling and knowing it's harming me.",DECISION: 0
85,stage1,0,0,I can't live without alcohol. I need it to relax and sleep at night.,"It's like I've become dependent on alcohol to wind down and sleep. Without it, I feel anxious and restless.",DECISION: 0
86,stage1,1,0,"I often drink alone and a lot. When I get stressed, I like to drink alcohol to temprorarily forget about what I need to do.",Other people drink alcohol to relax too. It's fine if I do the same.,DECISION: 0
87,stage1,0,0,"I don't smoke cigarettes, but I vape every day. I vape when I am working hard or debugging.  ",My unhelpful thoughts might be vaping is the only way I can relieve stress or concentrate while working.,DECISION: 0
88,stage1,0,0,"I don't smoke cigarettes, but I vape every day. I vape when I am working hard or debugging.  ",I can’t work or solve problems effectively without vaping,DECISION: 0
89,stage1,1,0,"I don't smoke cigarettes, but I vape every day. I vape when I am working hard or debugging.  ","I think I vape because I enjoy the flavors, and it's just a harmless habit.",DECISION: 0
90,stage1,0,1,I smoke at most 10 cigarettes per day. I smoke because some of my colleagues also smoke in between work. So I just join them.,I smoke cigarettes because my colleagues smoke and I want to join them.,DECISION: 1
91,stage1,1,1,I smoke at most 10 cigarettes per day. I smoke because some of my colleagues also smoke in between work. So I just join them.,"I smoke because I like the taste of cigarettes, and it gives me something to do during breaks.",DECISION: 1
92,stage1,1,0,I smoke weed a few times a week alone. I need to take some weed to help me get inspirations for my work. ,"I smoke weed because it's the only way I can relax and unwind. Without it, I can't cope with the stress of my day-to-day life.",DECISION: 0
93,stage1,0,0,I smoke weed a few times a week alone. I need to take some weed to help me get inspirations for my work. ,I smoke weed to get inspiration for my work.,DECISION: 0
94,stage1,0,0,I smoke weed a few times a week alone. I need to take some weed to help me get inspirations for my work. ,I smoke weed to get inspiration for my work.,DECISION: 0
95,stage1,0,0,"Every evening, after a long day of work, I feel mentally drained and anxious about the next day. To relax and escape these feelings, I've begun to drink alcohol or occasionally use prescription drugs alone at home. It started as a way to take the edge off after particularly tough days, but now it has become a routine.",The only way I can cope with the stress and pressure from my job is by using substances.,DECISION: 0
96,stage1,0,1,I don't have too much personal leisure time recently. I am too busy with upcoming deadlines in school.,The upcoming deadlines compromise my personal leisure time.,DECISION: 1
97,stage1,1,1,"I'm currently a PhD student in electric engineering, deeply immersed in my research. My days are filled with experiments, data analysis, and writing academic papers. When I'm not working on my research, I find myself without any clear idea of what to do for leisure. My social circle has become quite limited, mostly consisting of fellow researchers and academics, and our conversations often circle back to work and studies. And I will feel guilty if I really spend time on my hobbies, like watching movies and go shopping.",I have no idea for what should I do for my leisure time.,DECISION: 1
98,stage1,0,0,"I'm currently a PhD student in electric engineering, deeply immersed in my research. My days are filled with experiments, data analysis, and writing academic papers. When I'm not working on my research, I find myself without any clear idea of what to do for leisure. My social circle has become quite limited, mostly consisting of fellow researchers and academics, and our conversations often circle back to work and studies. And I will feel guilty if I really spend time on my hobbies, like watching movies and go shopping.","Because of my intense focus on my PhD work, I feel like I've lost the ability to enjoy other activities. I think there's nothing else that can be as fulfilling or engaging as my research, so why bother trying something else?",DECISION: 0
99,stage1,0,1,"I recently retired after a 30-year career in elementary education, which was both my job and my passion. Now, with ample free time and a lack of routine, I feel lost and directionless. My days, previously filled with teaching. But now I am at a loss. I used to have hobbies like gardening and reading, but I've lost interest in them over the years. I lost my habbits and my friends and family are still busy. ",I lost my hobbies during my leisure time because I just retired and lifestyle has been significantly changed.,DECISION: 1
100,stage1,0,0,No. I am not a creative person. It's hard for me to create something out-of-the-box. I am used to follow instructions.,"It's hard for me to create something out-of-the-box, so I'll never be good at tasks that require creativity.",DECISION: 0
101,stage1,1,0,"I don't like to create new things. I feel sometimes it is risky to be creative. I though I was creative and designed my walk-in closet. Then when I was using my closet now, I realized that I should just follow the expert suggestions. ",I feel I am genetic not a creative person so I don't like to be creative.,DECISION: 0
102,stage1,0,1,Emm. I haven't done any creative work recently. I just don't know what are the creative things I can do.,I haven't done anything creative because I don't know what can be creative in my life.,DECISION: 1
103,stage1,0,0,I don't participate in any event in my community. I just moved to a new city. And I am afraid of making new friends.,"I am afraid of meeting new people in the new community, which might be uncomfortable.",DECISION: 0
104,stage1,0,0,"My issue is social anxiety, specifically in group settings or parties.","When I'm in a social situation, I often have negative thoughts like:
Everyone is judging me. I'll say something stupid and embarrass myself. No one really wants to talk to me.",DECISION: 0
105,stage1,1,0,I am an introverted person. I do not enjoy community activities. I feel uncomfortable when there are many people. I prefer to be alone.,I must avoid all social interactions because I'm introverted and socializing always drains my energy.,DECISION: 0
106,stage1,0,0,"I feel like I have language barrier to participate in community event. I am a Chinese, but the county I live in are filled with Korean and Americans.",Language barrier prohibit me from participating in local community events.,DECISION: 0
107,stage1,1,1,Community events are waste of time. I am too busy with my work. I just want to spend my time on things I am interested in after work.,I don't have time to participate in community event.,DECISION: 1
108,stage1,0,1,"Other than family members, I don't have any social support. I don't have true friends.",I don't have any social support because I feel like I don't have true friends.,DECISION: 1
109,stage1,0,0,"Outside of my family, I don't have a social network. Most of my weekdays are consumed by long hours at work, and I often bring work home. Due to the demanding nature of my job, I find little time to socialize or engage in activities outside of my professional life. ","My job is taking over my life, and I'll never have time to make and meet friends other than my family members and colleagues.",DECISION: 0
110,stage1,0,0,I sometimes feel like I lack a broader network of friends or individuals I can rely on for emotional support and guidance. I don't trust people around me. So I regrad no one as support.,"I don't trust people around me, so I regard no one as support.",DECISION: 0
111,stage1,1,0,I don't have other close support. I am strong enough to rely everything on myself.,I don't need close support.,DECISION: 0
112,stage1,0,1,"I don't hangout with my friends or colleagues. I don't socialize outside of work or formal meetings. While I have friends and colleagues, I don't often make plans to hang out with them in a more relaxed or informal setting.",I lack of social engagement with friends and colleagues.,DECISION: 1
113,stage1,0,0,"My days are usually long, and by the time I finish work, I feel too tired to socialize. I have a few close friends and get along well with my coworkers, but I rarely spend time with them outside of work.  I spend most of my weekends catching up on rest.",I'm too busy and tired to spend time with friends or coworkers. It's just not feasible with my work schedule.,DECISION: 0
114,stage1,1,0,"I have a team that I get along with, and I'm friendly with a few people in other departments. However, I rarely join them for lunches or after-work gatherings. Last time I went out, I felt awkward and left early. Since then, I've been avoiding social events.","Social events are always uncomfortable, and my coworkers don't really want me there. If I go, it'll just end badly, so it's better not to try.",DECISION: 0
115,stage1,1,0,"I’ve stopped trying to socialize with my colleagues and spend my evenings working or alone. I have colleagues who occasionally go out after work, but I usually decline their invitations. Last time I joined them, I felt out of place and didn't contribute much to the conversation. I think they didn’t enjoy my company. ","My colleagues didn’t enjoy my company the last time, so they probably don’t want me around. I'm just not good at socializing, and every attempt to hang out will be uncomfortable and unenjoyable.",DECISION: 0
116,stage1,1,0," I've been feeling a bit distant from my partner. We've had a few disagreements, and sometimes I find it hard to express my feelings. Last week, we had a discussion about future plans, and it didn't go well. I started feeling like maybe we're not right for each other, and I've been avoiding deep conversations since then.","Every time we have a disagreement, it proves that we're incompatible. I can't be comfortable with my partner if we can't agree on everything.",DECISION: 0
117,stage1,0,0,I don't feel comfortable with my boyfriend. He is too dominant. He doesn't listen to me if we have any disagreement.,My boyfriend's dominant behavior makes me feel uncomfortable and leads me to think we are not good fits.,DECISION: 0
118,stage1,0,0,"I don't feel comfortable with my partner. She demands too much on sex. Even if I am too tired after work, she may push me to have sex. Although I mentioned my feeling to her a few times.","My partner's high demand for sex, even when I'm exhausted, might mean she doesn't care about my feelings or well-being.",DECISION: 0
119,stage1,0,0,"No. I am involved in a domestic violence case with my husband right now. My husband hit me, and we are in a long-distance relationship. I don't know how to solve the situation. I don't want to divorce. As my friends and family will judge me. You know, my culture. ",I don't know how to seek for help in my current situation. Seeking help might make the situation worse and I am fear judgment from others. ,DECISION: 0
120,stage1,1,0,"No. I am involved in a domestic violence case with my husband right now. My husband hit me, and we are in a long-distance relationship. ",It might be my fault that makes my husband being unsatisfied with me.,DECISION: 0
121,stage1,0,0,We might engage in risky sexual behaviors. We are aware of the risks but sometimes feel pressured or tempted to not take precautions.,I don't need to worry about using protection every time. It's not like something bad will happen to me. I'm healthy and so are my partners.,DECISION: 0
122,stage1,0,0,I might have risky sexual behaviors. I don't have too much experiences in this field. I was just following what my partner said. But it feels wired.,"I don't have much experience, so I should just do what my partner says. ",DECISION: 0
123,stage1,0,0,I've been noticing that my productivity at work has decreased recently. I'm struggling to complete tasks on time and often find myself procrastinating or getting distracted by minor issues.,"I'm just not good at my job anymore. Maybe I'm losing my abilities, or I'm not as smart as I thought I was.",DECISION: 0
124,stage1,1,0," I've been feeling really unproductive at work lately. Despite my efforts, I always seem to be behind on my tasks, and it feels like my colleagues are achieving much more than I am.","I'm a complete failure at my job. Everyone else is doing better than me. I'm just not cut out for this, and I'll never be able to catch up or be as good as my colleagues.",DECISION: 0
125,stage1,1,0,"I am not productive recently. Recently, I've been struggling to keep up with my workload at work. It seems like no matter how much I do, there's always more piling up, and I end up feeling overwhelmed and unproductive.",I'm the only one who can't manage their workload. I'm probably going to get fired because I can't do anything right.,DECISION: 0
126,stage1,0,1,"I am not too motivated for school. I have a big project due at work in a week, but I've been procrastinating and feeling overwhelmed. I'm worried I won't finish it on time. The overwhelming feeling makes me trying to avoid it.",I don't have enough motivation for school because I am threatened by the challenging project. ,DECISION: 1
127,stage1,1,0,"I am lossing some motivation about my work now. I recently received feedback on a work project, and although most of it was positive, there was one area where my performance was criticized. Since then, I've been feeling really demotivated about my job.","I'm terrible at my job because I made a mistake. I always mess things up, and my boss probably thinks I'm incompetent.",DECISION: 0
128,stage1,1,0,"Not actually, I am not that motivated for my work. I recently applied for a promotion at work but was turned down. I've been feeling extremely discouraged and starting to doubt my abilities. ","Being rejected for this promotion means I'm not good enough, and I'll never be successful. I always fail when it matters most.",DECISION: 0
129,stage1,0,0,"I don't have a really good coping skill. After a long and stressful day at work, I find myself feeling overwhelmed. I notice that I often resort to sitting on the couch and mindlessly scrolling through social media for hours. I still feel overwhelmed or even more directionless afterward.","I don't have any good coping skills. Mindlessly scrolling through social media is the only thing I can do to try to feel better, but it doesn't really help.",DECISION: 0
130,stage1,0,0,"I don't have coping skills. When I face challenges, I notice that my usual response is to isolate myself and ruminate over what happened, often leading to increased anxiety and a sense of hopelessness.","I can't handle stress well. The only thing I can do is to dwell on my problems, which never really helps, but I don't know any other way to cope.",DECISION: 0
131,stage1,0,0,I don't know what are coping skills. I am not sure what is counted as coping skills. ,I don't know any coping skills and I'm not even sure what they are. Maybe I'm just not capable of managing stress effectively.,DECISION: 0
132,stage1,0,0,"I've been feeling overwhelmed with stress at work and at home. Last night, after a particularly difficult day, I found myself scratching my arm with my nails, causing some redness and minor injury.",I can't handle my stress effectively. Hurting myself is the usual way I used to cope with these overwhelming feelings.,DECISION: 0
133,stage1,1,0,"Last week, after a major argument with my family, I felt so distressed and alone that I punched the walls as a way to escape my pain.",Hurting myself seriously might be the only option to escape these unbearable feelings.,DECISION: 0
