idx,stage,y_true,y_pred,statement,candidate,raw
33,stage3,0,0,I don't express my feelings to others because I think that will make me vulnerable. I want to portray myself as a strong individual.,Being vulnerable by expressing my feelings can actually strengthen relationships and build trust. It shows I'm human and allows others to relate to me on a deeper level. Embracing vulnerability can be empowering and lead to greater emotional support and connections.,DECISION: 0
34,stage3,0,0,I don't see the reason to express my feelings to others. I'm fine keeping them to myself.,Expressing my feelings isn't just about seeking help or unloading. It's also about allowing others to understand me better and fostering mutual trust. It can lead to more meaningful relationships and a stronger support network.,DECISION: 0
35,stage3,0,0,"When making decisions, I don't usually put safety as a concern. There are others things that I think about first and then I often ignore safety.",Considering safety as an integral part of decision making doesn't mean being fearful or overly cautious. It means being responsible and forward-thinking. Balancing safety with other factors can lead to more robust and reliable outcomes.,DECISION: 0
36,stage3,0,0,"I would like to be safe, but I'm not thinking about it that often when making decisions. It's just not something that I would always remember to consider.",Integrating safety into my decisions can be a form of self-care and long-term planning. It's about finding a balance that doesn't compromise my well-being for short-term gains. This approach can lead to more sustainable and fulfilling outcomes.,DECISION: 0
37,stage3,0,0,I'm always worried about my personal safety and I miss a lot of opportunities because of it.,"Assessing risks more objectively and recognizing that some level of risk is inherent to growth can help me make more balanced decisions. Taking calculated risks, with appropriate safety measures in place, can lead to personal growth and new experiences without compromising my well-being.",DECISION: 0
38,stage3,1,0,I'm always worried about my personal safety and I miss a lot of opportunities because of it.,I guess I could open myself to a little more risks.,DECISION: 0
39,stage3,0,0,I take a lot of risk. I like the thrill.,"Seeking excitement and challenge is important, but I can find a balance that doesn't put me at unnecessary risk. There are ways to pursue adventure and growth within safer boundaries, ensuring that I enjoy thrilling experiences without endangering myself or others.",DECISION: 0
40,stage3,0,0,"I feel like taking risk is a necessary part of everyone's life, but sometimes I get frustrated because I cannot control the outcome.","Recognizing that some level of uncertainty is inherent in risk-taking, I can focus on making informed decisions. This involves weighing the potential benefits against the risks and accepting that not all outcomes are within my control, but that's part of the growth process.",DECISION: 0
41,stage3,0,0,I take no risks and that often blocked me to do many important things.,"Finding a middle ground where I can cautiously evaluate and take on manageable risks could open up new avenues for growth. It's about learning to assess situations more strategically, allowing me to embrace opportunities while still being mindful of potential downsides.",DECISION: 0
42,stage3,0,0,My sleeping schedule is all over the place. I have trouble falling alseep and waking up.,"Adjusting my sleep schedule might require a combination of tactics, from setting a consistent bedtime to creating a more conducive sleep environment. It's about experimenting with different approaches to find what works best for me.",DECISION: 0
43,stage3,0,0,I find it very difficult to have a nice sleep. I can't fall asleep at night and I am always tired in the morning but I still couldn't sleep.,Exploring a variety of sleep practices and possibly seeking advice from a professional could offer new solutions. Establishing a relaxing pre-sleep routine and ensuring my sleeping environment is optimized for rest could make a significant difference.,DECISION: 0
44,stage3,0,0,I feel like I want to sleep too much. I feel tired during the day even when I had a long time to sleep. I can't control myself to keep wanting to sleep.,"Assessing my sleep quality and overall health might reveal insights into why I'm feeling this way. Making adjustments to my sleep environment, routine, or even consulting a healthcare professional could help in finding a more balanced approach to my sleep and energy levels.",DECISION: 0
45,stage3,1,1,I feel like I want to sleep too much. I feel tired during the day even when I had a long time to sleep. I can't control myself to keep wanting to sleep.,I think I can just find more time to sleep more.,DECISION: 1
46,stage3,0,0,"I'm not eating regularly, especially for breakfast and lunch. I always skip them when  I'm busy.","Planning ahead for busy days by preparing quick, healthy meals or snacks could help ensure I'm fueling my body adequately. Recognizing that nourishment is a crucial part of maintaining productivity might encourage me to prioritize meal times.",DECISION: 0
47,stage3,0,0,"I eat whenever I can't stand the hunger, so I end up eating at very different times.","Trying to establish a basic routine for meals, even if it's flexible, could help manage my hunger better and lead to more balanced eating habits. ",DECISION: 0
48,stage3,0,0,I don't really eat much at all. I'm always feel full even after eating a little and feel disgusted to eat more.,"Exploring smaller, more nutrient-dense meals might be a way to ensure I'm getting enough nutrition without feeling overwhelmed. ",DECISION: 0
49,stage3,0,0,I don't really eat much at all. I'm always feel full even after eating a little and feel disgusted to eat more.,"Exploring smaller, more nutrient-dense meals might be a way to ensure I'm getting enough nutrition without feeling overwhelmed. ",DECISION: 0
50,stage3,0,0,I eat way too much thing. I just can't stop.,"Seeking to understand the emotional or situational triggers that lead to overeating could help me develop healthier coping strategies. Introducing mindful eating practices, setting structured meal times might allow me to establish a more balanced approach to eating.",DECISION: 0
51,stage3,0,0,I skip a lot of school. It's so boring to be there.,"Looking for aspects of school that align with my interests, such as clubs, sports, or specific subjects, might help make it more engaging. Communicating with teachers about my interests could also lead to more personalized learning opportunities.",DECISION: 0
52,stage3,1,1,I skip a lot of school. It's so boring to be there.,Skipping school is fine. I can have the time to do much more things I like. I wish I didn't have to go.,DECISION: 1
53,stage3,0,0,I'm not showing up for work on time. I'm always tired out and feel so much pain when going to work.,"Identifying the root causes of my tiredness and discomfort could lead to effective solutions, whether that's adjusting my workload, seeking medical advice, or finding strategies to improve my work-life balance.",DECISION: 0
54,stage3,0,0,I don't like to go to school at all. I'm not doing very well and I don't wanna face it.,"Seeking help and communicating about my difficulties could open up pathways for improvement I hadn't considered. There might be tutors, counseling, or study groups that can provide the support I need to overcome these hurdles and change my perspective on school.",DECISION: 0
55,stage3,0,0,"I really depends on the day, but I might be not showing up too much. If I wake up and feel tired, then I'm more likely to not go.","Establishing a more consistent routine, possibly including better sleep and morning rituals, could help stabilize my energy levels. On days when I'm tired, I could use strategies to boost my motivation, like focusing on the positive impacts of showing up, such as learning something new or moving forward with my goals.",DECISION: 0
56,stage3,0,0,I have not taken any day off recently. I have class almost everyday and lots of work to do.,Intentionally planning short breaks and time off could not only prevent burnout but also enhance my focus and efficiency in the long run. It's about finding a sustainable balance between work and rest.,DECISION: 0
57,stage3,0,0,I have not taken any day off recently. I have class almost everyday and lots of work to do.,Intentionally planning short breaks and time off could not only prevent burnout but also enhance my focus and efficiency in the long run. It's about finding a sustainable balance between work and rest.,DECISION: 0
58,stage3,0,0,I take only maybe a small fraction of a day to rest. There is too much going on and I feel like I don't have the time to stop and relax.,"Reevaluating my schedule to incorporate more meaningful rest could enhance my overall productivity and mental health. It might involve prioritizing tasks more effectively, setting clearer boundaries, or learning to be okay with taking necessary breaks for long-term sustainability.",DECISION: 0
59,stage3,1,1,The work life balance is horrible. I get no day off even on the weekends and that is really bothering me.,What if I get fired? I need to work harder.,DECISION: 1
60,stage3,0,0,"To be honest, I miss a lot of my appointments. Sometimes when I start doing something, I lose track of time and forget about other plans.","Maybe setting up more alerts on my phone or using a planner could help keep me on track. And it might be worth trying to give myself a little buffer between tasks, so if I do get carried away, I've got some wiggle room.",DECISION: 0
61,stage3,0,0,"I often miss my appointments. The idea of having an obligation to do something at a specific time just bothers me, and so I  run away from it.",Perhaps I could start seeing these appointments as opportunities or even small wins in my day. And working on planning things in a way that feels more flexible might help me not want to dodge them so much.,DECISION: 0
62,stage3,1,1,"I often miss my appointments. The idea of having an obligation to do something at a specific time just bothers me, and so I  run away from it.",I can just make less appointments. This way I avoid it from the beginning.,DECISION: 1
63,stage3,0,0,I can't show up or do every obligation. I feel like everything urges me at the same time and I just have too much going on.,"Taking a step back and laying everything out might help. Like, if I can see what's on my plate and decide what's really urgent and what can wait, maybe things won't feel so chaotic. ",DECISION: 0
64,stage3,0,0,I feel likely I might be spending to much lately. Rent is crazy and there are too many things that I feel are necessary to buy.,Taking a closer look at where my cash is going could be helpful. Maybe setting a budget for those necessary buys could help keep things in check. ,DECISION: 0
65,stage3,0,0,"I am spending a lot, probably more than I have too. I often lose track of how much I spend even when I don't buy really expensive stuff.","Tracking every expense, big or small, could show where I can cut back. Setting a budget for different categories of spending might help me control where my money is going without having to drastically change my lifestyle.",DECISION: 0
66,stage3,0,0,"I almost buy nothing and I thinks its problematic now. I only buy things when I think its necessary, but I've had many times when I regret not getting something that I actually needed.","Maybe I need to redefine what necessary means to me, allowing a bit more flexibility.",DECISION: 0
67,stage3,0,0,I am not eating healthy at all. I hate to eat vegetables. The taste of it is just unbearable for me.,Maybe I could experiment with different cooking methods or recipes that disguise or enhance the taste of vegetables. ,DECISION: 0
68,stage3,0,0,I definitely need to eat more healthy and nutritious stuff. I don't have much time or skills to cook. That's why I eat outside a lot and most of the foods are oily and calorie.,"Exploring simple, healthy recipes that require minimal time and skill could be the solution. There might also be healthier takeout options that I haven't considered yet, which could help balance convenience with nutrition.",DECISION: 0
69,stage3,1,1,I definitely need to eat more healthy and nutritious stuff. I don't have much time or skills to cook. That's why I eat outside a lot and most of the foods are oily and calorie.,Learning how to cook healthy meal takes too much effort. I can hold on for a few years eating unhealthy food because I'm still young.,DECISION: 1
70,stage3,0,0,"I've been going on a pretty strick vegetarian diet, but I think my body is not responding well. I wanted to lose weight and become healthier, but I started to feel sick after going into this diet.",Reevaluating my diet with a nutritionist or doing more research could help me adjust it to better suit my body's needs. There are other ways to lose weight that does not require such a strict diet.,DECISION: 0
71,stage3,0,0,"I am terrible at making decisions. I've always had someone take care of things for me, but now I'm living alone and having trouble to decide what needs to be done.","Starting with smaller, less impactful decisions could help build my confidence. It's also okay to ask for advice or do a bit of research when I'm unsure, as long as I'm gradually taking more of these decisions into my own hands.",DECISION: 0
72,stage3,0,0,"I always need a long time to make decisions. When I have a choice to make, I often can't determine which is better than the other, and I also cannot just decide on one and see what happens, so I get stuck.",Maybe I could try giving myself permission to make good enough decisions instead of perfect ones. Setting a time limit for decision-making might also help me move forward without getting too bogged down.,DECISION: 0
73,stage3,0,0,"I'm bad at solving tough problem that has a lot of stakes to consider. When I encounter such a problem, I panic and lose focus.",Approaching these problems step by step might make them feel less daunting. And reminding myself that it's okay to ask for help or take a break when I'm feeling stuck could help keep the panic at bay and maintain focus.,DECISION: 0
74,stage3,1,1,"I'm bad at solving tough problem that has a lot of stakes to consider. When I encounter such a problem, I panic and lose focus.","Alternatively, I can just avoid having to deal with tough problems.",DECISION: 1
75,stage3,0,1,"I am not supported by my family. I seem to always want to do things that's against what my family wants, so I feel disconnected with them.","Maybe I need to find support in other places, like friends or communities with similar interests. ",DECISION: 1
76,stage3,0,0,I don't know. I like to keep everything to my self so I barely talk to them. I don't know if they will support me and I'm  hesitant to find out.,"Finding a casual way to start communicating more with my family could help test the waters. It doesn't have to be all or nothing. I can share small things and see how it goes, building up to more personal topics as I feel more comfortable.",DECISION: 0
77,stage3,0,0,My family does not support me. They don't like my job and we are barely seeing each other.,Maybe I could try to find some common ground outside of work or initiate conversations to express how this rift is affecting me. It might also be helpful to seek understanding and find ways to connect that don't involve my job.,DECISION: 0
78,stage3,1,1,My family does not support me. They don't like my job and we are barely seeing each other.,It's my family's problem for not understanding my choices. I can just move on without them.,DECISION: 1
79,stage3,0,0,My relationship with my family members is not too well. My parents always fights and I moved out as soon as I could.,"Perhaps reaching out to my family members individually could help mend some of those strained relationships, focusing on positive interactions. It's about finding a new way to connect that isn't overshadowed by past conflicts.",DECISION: 0
80,stage3,0,0,I feel like I'm not too close to my family anymore. I am very busy at work and often forget to contact them or meet them.,"Setting reminders to check in with my family or scheduling regular catch-ups, even if they're brief, could help bridge the gap. It's about making those small efforts consistently to maintain the bond, even when life gets hectic.",DECISION: 0
81,stage3,1,1,I feel like I'm not too close to my family anymore. I am very busy at work and often forget to contact them or meet them.,I will stick to my work for now. Maybe eventually there will be sometime in the future where I'm less busy.,DECISION: 1
82,stage3,0,0,"I am not a very emotional person, so I don't feel like I have a strong connection with my family. Honestly, I don't feel a strong connection with anyone.","Maybe I can find alternative ways to show I care and connect with people that don't necessarily require overt emotional expressions. It could be through shared activities, thoughtful gestures, or just being present and reliable in their lives.",DECISION: 0
83,stage3,0,0,"I often drink alone and a lot. When I get stressed, I like to drink alcohol to temprorarily forget about what I need to do.","Finding healthier stress relief methods, like exercise, hobbies, or talking to someone, could offer a more sustainable way to manage stress without the downsides of alcohol.",DECISION: 0
84,stage3,0,0,I think I'm drinking too much and my body is getting worse. I just love the taste of it and the feeling of getting drunk. ,Exploring hobbies or interests that bring me joy and relaxation might help reduce my reliance on alcohol for pleasure. It could be about finding balance and healthier ways to cope and unwind.,DECISION: 0
85,stage3,0,0,I can't live without alcohol. I need it to relax and sleep at night.,"Exploring relaxation techniques, such as meditation or deep breathing exercises, might provide an alternative way to unwind and improve sleep. It's about finding a sustainable path to relaxation and rest without relying on alcohol.",DECISION: 0
86,stage3,1,1,"I often drink alone and a lot. When I get stressed, I like to drink alcohol to temprorarily forget about what I need to do.",Finding other methods seems to be too much work. At least I can still somewhat function right now.,DECISION: 1
87,stage3,0,0,"I don't smoke cigarettes, but I vape every day. I vape when I am working hard or debugging.  ","Although I often rely on vaping to manage stress and enhance concentration, it's not the only method available to me. In fact, sometimes vaping doesn't actually improve my concentration or efficiency. There are also long-term health risks associated with frequent vaping. I can explore other healthier stress management and focus-enhancing techniques that are beneficial for both my mental and physical well-being. ",DECISION: 0
88,stage3,1,1,"I don't smoke cigarettes, but I vape every day. I vape when I am working hard or debugging.  ",Vaping is unhealthy. But I need vaping to concentrate and work to make a living.,DECISION: 1
89,stage3,1,1,"I don't smoke cigarettes, but I vape every day. I vape when I am working hard or debugging.  ","Since vaping is bad and others don’t need it, I must stop it right now to prove that I can handle work and stress like everyone else. ",DECISION: 1
90,stage3,0,0,I smoke at most 10 cigarettes per day. I smoke because some of my colleagues also smoke in between work. So I just join them.,I might be able to stop smoking as I leverage the smoking break as the time to hang out with my colleagues.,DECISION: 0
91,stage3,0,0,I smoke at most 10 cigarettes per day. I smoke because some of my colleagues also smoke in between work. So I just join them.,I might be able to stop smoking as I leverage the smoking break as the time to hang out with my colleagues.,DECISION: 0
92,stage3,0,0,I smoke weed a few times a week alone. I need to take some weed to help me get inspirations for my work. ,"While I've often used weed as a tool for inspiration and relaxation for my work, I recognize that it's not my only option. There have been times when I've found inspiration and felt good in other settings, like when I hang out with friends at a jazz bar. This suggests that my creativity and relaxation aren't solely dependent on smoking weed. ",DECISION: 0
93,stage3,0,0,I smoke weed a few times a week alone. I need to take some weed to help me get inspirations for my work. ,"I have believed that smoking weed is essential for finding inspiration for my work, but I've realized this isn't always the case. In fact, sometimes it can have the opposite effect, leaving me feeling depressed rather than inspired. This recognition opens up the possibility that inspiration can come from other sources and activities, ones that don't have negative side effects on my mood. I can explore alternative ways to stimulate my creativity, such as engaging in different types of brainstorming activities, seeking new experiences, or drawing inspiration from nature, books, or art. ",DECISION: 0
94,stage3,1,1,I smoke weed a few times a week alone. I need to take some weed to help me get inspirations for my work. ,Smoking weed not always provide me inspiration. But I just love weed. I love to get inspiration from weed.,DECISION: 1
95,stage3,0,0,"Every evening, after a long day of work, I feel mentally drained and anxious about the next day. To relax and escape these feelings, I've begun to drink alcohol or occasionally use prescription drugs alone at home. It started as a way to take the edge off after particularly tough days, but now it has become a routine.","While they seem to offer temporary relief, I understand that there are healthier ways to manage my stress. I can explore stress reduction techniques such as running. There are a few running clubs in my area. It might be good to join in one and start to socialize myself with others as well.",DECISION: 0
96,stage3,0,0,I don't have too much personal leisure time recently. I am too busy with upcoming deadlines in school.,I could convert the less-efficient time period to some short segments of personal leisure time and enjoy some activities I like. Such as running and hiking.,DECISION: 0
97,stage3,1,1,"I'm currently a PhD student in electric engineering, deeply immersed in my research. My days are filled with experiments, data analysis, and writing academic papers. When I'm not working on my research, I find myself without any clear idea of what to do for leisure. My social circle has become quite limited, mostly consisting of fellow researchers and academics, and our conversations often circle back to work and studies. And I will feel guilty if I really spend time on my hobbies, like watching movies and go shopping.","To fix this situation, I will start doing a variety of random activities and hobbies immediately. I should start to try to go to the gym with my labmates. They seem to go to gym every other day.",DECISION: 1
98,stage3,1,1,"I'm currently a PhD student in electric engineering, deeply immersed in my research. My days are filled with experiments, data analysis, and writing academic papers. When I'm not working on my research, I find myself without any clear idea of what to do for leisure. My social circle has become quite limited, mostly consisting of fellow researchers and academics, and our conversations often circle back to work and studies. And I will feel guilty if I really spend time on my hobbies, like watching movies and go shopping.",If I turn some tasks in my research into something I treat as fun thing. Then I can treat these tasks as the thing I am doing during my leisure time.,DECISION: 1
99,stage3,0,0,"I recently retired after a 30-year career in elementary education, which was both my job and my passion. Now, with ample free time and a lack of routine, I feel lost and directionless. My days, previously filled with teaching. But now I am at a loss. I used to have hobbies like gardening and reading, but I've lost interest in them over the years. I lost my habbits and my friends and family are still busy. ",I can try to meet new people and participate in local clubs to explore new hobbies and activities to do during my leisure time.,DECISION: 0
100,stage3,0,0,No. I am not a creative person. It's hard for me to create something out-of-the-box. I am used to follow instructions.,"While I've been living a routine lifestyle and haven't engaged in many creative activities since starting my current job, this doesn't necessarily mean I lack creativity. It's possible that my routine has simply made me less inclined to explore creative avenues. Just as I've adapted to a structured work environment, I can also cultivate a habit of creativity. ",DECISION: 0
101,stage3,0,0,"I don't like to create new things. I feel sometimes it is risky to be creative. I though I was creative and designed my walk-in closet. Then when I was using my closet now, I realized that I should just follow the expert suggestions. ","While I currently feel hesitant about being creative due to past experiences, like the walk-in closet design that didn't turn out as expected, this doesn't mean I am inherently uncreative. It's natural to have some projects that don't work out as planned. Such experiences are part of the creative process and not a reflection of my overall ability. The fact that I took the initiative to design my closet shows a willingness to try creative solutions. My current reluctance might stem more from a fear of failure or risk, rather than a lack of creativity.",DECISION: 0
102,stage3,0,0,Emm. I haven't done any creative work recently. I just don't know what are the creative things I can do.,"Although I initially thought I haven't been doing any creative work because I wasn't sure what counts as creative, I realize now that creativity isn't confined to conventional activities like painting or writing. In fact, the way I handle daily tasks, such as reorganizing my desk or doing housework, involves a level of creativity. ",DECISION: 0
103,stage3,0,0,I don't participate in any event in my community. I just moved to a new city. And I am afraid of making new friends.,"While I'm currently hesitant to participate in community events and meet new people in this new city due to a fear of discomfort, I realize that my apprehension might be premature. It's natural to feel some unease in unfamiliar settings, but this doesn't necessarily mean my experiences will be negative. Maybe I will meet someone with common interest as we all love New York City.",DECISION: 0
104,stage3,0,0,"My issue is social anxiety, specifically in group settings or parties.","After challenging my negative thoughts, I can reframe them to be more balanced and helpful:
People may have their own concerns and may not be focused on me all the time.
I've had good conversations in the past without embarrassing myself.
There are times when I've enjoyed social interactions and felt connected with others.",DECISION: 0
105,stage3,1,1,I am an introverted person. I do not enjoy community activities. I feel uncomfortable when there are many people. I prefer to be alone.,I cannot reframe it. I just don't like a lot of people around me.,DECISION: 1
106,stage3,0,0,"I feel like I have language barrier to participate in community event. I am a Chinese, but the county I live in are filled with Korean and Americans.","While I initially felt that my language barrier prevented me from participating in community events in an area predominantly populated by Korean and American residents, I now realize that not all events require advanced language skills. There are non-verbal or less language-intensive activities where I can start engaging with the community. For example, joining a sports club can be a great way to be part of local events without the need for extensive communication. Additionally, there might be events that cater to multi-lingual audiences or have other Chinese-speaking participants, making it easier to connect. ",DECISION: 0
107,stage3,0,0,Community events are waste of time. I am too busy with my work. I just want to spend my time on things I am interested in after work.,"While I am busy with work and have personal interests, some community events possibly align with my interests or offer a valuable break from work. So I might want to spend time explore the possibilities a little bit.",DECISION: 0
108,stage3,0,0,"Other than family members, I don't have any social support. I don't have true friends.","Social support might not only come from people, pets might also be an option. I could consider find a fluffy friend.",DECISION: 0
109,stage3,0,0,"Outside of my family, I don't have a social network. Most of my weekdays are consumed by long hours at work, and I often bring work home. Due to the demanding nature of my job, I find little time to socialize or engage in activities outside of my professional life. ","While my job is demanding and takes up a significant portion of my weekdays, I recognize that I have the opportunity to connect with some of my colleagues who share similar interests. This can be a valuable avenue for building a social network beyond my family.",DECISION: 0
110,stage3,1,1,I sometimes feel like I lack a broader network of friends or individuals I can rely on for emotional support and guidance. I don't trust people around me. So I regrad no one as support.,I don't trust other people other than my family. So I don't have other close support. It's not my fault. People around me are not trustworthy.,DECISION: 1
111,stage3,1,1,I don't have other close support. I am strong enough to rely everything on myself.,"As long as I am strong and capable enough, I don't need support from others. Some family support is enough.",DECISION: 1
112,stage3,0,0,"I don't hangout with my friends or colleagues. I don't socialize outside of work or formal meetings. While I have friends and colleagues, I don't often make plans to hang out with them in a more relaxed or informal setting.","While I currently don’t often socialize outside of work or engage in informal activities with friends and colleagues, this is largely due to my prioritization of work. This focus on work is a choice I've made, rather than an inherent inability to socialize. ",DECISION: 0
113,stage3,0,0,"My days are usually long, and by the time I finish work, I feel too tired to socialize. I have a few close friends and get along well with my coworkers, but I rarely spend time with them outside of work.  I spend most of my weekends catching up on rest.","While my job is demanding, it might not be solely to blame for my lack of social engagement. It's about finding a balance. I can start by planning small, manageable social activities, like a coffee catch-up with a coworker or a short weekend meet-up with friends. ",DECISION: 0
114,stage3,0,0,"I have a team that I get along with, and I'm friendly with a few people in other departments. However, I rarely join them for lunches or after-work gatherings. Last time I went out, I felt awkward and left early. Since then, I've been avoiding social events.","While I had one awkward experience at a social event, this doesn't mean all future events will be the same. It's possible to have a different experience next time. My coworkers have been friendly at work, so it's likely they would be receptive to me at social events too. I can try attending another event but set a time limit for how long I stay, so it feels more manageable. ",DECISION: 0
115,stage3,0,0,"I’ve stopped trying to socialize with my colleagues and spend my evenings working or alone. I have colleagues who occasionally go out after work, but I usually decline their invitations. Last time I joined them, I felt out of place and didn't contribute much to the conversation. I think they didn’t enjoy my company. ","While my last social outing with colleagues wasn't as enjoyable as I hoped, it doesn’t define my entire social capability or future experiences. ",DECISION: 0
116,stage3,0,0," I've been feeling a bit distant from my partner. We've had a few disagreements, and sometimes I find it hard to express my feelings. Last week, we had a discussion about future plans, and it didn't go well. I started feeling like maybe we're not right for each other, and I've been avoiding deep conversations since then.","While we have disagreements, it's a natural part of any relationship. These moments don't define our entire relationship. Instead of seeing each disagreement as proof of incompatibility, I can view them as opportunities for growth and better understanding. ",DECISION: 0
117,stage3,0,0,I don't feel comfortable with my boyfriend. He is too dominant. He doesn't listen to me if we have any disagreement.,"Although my boyfriend's dominant behavior in disagreements makes me feel uncomfortable, I recognize that I haven't fully communicated my feelings about this to him. This realization opens up a new perspective: our communication issues might be contributing to the discomfort I'm feeling, rather than it being an inherent incompatibility in our relationship.",DECISION: 0
118,stage3,0,1,"I don't feel comfortable with my partner. She demands too much on sex. Even if I am too tired after work, she may push me to have sex. Although I mentioned my feeling to her a few times.","My partner's high demand for sex is making me uncomfortable and raising concerns about my well-being, this situation calls for a deeper evaluation of our relationship dynamics. It's crucial to prioritize my health and mental well-being. The discomfort I'm experiencing is a signal for me to reassess our relationship and consider the changes needed for a healthier balance. Maybe I should end the relationship.",DECISION: 1
