idx,y_true,y_pred,dimension_label,response,raw
67,2,2,1_weight,"I can't control my weight changes, and it’s becoming a serious issue.","1_weight, 2"
68,2,2,1_weight,"My weight has changed drastically, and I don’t know why.","1_weight, 2"
69,2,2,1_weight,I've been gaining a lot of weight even though my diet hasn't changed.,"1_weight, 2"
70,2,2,1_weight,"I’ve been losing weight rapidly, and it’s making me feel unwell.","1_weight, 2"
71,2,2,1_weight,I recently enjoy having fried chicken so much so I gained too much weight that I don't want.,"1_weight, 2"
72,0,1,2_mood,"I feel okay today. I'm a little anxious because I have a lot of things to do, but overall I'm feeling okay.","1_mood, 1"
73,0,0,2_mood,I am doing alright.,"1_mood, 0"
74,0,0,2_mood,My mood has been good.,"1_mood, 0"
75,0,0,2_mood,My mood doesn't swing too much.,"1_mood, 0"
76,0,0,2_mood,My don't have any mood swing.,"1_mood, 0"
77,0,0,2_mood,I am doing fine.,"Other, 0"
78,0,0,2_mood,I am doing great.,"1_mood, 0"
79,0,0,2_mood,My mood is okay.,"1_mood, 0"
80,0,0,2_mood,My mood is fine.,"1_mood, 0"
81,0,0,2_mood,So far so good.,"Yes, 0"
82,0,0,2_mood,I am doing well.,"Yes, 0"
83,0,0,2_mood,Not bad.,"Other, 0"
84,0,0,2_mood,Not too bad.,"Other, 0"
85,0,0,2_mood,I feel good.,"1_mood, 0"
86,0,0,2_mood,I feel great.,"1_mood, 0"
87,0,0,2_mood,I feel excellent.,"1_mood, 0"
88,0,0,2_mood,I feel peaceful.,"1_mood, 0"
89,0,0,2_mood,I can easily manage my mood.,"1_mood, 0"
90,0,0,2_mood,My emotions are stable.,"1_mood, 0"
91,0,0,2_mood,I feel relaxed and content.,"1_mood, 0"
92,0,0,2_mood,I’m in a good mood today.,"1_mood, 0"
93,0,0,2_mood,"No mood issues, I feel stable.","1_mood, 0"
94,0,0,2_mood,I don’t have any emotional distress.,"1_mood, 0"
95,0,0,2_mood,Everything seems fine emotionally.,"1_mood, 0"
96,0,0,2_mood,I feel emotionally balanced.,"1_mood, 0"
97,0,0,2_mood,No major mood changes for me.,"1_mood, 0"
98,0,0,2_mood,I'm feeling cheerful.,"1_mood, 0"
99,0,0,2_mood,I feel emotionally strong.,"1_mood, 0"
100,0,0,2_mood,I feel happy most of the time.,"1_mood, 0"
101,0,0,2_mood,I have a stable mood throughout the day.,"1_mood, 0"
102,0,0,2_mood,I don’t feel stressed or anxious.,"1_mood, 0"
103,0,0,2_mood,I’ve been feeling optimistic.,"1_mood, 0"
104,0,0,2_mood,I'm feeling energetic and upbeat.,"1_mood, 0"
105,0,0,2_mood,I feel emotionally in control.,"1_mood, 0"
106,0,0,2_mood,My emotions are manageable.,"1_mood, 0"
107,0,0,2_mood,I haven’t had any mood swings recently.,"1_mood, 0"
108,0,0,2_mood,I feel emotionally well.,"1_mood, 0"
109,0,0,2_mood,I have a positive outlook.,"1_mood, 0"
110,0,0,2_mood,I feel hopeful about things.,"1_mood, 0"
111,0,0,2_mood,I'm maintaining a good mental state.,"1_mood, 0"
112,0,0,2_mood,I'm emotionally resilient.,"16_coping, 0"
113,0,0,2_mood,I feel lighthearted.,"1_mood, 0"
114,0,0,2_mood,I'm feeling emotionally steady.,"1_mood, 0"
115,0,0,2_mood,I feel like my usual self.,"1_mood, 0"
116,0,0,2_mood,I feel at peace with everything.,"1_mood, 0"
117,0,0,2_mood,I’m content with how things are.,"1_mood, 0"
118,0,0,2_mood,I don’t feel overwhelmed.,"1_mood, 0"
119,0,0,2_mood,I feel emotionally refreshed.,"1_mood, 0"
120,0,0,2_mood,My mind is at ease.,"1_mood, 0"
121,0,0,2_mood,I’m in a calm and relaxed mood.,"1_mood, 0"
122,0,0,2_mood,I feel stable emotionally and mentally.,"1_mood, 0"
123,0,0,2_mood,"No big mood shifts, I feel good.","1_mood, 0"
124,0,0,2_mood,"I had a great weekend, and I’m feeling really refreshed!","1_mood, 0"
125,0,0,2_mood,"Things have been going well, and I’ve been feeling happy and content.","1_mood, 0"
126,0,0,2_mood,"I feel at peace with where I am right now, no major worries on my mind.","1_mood, 0"
127,0,0,2_mood,"I’ve been making time for things I enjoy, and it’s helping me stay in a good mood.","11_hobbies, 0"
128,1,1,2_mood,I have mood swings.,"1_mood, 1"
129,1,1,2_mood,I am stressed out.,"1_mood, 1"
130,1,1,2_mood,I am frustrated.,"1_mood, 1"
131,1,1,2_mood,I feel dejected.,"1_mood, 1"
132,1,1,2_mood,I feel frustrated.,"1_mood, 1"
133,1,0,2_mood,I don't have anything to tell about my mood.,"1_mood, 0"
134,1,1,2_mood,My mood doesn't go well.,"1_mood, 1"
135,1,1,2_mood,I feel homesick.,"1_mood, 1"
136,1,1,2_mood,I am not doing well.,"1_mood, 1"
137,1,1,2_mood,I am just upset.,"1_mood, 1"
138,1,1,2_mood,I am a little bit upset these days.,"1_mood, 1"
139,1,1,2_mood,I am sad.,"1_mood, 1"
140,1,1,2_mood,I am anxious.,"1_mood, 1"
141,1,1,2_mood,I am a little bit angst.,"1_mood, 1"
142,1,1,2_mood,I feel anxious.,"1_mood, 1"
143,1,1,2_mood,I experience mood swings.,"1_mood, 1"
144,1,1,2_mood,I feel dispirited.,"1_mood, 1"
145,1,1,2_mood,I feel depressed.,"1_mood, 1"
146,1,1,2_mood,I am bad-tempered.,"1_mood, 1"
147,1,1,2_mood,I am unhappy.,"1_mood, 1"
148,1,1,2_mood,I'm feeling a little unstable.,"1_mood, 1"
149,1,1,2_mood,I feel a little off today.,"1_mood, 1"
150,1,1,2_mood,I've been feeling a bit low.,"1_mood, 1"
151,1,1,2_mood,I'm having some minor mood swings.,"1_mood, 1"
152,1,1,2_mood,"Some days I feel down, but it's manageable.","1_mood, 1"
153,1,1,2_mood,I feel a bit irritable lately.,"1_mood, 1"
154,1,1,2_mood,I get sad occasionally.,"1_mood, 1"
155,1,1,2_mood,My emotions are a little unpredictable.,"1_mood, 1"
156,1,1,2_mood,I’ve been feeling somewhat anxious.,"1_mood, 1"
157,1,1,2_mood,I have some mood fluctuations.,"1_mood, 1"
158,1,1,2_mood,I’m feeling slightly overwhelmed.,"1_mood, 1"
159,1,1,2_mood,I get stressed easily these days.,"16_coping, 1"
160,1,1,2_mood,I have minor mood swings now and then.,"1_mood, 1"
161,1,1,2_mood,I'm dealing with some emotional stress.,"1_mood, 1"
162,1,1,2_mood,I have been feeling slightly uneasy.,"1_mood, 1"
163,1,1,2_mood,"I get emotional sometimes, but it's not extreme.","1_mood, 1"
164,1,1,2_mood,I've had some moments of sadness.,"1_mood, 1"
165,1,1,2_mood,I occasionally feel down without a reason.,"1_mood, 1"
166,1,1,2_mood,I've been feeling a little off-balance emotionally.,"1_mood, 1"
167,1,1,2_mood,I have some trouble managing stress.,"16_coping, 1"
168,1,1,2_mood,My mood is slightly unstable.,"1_mood, 1"
169,1,1,2_mood,"I sometimes feel lonely, but it’s not too bad.","1_mood, 1"
170,1,1,2_mood,I’ve been feeling unmotivated.,"1_mood, 1"
171,1,1,2_mood,I'm a little on edge.,"1_mood, 1"
172,1,1,2_mood,I have small emotional ups and downs.,"1_mood, 1"
173,1,1,2_mood,I feel like I need a break emotionally.,"1_mood, 1"
174,1,1,2_mood,I feel mentally drained but not overwhelmed.,"1_mood, 1"
175,1,1,2_mood,I'm experiencing some tension.,"1_mood, 1"
176,1,1,2_mood,My mood has been fluctuating mildly.,"1_mood, 1"
177,1,1,2_mood,I’m slightly more irritable than usual.,"1_mood, 1"
178,1,1,2_mood,I’ve been feeling a little restless.,"1_mood, 1"
179,1,1,2_mood,"I’m managing my emotions, but it takes effort.","1_mood, 1"
180,1,1,2_mood,"I’ve been feeling a bit off, but I’m trying to stay positive and push through it.","1_mood, 1"
181,1,1,2_mood,"Work has been stressful lately, and I find myself feeling more irritable than usual.","1_mood, 1"
182,1,1,2_mood,"I have moments where I feel down, but I try to distract myself with hobbies.","1_mood, 1"
183,1,1,2_mood,"I feel like I’m on an emotional rollercoaster, some good days, some not so great.","1_mood, 1"
184,1,1,2_mood,"I’ve been feeling a little lonely lately, but I’m managing the best I can.","1_mood, 1"
185,2,1,2_mood,I am anxious a lot.,"1_mood, 1"
186,2,1,2_mood,I am really upset now.,"1_mood, 1"
187,2,2,2_mood,I am really anxious these days.,"1_mood, 2"
188,2,2,2_mood,My mood swings a lot these days.,"1_mood, 2"
189,2,1,2_mood,I am really sad these days.,"1_mood, 1"
190,2,2,2_mood,I feel so depressed now.,"1_mood, 2"
191,2,2,2_mood,I feel so depressed.,"1_mood, 2"
192,2,1,2_mood,I am under a lot of pressure.,"1_mood, 1"
193,2,1,2_mood,I am worry about my mood.,"1_mood, 1"
194,2,2,2_mood,I don't know about my mood.,"1_mood, 2"
195,2,1,2_mood,I get angry easily.,"1_mood, 1"
196,2,2,2_mood,I often cry out of control.,"1_mood, 2"
197,2,2,2_mood,I usually feel lonely and helpless.,"1_mood, 2"
198,2,2,2_mood,I am really helpless.,"1_mood, 2"
199,2,2,2_mood,I cannot control my mood.,"1_mood, 2"
200,2,1,2_mood,I don't know what's going on about my mood.,"1_mood, 1"
201,2,2,2_mood,My mood is easily out of control.,"1_mood, 2"
202,2,2,2_mood,My emotions are out of my control.,"1_mood, 2"
203,2,2,2_mood,My emotions are unstable.,"1_mood, 2"
204,2,2,2_mood,I can't manage my mood well.,"1_mood, 2"
205,2,2,2_mood,My mood can't be eaily managed.,"1_mood, 2"
206,2,2,2_mood,I am upset a lot.,"1_mood, 2"
207,2,1,2_mood,I am really upset these days.,"1_mood, 1"
208,2,1,2_mood,I am really sad now.,"1_mood, 1"
209,2,2,2_mood,I feel emotionally drained all the time.,"1_mood, 2"
210,2,2,2_mood,I can't control my emotions lately.,"1_mood, 2"
211,2,2,2_mood,I feel deeply sad every day.,"1_mood, 2"
212,2,2,2_mood,I have frequent panic attacks.,"1_mood, 2"
213,2,2,2_mood,I don't see any joy in life anymore.,"1_mood, 2"
214,2,2,2_mood,I have no motivation to do anything.,"15_work_motivation, 2"
215,2,2,2_mood,I feel emotionally exhausted and hopeless.,"1_mood, 2"
216,2,2,2_mood,I can't seem to shake off my sadness.,"1_mood, 2"
217,2,2,2_mood,I cry a lot and don’t know why.,"1_mood, 2"
218,2,2,2_mood,My emotions are completely out of control.,"1_mood, 2"
219,2,2,2_mood,I feel numb most of the time.,"1_mood, 2"
220,2,1,2_mood,I’ve been isolating myself because of my mood.,"1_mood, 1"
221,2,2,2_mood,I feel overwhelmed to the point of breaking down.,"1_mood, 2"
222,2,2,2_mood,I’ve been struggling with extreme mood swings.,"1_mood, 2"
223,2,2,2_mood,I have trouble getting out of bed due to my mood.,"1_mood, 2"
224,2,2,2_mood,I feel emotionally detached from everyone.,"1_mood, 2"
225,2,2,2_mood,I get uncontrollably angry over small things.,"1_mood, 2"
226,2,2,2_mood,I feel like my emotions are spiraling out of control.,"1_mood, 2"
227,2,2,2_mood,I'm struggling to cope with daily life.,"16_coping, 2"
228,2,2,2_mood,I can't focus because of how bad I feel emotionally.,"1_mood, 2"
229,2,2,2_mood,I feel constantly on edge.,"1_mood, 2"
230,2,2,2_mood,I often feel like crying for no reason.,"1_mood, 2"
231,2,2,2_mood,I’m unable to manage my emotions anymore.,"1_mood, 2"
232,2,2,2_mood,I’ve lost interest in everything I used to enjoy.,"1_mood, 2"
233,2,2,2_mood,I feel completely emotionally unstable.,"1_mood, 2"
234,2,2,2_mood,I am too overwhelmed to handle anything right now.,"16_coping, 2"
235,2,2,2_mood,I feel trapped in my emotions.,"1_mood, 2"
236,2,1,2_mood,I just broke up and feel really lost.,"1_mood, 1"
237,2,2,2_mood,I’ve been having panic attacks.,"1_mood, 2"
238,2,2,2_mood,I feel like I'm falling apart emotionally.,"1_mood, 2"
239,2,2,2_mood,My anxiety is affecting my daily life.,"1_mood, 2"
240,2,2,2_mood,I feel overwhelmed all the time.,"1_mood, 2"
241,2,2,2_mood,I feel like I have no energy to do anything.,"1_mood, 2"
242,2,2,2_mood,I don’t feel like myself anymore.,"1_mood, 2"
243,2,2,2_mood,Nothing makes me happy anymore.,"1_mood, 2"
244,2,2,2_mood,I can’t focus on anything because of how I feel.,"1_mood, 2"
245,2,2,2_mood,I’ve been experiencing constant distress.,"1_mood, 2"
246,2,2,2_mood,I feel completely lost and don’t know what to do.,"8_problem, 2"
247,2,2,2_mood,I feel like I’m drowning in sadness.,"1_mood, 2"
248,2,2,2_mood,I feel like my emotions are taking over my life.,"1_mood, 2"
249,2,2,2_mood,I desperately need help managing my emotions.,"1_mood, 2"
250,2,2,2_mood,"I feel like I’ve lost all motivation, I don’t even enjoy things I used to love.","1_mood, 2"
251,2,2,2_mood,"Every day feels heavy, and I struggle just to get through the simplest tasks.","1_mood, 2"
252,2,2,2_mood,"I’ve been having panic attacks, and it’s starting to interfere with my daily life.","1_mood, 2"
253,2,2,2_mood,"I feel completely exhausted, mentally and emotionally, like I can’t keep going.","1_mood, 2"
254,2,2,2_mood,I’ve been isolating myself from friends and family because I don’t feel like talking to anyone.,"3_talk, 2"
255,0,0,3_medication,I am taking the pills every day.,"1_medication, 0"
256,0,0,3_medication,I am taking the medicines regularly.,"1_medication, 0"
257,0,0,3_medication,I take my medications as prescribed.,"1_medication, 0"
258,0,0,3_medication,I take my medications following the prescription.,"1_medication, 0"
259,0,0,3_medication,I take my medications following the doctors.,"1_medication, 0"
260,0,0,3_medication,I am not on any meds.,"1_medication, 0"
261,0,0,3_medication,I am not on any medication.,"1_medication, 0"
262,0,0,3_medication,I am not on any pills.,"1_medication, 0"
263,0,0,3_medication,I am not under any prescription.,"1_medication, 0"
264,0,0,3_medication,I don't take any prescription drugs.,"1_medication, 0"
265,0,0,3_medication,I don't need to take drugs.,"10_drug, 0"
266,0,0,3_medication,I don't need to take meds.,"1_medication, 0"
267,0,0,3_medication,I don't need to take pills.,"1_medication, 0"
268,0,0,3_medication,I am following the doctor's instruction.,"1_medication, 0"
269,0,0,3_medication,"I never miss a dose, and I take my medication exactly as prescribed.","1_medication, 0"
270,0,0,3_medication,I always set an alarm to remind me to take my meds.,"1_medication, 0"
271,0,0,3_medication,I keep my medication schedule consistent every day.,"1_medication, 0"
272,0,0,3_medication,"I take my pills every morning and night, just as instructed.","1_medication, 0"
273,0,0,3_medication,"My doctor and I have a solid plan, and I stick to it.","1_care, 0"
274,0,0,3_medication,I always double-check that I’ve taken my medication.,"1_medication, 0"
275,0,0,3_medication,I refill my prescriptions on time and follow the instructions carefully.,"1_medication, 0"
276,0,0,3_medication,Taking my medication is a habit now; I never forget.,"1_medication, 0"
277,0,0,3_medication,I take my meds at the same time every day to stay consistent.,"1_medication, 0"
278,0,0,3_medication,I’ve got a pill organizer that helps me keep track of my medication.,"1_medication, 0"
279,0,0,3_medication,"My medication helps me feel better, so I never skip it.","1_medication, 0"
280,0,0,3_medication,I trust my doctor’s advice and take my medicine accordingly.,"1_medication, 0"
281,0,0,3_medication,Following my prescription is part of my routine.,"1_medication, 0"
282,0,0,3_medication,I make sure to carry my meds when I travel so I never miss a dose.,"1_medication, 0"
283,0,0,3_medication,"I don’t have to take any medications, and I’m healthy.","1_medication, 0"
284,0,0,3_medication,I track my meds using a phone app to ensure I stay on schedule.,"1_medication, 0"
285,0,0,3_medication,Taking my medication regularly has really improved my health.,"1_medication, 0"
286,0,0,3_medication,I’m diligent about my meds because I know they’re important.,"1_medication, 0"
287,0,0,3_medication,I discuss any concerns about my medication with my doctor right away.,"1_medication, 0"
288,0,0,3_medication,I have no issues with remembering my medication.,"1_medication, 0"
289,0,0,3_medication,I don’t mind taking my meds because they help me feel better.,"1_medication, 0"
290,0,0,3_medication,I follow my prescription to make sure my treatment is effective.,"1_medication, 0"
291,0,0,3_medication,My pharmacist helped me set up an easy-to-follow routine.,"1_medication, 0"
292,0,0,3_medication,"My health is my priority, so I stick to my prescribed medication schedule.","1_medication, 0"
293,0,0,3_medication,I never skip my meds because I know consistency is key.,"1_medication, 0"
294,0,0,3_medication,It’s easy for me to remember my medication since I take it with my meals.,"1_medication, 0"
295,0,0,3_medication,I always check my prescription label to make sure I take it correctly.,"1_medication, 0"
296,0,0,3_medication,I take my medications exactly as instructed to avoid any complications.,"1_medication, 0"
297,0,0,3_medication,I am careful about taking the right dose at the right time.,"1_medication, 0"
298,0,0,3_medication,I take my medications responsibly to keep my health in check.,"1_medication, 0"
299,0,0,3_medication,"I know the importance of my meds, so I never forget to take them.","1_medication, 0"
300,0,0,3_medication,"I don’t take any prescription drugs, and I feel fine.","1_medication, 0"
301,0,0,3_medication,"I never had the need for medication, and I feel healthy.","1_medication, 0"
302,0,0,3_medication,"I don’t take any meds, and my health is great.","1_medication, 0"
303,0,0,3_medication,I listen to my doctor and follow their instructions carefully.,"1_care, 0"
304,0,0,3_medication,I take my meds every day without fail.,"1_medication, 0"
305,0,0,3_medication,"I don’t have to take any medicine, but if I needed to, I would follow instructions.","1_medication, 0"
306,0,0,3_medication,"I take all my prescribed medicine, and I have no trouble managing it.","1_medication, 0"
307,0,0,3_medication,My doctor and I work together to make sure I stay on top of my medication.,"1_medication, 0"
308,1,1,3_medication,I skip a day or two.,"1_medication, 1"
309,1,1,3_medication,I sometimes take the medicines.,"1_medication, 1"
310,1,1,3_medication,I sometimes forget to take the medicines.,"1_medication, 1"
311,1,1,3_medication,"Sometimes I forget a dose, but I usually remember later in the day.","1_medication, 1"
312,1,1,3_medication,"I skip a dose once in a while, but I try my best to stay on track.","1_medication, 1"
313,1,1,3_medication,I occasionally miss my medication when I get too busy.,"1_medication, 1"
314,1,1,3_medication,"I take my meds most of the time, but I forget now and then.","1_medication, 1"
315,1,1,3_medication,I only forget my meds when my schedule gets hectic.,"1_medication, 1"
316,1,1,3_medication,I sometimes miss my morning pill but take it later when I remember.,"1_medication, 1"
317,1,1,3_medication,"I usually remember to take my medicine, but not always at the same time.","1_medication, 1"
318,1,1,3_medication,"I have a reminder on my phone, but I still forget occasionally.","1_medication, 1"
319,1,1,3_medication,"I take my meds, but I’ve skipped a few days recently.","1_medication, 1"
320,1,1,3_medication,"Sometimes I forget if I’ve taken my medication, so I end up missing it.","1_medication, 1"
321,1,1,3_medication,I need to be more consistent with taking my medication.,"1_medication, 1"
322,1,1,3_medication,"I follow my prescription, but I forget every now and then.","1_medication, 1"
323,1,1,3_medication,"I take my medication, but I sometimes take it at irregular times.","1_medication, 1"
324,1,1,3_medication,I need to find a better system to remember my medication.,"1_medication, 1"
325,1,1,3_medication,"I take my pills most days, but I miss a day here and there.","1_medication, 1"
326,1,1,3_medication,"I forget my medication sometimes, but I try to be mindful of it.","1_medication, 1"
327,1,1,3_medication,"I miss a dose occasionally, but it’s not too often.","1_medication, 1"
328,1,1,3_medication,"I’ve skipped my medication a few times, but I usually stay on track.","1_medication, 1"
329,1,1,3_medication,"I’m not perfect at taking my medication, but I try my best.","1_medication, 1"
330,1,1,3_medication,"I don’t always follow my prescription exactly, but I mostly do.","1_medication, 1"
331,1,1,3_medication,My schedule makes it hard to take my meds consistently.,"1_medication, 1"
332,1,1,3_medication,I forget to refill my prescription on time sometimes.,"1_medication, 1"
333,1,1,3_medication,I sometimes run out of my medication before getting a refill.,"1_medication, 1"
334,1,1,3_medication,"I take my meds, but I’m not always strict about the timing.","1_medication, 1"
335,1,1,3_medication,"I take my medication when I remember, but I need to be more consistent.","1_medication, 1"
336,1,1,3_medication,"I skip my meds when I feel like I don’t need them, but I usually take them.","1_medication, 1"
337,1,1,3_medication,"I follow my prescription, but there are days I just don’t feel like taking them.","1_medication, 1"
338,1,1,3_medication,I sometimes hesitate to take my medication when I don’t feel like it.,"1_medication, 1"
339,1,1,3_medication,"I take my meds most days, but sometimes I procrastinate on it.","1_medication, 1"
340,1,1,3_medication,"I usually follow my prescription, but I’ve been inconsistent lately.","1_medication, 1"
341,1,1,3_medication,"I know I need to take my meds, but sometimes I don’t feel like it.","1_medication, 1"
342,1,1,3_medication,I forget my medication when I travel or break my routine.,"1_medication, 1"
343,1,1,3_medication,"I try to stay on top of my medication, but I slip up sometimes.","1_medication, 1"
344,1,2,3_medication,I often miss my night doses because I fall asleep early.,"1_medication, 2"
345,1,1,3_medication,I don’t always follow my prescription as strictly as I should.,"1_medication, 1"
346,1,1,3_medication,"I take my meds, but sometimes I forget and have to take them late.","1_medication, 1"
347,1,1,3_medication,I know I need to be better at taking my medication regularly.,"1_medication, 1"
348,1,2,3_medication,"I take my meds, but only when I remember.","1_medication, 2"
349,1,1,3_medication,I keep forgetting my medication at least once a week.,"1_medication, 1"
350,2,2,3_medication,I haven't taken medicine for a long time.,"1_medication, 2"
351,2,2,3_medication,I always forget to take the medicines.,"1_medication, 2"
352,2,2,3_medication,I can't remember to take the medicines.,"1_medication, 2"
353,2,2,3_medication,I don't follow the prescription.,"1_medication, 2"
354,2,1,3_medication,It depends on my mood.,"1_mood, 1"
355,2,2,3_medication,I don't want to follow the prescription.,"1_medication, 2"
356,2,0,3_medication,I don't think I need them anymore.,"Other, 0"
357,2,0,3_medication,I don't think I need it anymore.,"Other, 0"
358,2,2,3_medication,I don't want to take the drugs.,"1_medication, 2"
359,2,2,3_medication,I don't want to take the medicines.,"1_medication, 2"
360,2,2,3_medication,I don't want to take the meds.,"1_medication, 2"
361,2,2,3_medication,I don't want to take the pills.,"1_medication, 2"
362,2,0,3_medication,I don't want to use the drugs.,"10_drug, 0"
363,2,2,3_medication,I don't want to use the meds.,"1_medication, 2"
364,2,2,3_medication,I don't want to use the pills.,"1_medication, 2"
365,2,1,3_medication,I hate taking the drugs.,"1_medication, 1"
366,2,1,3_medication,I hate taking the medicines.,"1_medication, 1"
367,2,1,3_medication,I hate taking the meds.,"1_medication, 1"
368,2,1,3_medication,I hate taking the pills.,"1_medication, 1"
369,2,2,3_medication,I haven’t been taking my medication for weeks.,"1_medication, 2"
370,2,2,3_medication,"I don’t think I need my medication anymore, so I stopped taking it.","1_medication, 2"
371,2,2,3_medication,"I always forget to take my medicine, and it’s becoming a problem.","1_medication, 2"
372,2,2,3_medication,I stopped following my prescription because I don’t feel like it helps.,"1_medication, 2"
373,2,2,3_medication,"I’ve been skipping my medication a lot, and I know it’s bad.","1_medication, 2"
374,2,2,3_medication,I don’t see the point in taking my meds anymore.,"1_medication, 2"
375,2,2,3_medication,"I hate taking medication, so I avoid it.","1_medication, 2"
376,2,2,3_medication,I ignore my prescription most of the time.,"1_medication, 2"
377,2,2,3_medication,"I’ve stopped taking my meds, and I’m starting to feel worse.","1_medication, 2"
378,2,2,3_medication,"I know I should take my meds, but I refuse to.","1_medication, 2"
379,2,2,3_medication,"I don’t trust my medication, so I’ve stopped taking it.","1_medication, 2"
380,2,2,3_medication,"I take my meds only when I feel like it, which isn’t often.","1_medication, 2"
381,2,2,3_medication,"I can’t keep up with my medication, and it’s affecting my health.","1_medication, 2"
382,2,2,3_medication,I’ve run out of meds and haven’t bothered getting a refill.,"1_medication, 2"
