idx,y_true,y_pred,topic,original,follow_up,raw
10,0,0,Managing mood,I am anxious a lot.,"Follow-up: My anxiety mostly revolves around my work and personal life. I have a high-demand job that requires me to constantly meet deadlines and targets. My personal life has been rocky lately too, causing sleepless nights. I'm trying to manage and balance everything but some days it just feels overwhelming.",DECISION: 0
11,0,0,Managing mood,I am really upset now.,Follow-up: I am upset due to the heavy workload at my office. I have been working overtime for several weeks now. The constant pressure to meet deadlines has led to a lot of stress and anxiety. I am feeling overburdened and hardly get any time for myself.,DECISION: 0
12,0,0,Managing mood,I am really anxious these days.,"Follow-up: My anxiety stems from a combination of work-related stress and uncertainties in my personal life. The workload at my job has increased significantly and it often feels overwhelming. Meanwhile, in my personal life, I am dealing with a few issues that are yet to be resolved. This persistent state of uncertainty is causing me to feel anxious.",DECISION: 0
13,1,0,Managing mood,My mood swings a lot these days.,Follow-up: The weather has been really unpredictable lately. It's been raining heavily for the past few days and then suddenly it's sunny. I really enjoy going for a walk when it's sunny outside.,DECISION: 0
14,1,0,Managing mood,I feel so depressed now.,"Follow-up: I have been trying to keep up with my painting hobby. Art always gives me a sense of peace and helps me express my feelings. However, I've been so caught up with work, I haven't had the time to paint.",DECISION: 0
15,1,0,Managing mood,I feel so depressed.,"Follow-up: I have been trying to learn new things to divert my mind. Recently, I have started learning origami and it's really interesting.",DECISION: 0
16,0,0,Managing mood,I am under a lot of pressure.,"Follow-up: The pressure primarily comes from my work. I am responsible for a big project that is facing a tight deadline. Besides, I am also dealing with some personal issues which are adding to the stress. It's like I'm juggling too many balls at once and I'm afraid of dropping any of them.",DECISION: 0
17,0,0,Managing mood,I am worry about my mood.,Follow-up: My mood has been fluctuating a lot recently. I am unable to focus on my work and often feel stressed and anxious. This has been affecting my sleep and overall health. I am trying to find ways to manage it but it's been a struggle.,DECISION: 0
18,1,1,Managing mood,I don't know about my mood.,"Follow-up: I've recently been trying to learn a new skill, like painting. It's a whole new world to me, and I find it quite interesting.",DECISION: 1
19,1,0,Managing mood,I get angry easily.,Follow-up: I have a cat named whiskers. She is a white Persian and is very playful. She always does the silliest things to cheer me up.,DECISION: 0
20,1,0,Managing mood,I often cry out of control.,"Follow-up: Recently, I started learning a new instrument. It's a guitar. I bought it last week. It's a bit challenging but I am enjoying it.",DECISION: 0
21,0,0,Managing mood,I usually feel lonely and helpless.,"Follow-up: I often find myself isolated and unable to connect with others. I struggle with feelings of helplessness, as if I'm stuck in a situation I can't control. These feelings often overwhelm me, making it difficult to maintain a positive outlook or engage in activities that I used to enjoy.",DECISION: 0
22,0,0,Managing mood,I am really helpless.,"Follow-up: I feel helpless because I've been dealing with a tremendous amount of work-related stress. My workload has increased in the past few months, and I'm having a difficult time balancing my personal life and my job. It feels like no matter how much effort I put in, I can't seem to meet all the deadlines and expectations.",DECISION: 0
23,1,0,Managing mood,I cannot control my mood.,"Follow-up: Apart from this, I also struggle with maintaining a regular sleep schedule. I often stay up late and feel tired the next day.",DECISION: 0
24,0,0,Managing mood,I don't know what's going on about my mood.,"Follow-up: What I mean is that my emotions have been fluctuating a lot recently. There are times when I feel incredibly happy and energetic, but then there are moments when I feel down and unmotivated. I can't pinpoint the exact reason for these mood swings. It might be due to stress, lack of sleep, or even the current situation with the pandemic affecting my mental health.",DECISION: 0
25,1,1,Managing mood,My mood is easily out of control.,"Follow-up: I am a vegetarian. I made this choice when I was in college. It was a bit of a challenge at first, but now I can't imagine living any other way.",DECISION: 1
26,1,0,Managing mood,My emotions are out of my control.,Follow-up: I just started learning to play the guitar. It's quite challenging but I am enjoying it. It's a good distraction and helps me relax.,DECISION: 0
27,1,0,Managing mood,My emotions are unstable.,Follow-up: I recently picked up painting as a hobby. It's a great way for me to express myself and I find it really therapeutic.,DECISION: 0
28,1,0,Managing mood,I can't manage my mood well.,"Follow-up: Besides, I have an interest in music. I enjoy playing the guitar and singing. It's a way for me to relieve stress and express my feelings.",DECISION: 0
29,0,0,Managing mood,My mood can't be eaily managed.,"Follow-up: What I mean is, my emotions are quite intense and can fluctuate wildly throughout the day. Small things can trigger strong reactions in me, and it takes a lot of time and effort to calm myself down. It might be because I am going through a lot of stress at work and in my personal life. I am trying various methods like meditation and exercise to manage it, but it's a slow process.",DECISION: 0
30,0,0,Taking medication as prescribed,I haven't taken medicine for a long time.,"Follow-up: The primary reason is that I have been feeling relatively healthy and didn't see the need. However, I understand that some conditions can be asymptomatic, and neglecting prescribed medication can lead to unforeseen complications. I am considering revisiting my doctor to discuss my medication plan.",DECISION: 0
31,0,0,Taking medication as prescribed,I always forget to take the medicines.,"Follow-up: For instance, I am supposed to take my pills three times a day, but with my busy work schedule and daily responsibilities, I often lose track of time or simply forget. I've tried setting alarms, but it doesn't always work as I tend to dismiss them when I'm in the middle of something. This results in me missing doses, which I know isn't good for my health condition.",DECISION: 0
32,1,1,Taking medication as prescribed,I can't remember to take the medicines.,"Follow-up: I have recently taken up painting as a hobby. It's funny, I always thought I had no artistic talent, but I have found it to be a very calming and rewarding activity.",DECISION: 1
33,0,0,Taking medication as prescribed,I don't follow the prescription.,"Follow-up: I tend to forget taking my medication on time due to my busy schedule. Also, I sometimes skip them when I am not feeling any symptoms, which I know is not right. It's something I need to improve on for the sake of my health.",DECISION: 0
34,0,0,Taking medication as prescribed,It depends on my mood.,"Follow-up: Sometimes, when I am feeling down or depressed, I might skip a dose because I question whether the medication is really helping me or not. On the other hand, when I'm feeling good or optimistic, I tend to adhere to the prescription closely, recognizing that the medication might be playing a role in keeping me stable. However, I do understand the importance of taking medication consistently, so I am trying to work on this.",DECISION: 0
35,0,0,Taking medication as prescribed,I don't want to follow the prescription.,Follow-up: I have been trying to exercise more and eat healthier. I want to try and handle my symptoms naturally before resorting to medication.,DECISION: 0
36,0,0,Taking medication as prescribed,I don't think I need them anymore.,"Follow-up: I have been feeling much better and haven't noticed any negative symptoms lately. Besides, it's been a while since I started taking them and I have been following a healthy lifestyle as well, which I believe has contributed to my well-being. Of course, I will consult with my doctor before making any decisions.",DECISION: 0
37,0,0,Taking medication as prescribed,I don't think I need it anymore.,"Follow-up: I've been feeling a lot better recently and the side effects of the medication bother me. I understand the importance of taking medication as prescribed, but I think it's worth having a discussion with my doctor about potentially reducing the dose or finding an alternative.",DECISION: 0
38,0,0,Taking medication as prescribed,I don't want to take the drugs.,"Follow-up: I am worried about the possible side effects of the medication. The list of potential symptoms is quite long and I have a history of being sensitive to certain drugs. Also, I don't like the idea of becoming dependent on a medication for my health. I am exploring alternative methods of treatment as well.",DECISION: 0
39,1,1,Taking medication as prescribed,I don't want to take the medicines.,"Follow-up: Besides, I am trying to learn Spanish these days. I have always loved the language and the culture. It's a bit challenging but I am enjoying the process.",DECISION: 1
40,0,0,Taking medication as prescribed,I don't want to take the meds.,"Follow-up: I feel like the medication is causing more harm than good. I experience side effects like nausea, fatigue, and overall discomfort whenever I take it. Plus, I believe in the natural healing process of the body, and taking meds feels like I am interfering with this process.",DECISION: 0
41,0,0,Taking medication as prescribed,I don't want to take the pills.,"Follow-up: I'm apprehensive about taking the pills because of the potential side effects they may have. Also, they make me feel drowsy and less alert, which affects my daily functioning. Additionally, I'm worried about the risk of dependency on them in the long run.",DECISION: 0
42,0,0,Taking medication as prescribed,I don't want to use the drugs.,"Follow-up: I have concerns about the potential side effects of the medication that my doctor prescribed. I've also read about the risk of dependency on certain types of drugs. I would prefer to explore alternative treatment options that might have less impact on my body, such as natural remedies or lifestyle changes.",DECISION: 0
43,0,0,Taking medication as prescribed,I don't want to use the medicines.,"Follow-up: I am concerned about the potential side effects of these medications. I have heard stories about people who have had negative experiences with similar drugs. Also, I am not comfortable with the idea of becoming dependent on medication. I'd rather explore natural alternatives or lifestyle changes that could help in managing my condition.",DECISION: 0
44,1,0,Taking medication as prescribed,I don't want to use the meds.,Follow-up: I have been trying to develop a habit of exercise. I started doing yoga and meditation. It helps me a lot in reducing stress and anxiety.,DECISION: 0
45,0,0,Taking medication as prescribed,I don't want to use the pills.,"Follow-up: I don't want to use the pills because I am afraid of the potential side effects they might have. Besides, I believe in my body's natural ability to heal itself. I also try to maintain a healthy lifestyle and proper diet, which I think is a better approach to managing my health.",DECISION: 0
46,0,0,Taking medication as prescribed,I hate taking the drugs.,"Follow-up: I hate taking the drugs because they have unpleasant side effects. They make me feel nauseous and lethargic most of the time. Furthermore, the idea of being dependent on them to function normally makes me uncomfortable.",DECISION: 0
47,0,0,Taking medication as prescribed,I hate taking the medicines.,"Follow-up: I hate taking the medicines because they taste awful and sometimes make me feel drowsy. Besides, it's hard to remember to take them on time every day. I am also worried about the possible side effects they may cause in long term.",DECISION: 0
48,1,1,Taking medication as prescribed,I hate taking the meds.,"Follow-up: I've been trying to learn how to play the guitar. It's a bit challenging, but it keeps my mind occupied and takes my focus away from other frustrations.",DECISION: 1
49,1,1,Taking medication as prescribed,I hate taking the pills.,Follow-up: I have been trying to learn a new language recently. It's Spanish. The progress is slow but I am enjoying it.,DECISION: 1
50,1,1,Participating primary and mental health care,I haven't gone to my PCP for a long time.,Follow-up: I picked up gardening during the pandemic. It's been a wonderful stress relief and I enjoy seeing the fruits of my labor.,DECISION: 1
51,0,0,Participating primary and mental health care,I haven't seen my PCP for a long time.,"Follow-up: I haven't seen my Primary Care Physician (PCP) for a long time because I've been feeling healthy and haven't had any serious health issues. However, I understand the importance of preventive care and regular check-ups. So I am planning to make an appointment soon. Also, on the mental health side, I have been managing well with regular exercise and meditation, but I am open to seeking professional help if needed in future.",DECISION: 0
52,0,0,Participating primary and mental health care,I haven't visited my PCP for a long time.,"Follow-up: It's been almost two years since my last appointment. I've been neglecting my health due to my busy schedule. I have also been feeling quite anxious and stressed lately, but I haven't sought any mental health care either. So, it's really important for me to make an appointment soon for both my physical and mental wellbeing.",DECISION: 0
53,0,0,Participating primary and mental health care,I haven't gone to my psychiatrist for a long time.,"Follow-up: The last time I went to the psychiatrist was 6 months ago. This was because I was dealing with a lot of stress at work and needed some professional help. Since then, I haven't had the need to pay a visit as I have been managing my stress levels well. However, I do realize that constant check-ups are important for my mental well-being, and I plan to schedule an appointment soon.",DECISION: 0
54,0,0,Participating primary and mental health care,I haven't seen my psychiatrist for a long time.,"Follow-up: Due to the ongoing pandemic, I have not been able to visit my psychiatrist in person for several months. I have been managing my condition with medications, but I miss the face-to-face sessions that used to help me understand and manage my mental health better. Moreover, I have been feeling a bit more anxious lately which I believe is due to the lack of professional support and guidance.",DECISION: 0
55,0,0,Participating primary and mental health care,I haven't visited my psychiatrist for a long time.,"Follow-up: My last visit to the psychiatrist was about a year ago. Since then, due to the pandemic and personal reasons, I have been unable to schedule an appointment. I do feel the need to discuss my current mental state and my progress with my psychiatrist. However, I have been managing my condition through consistent medication and healthy lifestyle choices.",DECISION: 0
56,1,1,Participating primary and mental health care,I haven't gone to my prescriber for a long time.,"Follow-up: I've been trying to pick up running as a hobby. I find it helps clear my mind and relieve stress. Plus, it's a great way to stay fit and healthy.",DECISION: 1
57,0,0,Participating primary and mental health care,I haven't seen my prescriber for a long time.,"Follow-up: I was supposed to have regular check-ups with my medical prescriber for my ongoing health condition. However, due to the current pandemic situation, all the appointments have been delayed. Besides, I also struggle with some mental health issues, but without the consistent medical supervision, it's been quite challenging to manage.",DECISION: 0
58,0,0,Participating primary and mental health care,I haven't visited my prescriber for a long time.,"Follow-up: I have been feeling relatively healthy and didn't feel the need to visit. Moreover, due to the current pandemic situation, I have been avoiding non-essential outings including medical check-ups. However, I understand the importance of regular health check-ups and I plan to schedule a visit soon.",DECISION: 0
59,0,0,Participating primary and mental health care,I haven't gone to my case manager for a long time.,"Follow-up: I have been struggling with my mental health lately and I know I should reach out to my case manager, but I have been feeling overwhelmed. The thought of explaining everything that's been going on feels daunting and exhausting. I've been putting it off, trying to manage on my own, but I'm starting to realize I might need more professional support.",DECISION: 0
60,0,0,Participating primary and mental health care,I haven't seen my case manager for a long time.,"Follow-up: My last appointment with my case manager was several months ago. Since then, due to the pandemic, we haven't been able to meet in person. We tried to set up virtual appointments, but it's just not the same. I feel disconnected and my mental health issues seem to be getting worse without the regular consultations and support.",DECISION: 0
61,0,0,Participating primary and mental health care,I haven't visited my case manager for a long time.,"Follow-up: The last time I saw my case manager was about 6 months ago. Since then, I've been dealing with my health issues alone. I used to have regular check-ups, but due to the pandemic and other personal reasons, I was unable to continue. I know it's important to have regular check-ups, especially when dealing with mental health issues, but I've been neglecting this. I'm planning to schedule an appointment soon though.",DECISION: 0
62,1,1,Participating primary and mental health care,I haven't gone to my therapist for a long time.,Follow-up: I was just thinking about my college days. They were really fun. I was part of a music band and we used to perform in various college events.,DECISION: 1
63,1,1,Participating primary and mental health care,I haven't seen my therapist for a long time.,"Follow-up: I've been trying to keep myself busy by picking up new hobbies. Recently, I started learning to play the piano. It's a bit challenging but also enjoyable.",DECISION: 1
64,1,1,Participating primary and mental health care,I haven't visited my therapist for a long time.,"Follow-up: I have been trying to learn a new language recently. I think it's a good way to keep myself busy and distracted from my thoughts. It's challenging, but it also gives me something to look forward to every day.",DECISION: 1
65,0,0,Participating primary and mental health care,I am too busy to talk to my therapist.,"Follow-up: My daily schedule is packed with work commitments and personal responsibilities. This leaves me with very little time to attend therapy sessions. Plus, the time difference between my therapist and me also adds to the scheduling issues. I know I should prioritize my mental health, but it's challenging given the current circumstances.",DECISION: 0
66,1,1,Participating primary and mental health care,I am too busy to talk to my PCP.,"Follow-up: Apart from that, I've been trying to learn a new language recently. It's a bit challenging, but I enjoy the process. It keeps my mind active and helps me relax after a long day of work.",DECISION: 1
67,0,0,Participating primary and mental health care,I am too busy to talk to my prescriber.,"Follow-up: My schedule is completely packed with work, and sometimes I work late into the night. This makes it difficult for me to find the time to schedule an appointment with my prescriber. Even when I have time, I feel too exhausted to engage in a conversation about my health. I understand it's important, but it's just hard for me to prioritize it over my job right now.",DECISION: 0
68,1,1,Participating primary and mental health care,I am too busy to talk to my case manager.,Follow-up: I enjoy playing the piano in my free time. It helps me to unwind and relax. I have been taking online classes to improve my skills.,DECISION: 1
69,0,0,Participating primary and mental health care,I am too busy to talk to my psychiatrist.,"Follow-up: My work schedule has been incredibly hectic lately, often requiring me to put in extra hours. This has made it difficult for me to set aside time for regular appointments with my psychiatrist. I understand the importance of mental health care, but the pressure and demands from my job have left me little room to prioritize these appointments.",DECISION: 0
70,0,0,Participating primary and mental health care,I never go to the doctor.,"Follow-up: I have been fortunate enough to enjoy good health so I haven't felt the need to visit a doctor. Plus, I have a bit of a fear of hospitals and clinics, which also acts as a deterrent. I try to take care of myself through good nutrition and regular exercise. I understand the importance of regular check-ups, and am trying to overcome my apprehension about it.",DECISION: 0
71,0,0,Organizing personal possessions & doing housework,I rarely do houseworks.,"Follow-up: I've been quite busy with my work recently and it's hard to find the time to do housework. Also, I'm not a naturally organized person, so it tends to pile up. I'm considering hiring a cleaning service to help manage my personal possessions and keep my house tidy.",DECISION: 0
72,1,1,Organizing personal possessions & doing housework,I didn't housekeeping recently.,"Follow-up: I've been trying to learn a new language lately. It's a bit challenging, but I'm making progress. I've always found languages to be fascinating.",DECISION: 1
73,1,1,Organizing personal possessions & doing housework,I did not use the vacuum machine at all.,"Follow-up: I am planning to adopt a cat. I've always wanted a pet, and I think now is the right time to do it.",DECISION: 1
74,1,1,Organizing personal possessions & doing housework,I did not use vacuum cleaner.,Follow-up: I have a keen interest in painting. I find it as a relaxing activity which helps me to unwind after a long day. I mostly do landscape paintings and sometimes portraits as well.,DECISION: 1
75,1,1,Organizing personal possessions & doing housework,I hardly ever do any laundry.,"Follow-up: I have a small garden in the balcony where I grow some herbs and flowers. It's not big, but it's enough for me. I usually spend my weekends there, watering the plants and enjoying the nature.",DECISION: 1
76,0,0,Organizing personal possessions & doing housework,I never do laundry myself.,"Follow-up: I have a laundry service that I use. They come to pick up my dirty laundry once a week, clean it, and deliver it back to me. It's very convenient and saves me a lot of time. The cost is also reasonable. I just don't like the idea of spending my weekend doing laundry.",DECISION: 0
77,1,1,Organizing personal possessions & doing housework,I never mop the floor.,"Follow-up: Recently, I started learning how to cook. I'm trying to make dishes from different cuisines. Yesterday, I made pasta for the first time and it turned out really good.",DECISION: 1
78,0,0,Organizing personal possessions & doing housework,My dishes piled up.,Follow-up: The dishes have been piling up in my sink for the past few days. I've been really busy with work and haven't had the energy or time to do them. It's gotten to the point where I'm running out of clean dishes to use.,DECISION: 0
79,1,1,Organizing personal possessions & doing housework,I haven't been doing my dishes.,"Follow-up: I've been trying to learn a new language in my free time. I've been focused on Spanish, as I plan to visit Spain next year. It's a beautiful language, and I am enjoying the learning process.",DECISION: 1
80,0,0,Organizing personal possessions & doing housework,I hate doing housework.,"Follow-up: I find housework to be monotonous and time-consuming. It's not just about the physical labor involved, it's also about the mental exhaustion of keeping track of what needs to be done and when. I'd rather spend that time doing something I enjoy or find productive. Plus, I am not very good at organizing things, so my efforts often seem futile when I can't find something I need later on.",DECISION: 0
81,1,1,Organizing personal possessions & doing housework,I am not a big fan with housework.,"Follow-up: I have been thinking about adopting a pet, maybe a cat or a dog. The idea of having a companion at home is very appealing to me.",DECISION: 1
82,0,0,Organizing personal possessions & doing housework,I don't like to maintain my house.,"Follow-up: Maintaining a house involves activities like cleaning, organizing personal possessions, and sometimes fixing minor issues. I find these activities monotonous and time-consuming. I prefer to use this time for my hobbies such as reading or playing sports. Also, I feel overwhelmed with the amount of things I have and it becomes a task to organize them.",DECISION: 0
83,0,0,Organizing personal possessions & doing housework,I don't like to do housework.,"Follow-up: I am a student, currently studying computer science. I spend most of my time on assignments and projects. I barely have time to rest, let alone doing housework.",DECISION: 0
84,0,0,Organizing personal possessions & doing housework,I don't care if my place is organized or not.,"Follow-up: I have always been more oriented towards functionality rather than aesthetics. As long as I can find what I need when I need it, I don't mind if things are a bit messy. Besides, I find that I have more important things to focus on than keeping everything in perfect order.",DECISION: 0
85,1,1,Organizing personal possessions & doing housework,I don't care if my place is cleaned or not.,Follow-up: I used to play basketball when I was in high school. I was the captain of our team and we even won a regional championship. Those were some memorable days.,DECISION: 1
86,1,1,Organizing personal possessions & doing housework,I don't care if my place is maintained or not.,"Follow-up: Also, I have been trying to get into the habit of exercising daily. It's not easy, but I'm trying to make it a routine. It helps me to stay fit and improve my mood.",DECISION: 1
87,0,0,Organizing personal possessions & doing housework,I don't care if my house is organized or not.,"Follow-up: I have a pet cat. She is very playful and loves to mess around with my stuff. It's hard to keep the place tidy with her around, but I love her company.",DECISION: 0
88,0,0,Organizing personal possessions & doing housework,I don't care if my apartment is cleaned or not.,Follow-up: I have been working in a tech company for the past few years. The work pressure is immense and sometimes I have to work late nights and even on weekends. That leaves me with little time for myself and my personal interests.,DECISION: 0
89,0,0,Organizing personal possessions & doing housework,I don't care if my room is maintained or not.,Follow-up: I'm not really bothered by clutter or disorganization. I don't have a specific place for everything and my things tend to be strewn around. I also don't dedicate a specific time for cleaning or organizing. I only clean up when I feel like it's absolutely necessary.,DECISION: 0
90,0,0,Talking to other people,I don't like to share my personal life with others.,"Follow-up: It's not that I am anti-social or anything, but I believe that certain aspects of my life are meant to be private. I don't feel comfortable discussing my personal struggles or joys with others out of fear of being judged or misunderstood. Plus, I also respect other people's privacy and don't expect them to share their personal life with me unless they want to.",DECISION: 0
91,0,0,Talking to other people,I don't like to share anything with others.,Follow-up: I've always been a private person and value my personal space. I find it difficult to trust others with my feelings and experiences. This reluctance to share has been further amplified after a few bad experiences in the past where my trust was betrayed.,DECISION: 0
92,1,1,Talking to other people,I don't want to talk to others.,"Follow-up: I have been spending a lot of time on my hobbies lately. I enjoy painting and reading novels, which gives me a sense of peace and tranquility.",DECISION: 1
93,1,1,Talking to other people,I don't want to talk to anyone.,"Follow-up: I have always been a fan of classic literature. From Shakespeare's plays to Jane Austen's novels, I find them absolutely fascinating. I enjoy how they transport me to another time and place.",DECISION: 1
94,0,0,Talking to other people,I don't want to chat with anyone.,Follow-up: I'm feeling quite overwhelmed and stressed out due to the workload and pressure at my job. I don't have the mental energy to engage in social interactions. I need some time alone to relax and recharge.,DECISION: 0
95,0,1,Talking to other people,I don't want to chat with others.,Follow-up: I have been trying to focus on my personal projects recently. I am working on a painting that I've been planning to finish for months. It's a landscape painting of my hometown.,DECISION: 1
96,1,0,Talking to other people,Talking to others is meaningless.,Follow-up: I have a pet dog. He is very loyal and always stays by my side. I feel very warm when I am with him.,DECISION: 0
97,0,1,Talking to other people,I haven't been talking to anyone.,Follow-up: I have been spending my free time reading books. I have developed a great interest in philosophy and psychology. These subjects help me to understand different perspectives of life.,DECISION: 1
98,1,1,Talking to other people,I did not talk to anyone.,"Follow-up: I am a huge fan of historical fiction novels. Recently, I've been engrossed in a book set in the Victorian era, it's fascinating to immerse myself in a different time period.",DECISION: 1
99,0,1,Talking to other people,I did not meet anyone recently,"Follow-up: I have been spending a lot of time learning to cook new recipes. It's a fun and productive way to spend time, plus I get to enjoy some delicious meals at the end!",DECISION: 1
100,0,0,Talking to other people,I did not meet anyone these days,"Follow-up: I have been working from home due to the pandemic, so I don't get to meet people in person as much as I used to. I mainly interact with others through online meetings and calls, which is not the same as face-to-face communication. I miss the casual interactions and small talks with colleagues at the office.",DECISION: 0
101,1,1,Talking to other people,I did not chat with anyone recently,Follow-up: I'm planning to start a new hobby to occupy my time. I'm thinking of painting or playing a musical instrument. It's a great way to express myself and keep my mind active.,DECISION: 1
102,0,0,Talking to other people,I did not chat with anyone these days,"Follow-up: I've been keeping to myself lately due to personal reasons and the pandemic situation. I have been focusing more on introspection and spending time with myself. I've also been avoiding social media and other platforms where I usually interact with others. It's not that I have issues with anyone, it's just a phase where I am not feeling social.",DECISION: 0
103,0,0,Talking to other people,I don't like to talk to others,"Follow-up: I prefer solitude and quiet times, as opposed to being in social gatherings. I usually get overwhelmed by the noise and the need to keep up with conversations. I find it draining and it usually leaves me feeling exhausted. I enjoy my own company and I find peace in being alone.",DECISION: 0
104,0,0,Talking to other people,I don't like to talk to anyone,Follow-up: I have always been an introvert and I find it difficult to express myself to others. I feel more comfortable when I am alone. I feel drained when I'm around people for large amounts of time. I prefer solitude and engaging in activities that I can do alone.,DECISION: 0
105,1,1,Talking to other people,I prefer not to talk to anyone,Follow-up: I have a cat named Whiskers. She's a lovely Persian cat with a fluffy white coat. She's my best companion and we spend a lot of time together.,DECISION: 1
106,0,0,Talking to other people,I prefer to stay alone.,Follow-up: I have been focusing on my studies lately. My university is on the other side of the country so I don't get to see my friends from my hometown very often.,DECISION: 0
107,0,0,Talking to other people,I be alone the whole time,"Follow-up: By saying I'm alone the whole time, I mean that I'm not really participating in social activities. I spend most of my time by myself, reading, or watching movies. I have a few close friends, but we don't get to see each other often due to our busy schedules. I've also been feeling a bit anxious about initiating conversations with new people, which makes it harder for me to expand my social circle.",DECISION: 0
108,0,0,Expressing feelings to other people,I never share my feelings with others.,"Follow-up: I tend to keep my thoughts and emotions to myself because I fear being misunderstood or judged. I've had past experiences where I've shared my feelings and it hasn't been received well, which has made me more reserved. I believe it's easier to deal with things on my own than to burden others with my problems.",DECISION: 0
109,0,0,Expressing feelings to other people,I hardly ever share my feelings with others.,"Follow-up: I have a dog named Max. He's been with me for three years now. He's a golden retriever and he's my best friend. Despite not being a human, he sometimes understands me better than people do.",DECISION: 0
110,0,0,Expressing feelings to other people,I never get mad at others.,"Follow-up: By that, I mean I have learned to control my anger and emotions. Instead of lashing out immediately, I take some time to understand the situation and express my feelings in a calm and composed way. I believe it's not productive to get mad and it could potentially ruin relationships. This doesn't mean I don't feel anger, but I choose not to express it in a harmful way.",DECISION: 0
111,1,1,Expressing feelings to other people,I never express anger to others.,"Follow-up: Lately, I've been into gardening. It's a great way to relax and feel close to nature. I enjoy seeing the progress of the plants I've grown from seeds. It's extremely gratifying.",DECISION: 1
112,1,1,Expressing feelings to other people,I hardly ever express my feeling to others.,Follow-up: I have a pet dog. He's a golden retriever and his name is Max. He's very playful and keeps me busy.,DECISION: 1
113,1,1,Expressing feelings to other people,I don't talk to my family and colleagues.,Follow-up: I have been learning to play the piano for the past five years. It's something that I really enjoy and helps me to manage stress.,DECISION: 1
114,0,0,Expressing feelings to other people,I don't talk to my friends.,"Follow-up: I am a painter. I spend most of my time in my studio, working on my canvas. Painting is my passion and it's my way of expressing emotions.",DECISION: 0
115,1,0,Expressing feelings to other people,I don't talk to my family.,Follow-up: I recently started painting as a hobby. It has been a wonderful way for me to express my emotions and feelings without having to use words. I even had a few of my pieces displayed at a local art show.,DECISION: 0
116,0,0,Expressing feelings to other people,I don't talk to my parents.,"Follow-up: I have always found it hard to express my feelings to my parents. We have a kind of relationship that is more formal than emotional. This has caused a distance between us and I feel like I can't confide in them about my problems, thoughts or feelings.",DECISION: 0
117,0,0,Expressing feelings to other people,I don't talk to my mom.,"Follow-up: I have a hard time expressing my feelings to my mom because she never seems to understand or validate them. I've tried to communicate my thoughts and emotions to her in the past, but it often ends up in conflict. Not talking to her seems to be the best way to avoid these confrontations.",DECISION: 0
118,0,0,Expressing feelings to other people,I don't talk to my father.,"Follow-up: I don't communicate with my father because we had a falling out a few years ago over personal issues. We haven't managed to mend our relationship since then. Our conversations are rare and when they occur, they're usually tense and uncomfortable. This has definitely impacted my ability to express my feelings to him.",DECISION: 0
