idx,stage,y_true,y_pred,statement,candidate,raw
19,stage2,0,0,I always forget to schedule an appointment with my doctor. I don't feel like its necessary at this point.,Scheduling an appointment might not be that hard. There could be other ways to setup a regular schedule and have someone remind me.,DECISION: 0
20,stage2,0,0,I don't organize my house that often. I'm too lazy to do it.,Why did I pile things up in the first place? Do I have to organize them all at once? ,DECISION: 0
21,stage2,0,0,I can't be bothered to clean my house. It's not like that's gonna kill me.,Are there some advantages to have a clean room? Are there troubles I'm facing for not cleaning it?,DECISION: 0
22,stage2,0,0,"I want to clean my apartment once a week, but I'm hardly doing it.",Is it ok to not do it because it doesn't look messy? Would it be easier for me overall just to do it regularly?,DECISION: 0
23,stage2,0,0,I awlays pile my trash up. I think it just doesn't bother me.,"Would it bother other people that come visit me? Doesn't it consistently annoys me, even just a little? Is there any specific and logical reason that I pile up trash?",DECISION: 0
24,stage2,0,0,I don't like to talk to other people. I always start an argument.,People don't agree with each other all the time and they still talk. Why did I heat the conversation anyways?,DECISION: 0
25,stage2,0,0,I find it very tiring to talk to other people. I have to care about what they think.,Will people get mad that easily? Is it really my fault that people gets mad at what I say? Can I find other people to talk to?,DECISION: 0
26,stage2,1,1,I don't have anyone to talk to. No one really finds me to talk.,There really nothing I can do.,DECISION: 1
27,stage2,0,0,"I don't know what to talk about with others, so I just don't talk to anyone.",Is every conversation meant to be profound or interesting? Aren't casual and light-hearted exchanges about non-exciting daily lives also valuable for building relationships?,DECISION: 0
28,stage2,1,1,"I don't know what to talk about with others, so I just don't talk to anyone.",There is no way around that. I'm just not an interesting person.,DECISION: 1
29,stage2,0,0,"I'm afraid I might say something out of place in a conversation, that's why I never start a conversation.",Is there any reason that saying something out of place is unacceptable? Do others not talk about things that are out of place? ,DECISION: 0
30,stage2,0,0,I find it hard to express my feelings. I don't reall express my feelings to anyone honestly.,"Is there evidence that expressing my feelings will always lead to negative judgments or rejection? Could there be benefits to opening up that I'm not considering, like deepening relationships or receiving support?",DECISION: 0
31,stage2,0,0,I find it hard to express my feelings. I don't reall express my feelings to anyone honestly.,"Is there evidence that expressing my feelings will always lead to negative judgments or rejection? Could there be benefits to opening up that I'm not considering, like deepening relationships or receiving support?",DECISION: 0
32,stage2,0,0,I want to express my feelings to other people but I don't know how to do it correctly.,"Is there a perfect way to express feelings, or is it more about the effort and intention behind the communication? Could my fear of doing it wrong be preventing me from the opportunity to learn and improve through practice?",DECISION: 0
33,stage2,0,0,I don't express my feelings to others because I think that will make me vulnerable. I want to portray myself as a strong individual.,"Is vulnerability truly a weakness, or can it be a strength that leads to closer, more authentic relationships? Have there been instances where others' openness has led me to respect and connect with them more deeply?",DECISION: 0
34,stage2,0,0,I don't see the reason to express my feelings to others. I'm fine keeping them to myself.,"Could there be benefits to sharing my feelings that I'm overlooking, such as deepening connections or gaining different perspectives? Might keeping everything to myself limit the support and understanding I could receive from others?",DECISION: 0
35,stage2,0,0,"When making decisions, I don't usually put safety as a concern. There are others things that I think about first and then I often ignore safety.",Is it possible that integrating safety into decision-making can actually lead to more sustainable and positive outcomes? Could overlooking safety lead to unnecessary risks that might undermine my goals?,DECISION: 0
36,stage2,0,0,"I would like to be safe, but I'm not thinking about it that often when making decisions. It's just not something that I would always remember to consider.",Could neglecting safety actually lead to consequences that are dangerous? Might there be a way to incorporate safety without significantly hindering my decision-making process?,DECISION: 0
37,stage2,0,0,I'm always worried about my personal safety and I miss a lot of opportunities because of it.,Is my level of worry about safety in proportion to the actual risks involved? Are there opportunities I've missed that had manageable risks or where precautions could have been effectively employed?,DECISION: 0
38,stage2,1,1,I'm always worried about my personal safety and I miss a lot of opportunities because of it.,Why would other people not put their safety first?,DECISION: 1
39,stage2,0,0,I take a lot of risk. I like the thrill.,Is the thrill I seek from high-risk situations truly worth the potential outcomes? Could there be other ways to find excitement and fulfillment that don't compromise my safety or well-being?,DECISION: 0
40,stage2,0,0,"I feel like taking risk is a necessary part of everyone's life, but sometimes I get frustrated because I cannot control the outcome.",Is it possible to embrace the uncertainty that comes with risk without feeling overwhelmed by it? How can I differentiate between taking calculated risks and leaving too much to chance?,DECISION: 0
41,stage2,0,0,I take no risks and that often blocked me to do many important things.,Could my aversion to risk be limiting my potential more than protecting me? What important experiences or growth opportunities might I be missing out on due to this cautious approach?,DECISION: 0
42,stage2,0,0,My sleeping schedule is all over the place. I have trouble falling alseep and waking up.,"Is this situation truly fixed, or might there be strategies and habits I haven't explored yet? Have I considered all possible factors that could be influencing my sleep, from environment to routine?",DECISION: 0
43,stage2,0,0,I find it very difficult to have a nice sleep. I can't fall asleep at night and I am always tired in the morning but I still couldn't sleep.,"Could there be underlying issues or habits contributing to this sleep dilemma that I haven't fully addressed? What steps can I take to break this cycle, even if they seem small or incremental at first?",DECISION: 0
44,stage2,0,0,I feel like I want to sleep too much. I feel tired during the day even when I had a long time to sleep. I can't control myself to keep wanting to sleep.,"Is the quantity of sleep the real issue, or could the quality of my sleep be lacking? Are there factors in my lifestyle or health that I haven't considered that might be affecting my energy levels throughout the day?",DECISION: 0
45,stage2,0,0,I feel like I want to sleep too much. I feel tired during the day even when I had a long time to sleep. I can't control myself to keep wanting to sleep.,"Is the quantity of sleep the real issue, or could the quality of my sleep be lacking? Are there factors in my lifestyle or health that I haven't considered that might be affecting my energy levels throughout the day?",DECISION: 0
46,stage2,0,0,"I'm not eating regularly, especially for breakfast and lunch. I always skip them when  I'm busy.","Is skipping meals genuinely saving me time, or could it be impacting my productivity and energy levels negatively? Might there be a way to incorporate quick and nutritious meals into my busy schedule?",DECISION: 0
47,stage2,0,0,"I eat whenever I can't stand the hunger, so I end up eating at very different times.","Could this reactive approach to eating be less about my schedule's unpredictability and more about not prioritizing meal planning? Might there be a way to introduce some regularity into my eating habits, even with a fluctuating schedule?",DECISION: 0
48,stage2,0,0,I don't really eat much at all. I'm always feel full even after eating a little and feel disgusted to eat more.,Is this feeling of fullness a sign that I need to look more closely at my dietary habits or health? Could there be underlying factors affecting my appetite that I haven't considered?,DECISION: 0
49,stage2,1,1,I don't really eat much at all. I'm always feel full even after eating a little and feel disgusted to eat more.,Why would I eat more things when I am not hungry? I can also lose weight because I don't eat much.,DECISION: 1
50,stage2,0,0,I eat way too much thing. I just can't stop.,"Is my overeating truly beyond my control, or are there triggers and habits contributing to this pattern that I can identify and address?",DECISION: 0
51,stage2,0,0,I skip a lot of school. It's so boring to be there.,Could this boredom be a sign that I need to engage more actively or find new ways to make the learning process more interesting for myself? Are there opportunities within school that I haven't explored yet that could make it more fulfilling?,DECISION: 0
52,stage2,1,1,I skip a lot of school. It's so boring to be there.,Isn't most of what I learn in school going to be useless for me afterwards anyways?,DECISION: 1
53,stage2,0,0,I'm not showing up for work on time. I'm always tired out and feel so much pain when going to work.,"Is the exhaustion and pain I'm feeling a sign of deeper issues, like burnout or health concerns, that I haven't fully addressed? What steps can I take to understand and mitigate these feelings?",DECISION: 0
54,stage2,0,0,I don't like to go to school at all. I'm not doing very well and I don't wanna face it.,Could avoiding school be worsening my academic challenges rather than alleviating them? What resources or support might I be missing out on by not facing the situation?,DECISION: 0
55,stage2,0,0,"I really depends on the day, but I might be not showing up too much. If I wake up and feel tired, then I'm more likely to not go.",Is my daily energy level the sole factor I should rely on for important commitments like school or work? Might there be ways to manage my energy more effectively or to motivate myself even on low-energy days?,DECISION: 0
56,stage2,0,0,I have not taken any day off recently. I have class almost everyday and lots of work to do.,"Is continuously working without a break truly the most effective way to manage my responsibilities, or could it be diminishing my productivity and well-being over time? Might there be benefits to scheduling regular breaks that I'm overlooking?",DECISION: 0
57,stage2,0,0,I have not taken any day off recently. I have class almost everyday and lots of work to do.,"Is continuously working without a break truly the most effective way to manage my responsibilities, or could it be diminishing my productivity and well-being over time? Might there be benefits to scheduling regular breaks that I'm overlooking?",DECISION: 0
58,stage2,0,0,I take only maybe a small fraction of a day to rest. There is too much going on and I feel like I don't have the time to stop and relax.,"Could this constant push for productivity actually be counterproductive, perhaps leading to diminished quality of work and increased stress? How might my performance and well-being improve with more balanced rest periods?",DECISION: 0
59,stage2,0,0,The work life balance is horrible. I get no day off even on the weekends and that is really bothering me.,"Is it really impossible to find some downtime, or am I just stuck in this cycle because that's how it's always been? What would happen if I actually scheduled a break for myself?",DECISION: 0
60,stage2,0,0,"To be honest, I miss a lot of my appointments. Sometimes when I start doing something, I lose track of time and forget about other plans.","Could there be a better way to keep track of things? Like, maybe I'm not using reminders effectively, or I could be underestimating how much time tasks actually take.",DECISION: 0
61,stage2,0,0,"I often miss my appointments. The idea of having an obligation to do something at a specific time just bothers me, and so I  run away from it.","Is it the commitment itself that's bugging me, or is it more about how I'm looking at these obligations? Maybe there's a way to view them differently, so they don't feel so constricting.",DECISION: 0
62,stage2,0,0,"I often miss my appointments. The idea of having an obligation to do something at a specific time just bothers me, and so I  run away from it.","Is it the commitment itself that's bugging me, or is it more about how I'm looking at these obligations? Maybe there's a way to view them differently, so they don't feel so constricting.",DECISION: 0
63,stage2,0,0,I can't show up or do every obligation. I feel like everything urges me at the same time and I just have too much going on.,"Is it really that everything is urgent, or am I having a hard time setting priorities? Maybe there's a way to sort through all this stuff and figure out what needs my focus first.",DECISION: 0
64,stage2,0,0,I feel likely I might be spending to much lately. Rent is crazy and there are too many things that I feel are necessary to buy.,"Is everything I'm buying really a must-have, or could I be mixing up wants with needs? Maybe there's a way to dial it back a bit without feeling like I'm missing out.",DECISION: 0
65,stage2,0,0,"I am spending a lot, probably more than I have too. I often lose track of how much I spend even when I don't buy really expensive stuff.",Am I really paying attention to all those smaller expenses? Maybe they're piling up more than I realize. Could keeping a closer eye on these help me get a handle on my spending?,DECISION: 0
66,stage2,0,0,"I almost buy nothing and I thinks its problematic now. I only buy things when I think its necessary, but I've had many times when I regret not getting something that I actually needed.","Could my strict rules on what's necessary be too rigid, leading me to miss out on things that could genuinely improve my life or solve a problem?",DECISION: 0
67,stage2,0,0,I am not eating healthy at all. I hate to eat vegetables. The taste of it is just unbearable for me.,"Is it all vegetables I dislike, or have I just not found the right ones or the right ways to prepare them? Could there be recipes out there that make them more palatable?",DECISION: 0
68,stage2,0,0,I definitely need to eat more healthy and nutritious stuff. I don't have much time or skills to cook. That's why I eat outside a lot and most of the foods are oily and calorie.,"Could there be quicker, healthier meal options that I haven't explored yet? Maybe I'm overestimating the time and skill needed to prepare something nutritious.",DECISION: 0
69,stage2,0,0,I definitely need to eat more healthy and nutritious stuff. I don't have much time or skills to cook. That's why I eat outside a lot and most of the foods are oily and calorie.,"Could there be quicker, healthier meal options that I haven't explored yet? Maybe I'm overestimating the time and skill needed to prepare something nutritious.",DECISION: 0
70,stage2,0,0,"I've been going on a pretty strick vegetarian diet, but I think my body is not responding well. I wanted to lose weight and become healthier, but I started to feel sick after going into this diet.","Is my vegetarian diet well-balanced, or could I be missing out on essential nutrients? Maybe the issue isn't the diet itself but how I'm approaching it.",DECISION: 0
71,stage2,0,0,"I am terrible at making decisions. I've always had someone take care of things for me, but now I'm living alone and having trouble to decide what needs to be done.","Could it be that I'm not used to making decisions, rather than not being capable of it? What small steps can I take to become more confident in my decision-making abilities?",DECISION: 0
72,stage2,0,0,"I always need a long time to make decisions. When I have a choice to make, I often can't determine which is better than the other, and I also cannot just decide on one and see what happens, so I get stuck.","Is there really a wrong decision, or are most choices just different paths with their own sets of pros and cons? What's the worst that could happen if I make a decision and it's not perfect?",DECISION: 0
73,stage2,0,0,"I'm bad at solving tough problem that has a lot of stakes to consider. When I encounter such a problem, I panic and lose focus.","Is the panic really about the problem itself, or is it more about how I'm approaching it? Maybe breaking it down into smaller, more manageable parts could help me tackle it without getting overwhelmed.",DECISION: 0
74,stage2,0,0,"I'm bad at solving tough problem that has a lot of stakes to consider. When I encounter such a problem, I panic and lose focus.","Is the panic really about the problem itself, or is it more about how I'm approaching it? Maybe breaking it down into smaller, more manageable parts could help me tackle it without getting overwhelmed.",DECISION: 0
75,stage2,0,0,"I am not supported by my family. I seem to always want to do things that's against what my family wants, so I feel disconnected with them.",Could there be a way to communicate my goals and desires to my family in a way that they might understand better? Is there a middle ground where we can respect our differences but still find some common support?,DECISION: 0
76,stage2,0,0,I don't know. I like to keep everything to my self so I barely talk to them. I don't know if they will support me and I'm  hesitant to find out.,Could my assumption that they won't understand or support me be based more on fear than reality? What might happen if I took a small step to share something with them?,DECISION: 0
77,stage2,0,0,My family does not support me. They don't like my job and we are barely seeing each other.,"Is the distance between us solely because of my job, or could there be other underlying issues? What steps could I take to address this divide, even if they don't agree with my career?",DECISION: 0
78,stage2,0,0,My family does not support me. They don't like my job and we are barely seeing each other.,"Is the distance between us solely because of my job, or could there be other underlying issues? What steps could I take to address this divide, even if they don't agree with my career?",DECISION: 0
79,stage2,0,0,My relationship with my family members is not too well. My parents always fights and I moved out as soon as I could.,"Is the distance from my family solely a result of the conflicts, or are there ways I can build individual relationships with them despite the past? ",DECISION: 0
80,stage2,0,0,I feel like I'm not too close to my family anymore. I am very busy at work and often forget to contact them or meet them.,"Is my busy schedule the only reason for the growing distance, or could I find small ways to stay connected even amidst the chaos? Maybe there are simple, quick methods of communication I haven't considered.",DECISION: 0
81,stage2,0,0,I feel like I'm not too close to my family anymore. I am very busy at work and often forget to contact them or meet them.,"Is my busy schedule the only reason for the growing distance, or could I find small ways to stay connected even amidst the chaos? Maybe there are simple, quick methods of communication I haven't considered.",DECISION: 0
82,stage2,0,0,"I am not a very emotional person, so I don't feel like I have a strong connection with my family. Honestly, I don't feel a strong connection with anyone.","Is emotional expressiveness the only way to connect with others, or could there be different ways to build strong relationships that align with my personality?",DECISION: 0
83,stage2,0,0,"I often drink alone and a lot. When I get stressed, I like to drink alcohol to temprorarily forget about what I need to do.","Is relying on alcohol to cope with stress really helping, or is it just a temporary band-aid that might be causing more issues in the long run? What healthier coping mechanisms could I explore?",DECISION: 0
84,stage2,0,0,I think I'm drinking too much and my body is getting worse. I just love the taste of it and the feeling of getting drunk. ,"Could there be a way to enjoy the aspects I like about drinking in moderation, or find alternative activities that provide a similar sense of enjoyment without the negative health effects?",DECISION: 0
85,stage2,0,0,I can't live without alcohol. I need it to relax and sleep at night.,"Is there a way to address the underlying reasons for my anxiety and sleep issues, rather than relying solely on alcohol? Could there be healthier relaxation and sleep strategies I haven't explored?",DECISION: 0
86,stage2,0,0,"I often drink alone and a lot. When I get stressed, I like to drink alcohol to temprorarily forget about what I need to do.","Is relying on alcohol to cope with stress really helping, or is it just a temporary band-aid that might be causing more issues in the long run? What healthier coping mechanisms could I explore?",DECISION: 0
87,stage2,0,0,"I don't smoke cigarettes, but I vape every day. I vape when I am working hard or debugging.  ",Sometimes vaping doesn't help with my concentration during work or efficiency while I am debugging. There are long-term harm to health if I vape a lot as well.,DECISION: 0
88,stage2,0,0,"I don't smoke cigarettes, but I vape every day. I vape when I am working hard or debugging.  ",There are several potential health impacts of vaping. It's bad for my lung.,DECISION: 0
89,stage2,1,1,"I don't smoke cigarettes, but I vape every day. I vape when I am working hard or debugging.  ","I should stop vaping immediately. Other people can manage stress without vaping, so I should be able to as well.",DECISION: 1
90,stage2,0,0,I smoke at most 10 cigarettes per day. I smoke because some of my colleagues also smoke in between work. So I just join them.,There might be other healthier ways I can hangout with my colleagues.,DECISION: 0
91,stage2,0,0,I smoke at most 10 cigarettes per day. I smoke because some of my colleagues also smoke in between work. So I just join them.,There might be other healthier ways I can hangout with my colleagues and taking breaks.,DECISION: 0
92,stage2,0,0,I smoke weed a few times a week alone. I need to take some weed to help me get inspirations for my work. ,There are sometimes I get inspiration and feel good after I hangout with my friends in a jazz bar.,DECISION: 0
93,stage2,0,0,I smoke weed a few times a week alone. I need to take some weed to help me get inspirations for my work. ,Somking weed does not always bring me inspirations. Sometimes it gets me depressed instead.,DECISION: 0
94,stage2,0,0,I smoke weed a few times a week alone. I need to take some weed to help me get inspirations for my work. ,Somking weed does not always bring me inspirations. Sometimes it gets me depressed instead.,DECISION: 0
95,stage2,0,0,"Every evening, after a long day of work, I feel mentally drained and anxious about the next day. To relax and escape these feelings, I've begun to drink alcohol or occasionally use prescription drugs alone at home. It started as a way to take the edge off after particularly tough days, but now it has become a routine.",Use the substances and drink will harm my health in the long term.,DECISION: 0
96,stage2,0,0,I don't have too much personal leisure time recently. I am too busy with upcoming deadlines in school.,"Sometimes I when I work for my deadlines, I am not efficient. ",DECISION: 0
97,stage2,1,1,"I'm currently a PhD student in electric engineering, deeply immersed in my research. My days are filled with experiments, data analysis, and writing academic papers. When I'm not working on my research, I find myself without any clear idea of what to do for leisure. My social circle has become quite limited, mostly consisting of fellow researchers and academics, and our conversations often circle back to work and studies. And I will feel guilty if I really spend time on my hobbies, like watching movies and go shopping.","If I push myself into social events or start a new hobby immediately, I'll stop feeling this way.",DECISION: 1
98,stage2,1,1,"I'm currently a PhD student in electric engineering, deeply immersed in my research. My days are filled with experiments, data analysis, and writing academic papers. When I'm not working on my research, I find myself without any clear idea of what to do for leisure. My social circle has become quite limited, mostly consisting of fellow researchers and academics, and our conversations often circle back to work and studies. And I will feel guilty if I really spend time on my hobbies, like watching movies and go shopping.","I should start to try to think turn some tasks in my research into something I treat as fun thing during my ""leisure time.""",DECISION: 1
99,stage2,0,0,"I recently retired after a 30-year career in elementary education, which was both my job and my passion. Now, with ample free time and a lack of routine, I feel lost and directionless. My days, previously filled with teaching. But now I am at a loss. I used to have hobbies like gardening and reading, but I've lost interest in them over the years. I lost my habbits and my friends and family are still busy. ",It might be a new start for me to explore other hobbies. There are other retired people like me in my community.,DECISION: 0
100,stage2,0,0,No. I am not a creative person. It's hard for me to create something out-of-the-box. I am used to follow instructions.,"I think I am not creative enough because I am living in a routine lifestyle after I join my current job and haven't being creating things for years. Maybe it's not I am creative enough, instead, it might be I am not dare to create things.",DECISION: 0
101,stage2,0,0,"I don't like to create new things. I feel sometimes it is risky to be creative. I though I was creative and designed my walk-in closet. Then when I was using my closet now, I realized that I should just follow the expert suggestions. ",I wish I could be a creative person and my parents said I was creative when I was a child.,DECISION: 0
102,stage2,0,0,Emm. I haven't done any creative work recently. I just don't know what are the creative things I can do.,Maybe creativity isn't limited to activities like painting or writing. I did housework any reorganize my desk.,DECISION: 0
103,stage2,0,0,I don't participate in any event in my community. I just moved to a new city. And I am afraid of making new friends.,I might make the decision too early about being uncomfortable.,DECISION: 0
104,stage2,0,0,"My issue is social anxiety, specifically in group settings or parties.",I can challenge these negative thoughts by asking myself: Is there any real evidence that people are constantly judging me? Have I actually embarrassed myself in every social situation I've been in? Have there been times when people genuinely seemed interested in talking to me?,DECISION: 0
105,stage2,1,1,I am an introverted person. I do not enjoy community activities. I feel uncomfortable when there are many people. I prefer to be alone.,I just like to be alone or with my close friends only.,DECISION: 1
106,stage2,0,0,"I feel like I have language barrier to participate in community event. I am a Chinese, but the county I live in are filled with Korean and Americans.","There might be some local events that are non-verbal. I could start with joining some sports club, which does not need too much communication.",DECISION: 0
107,stage2,0,0,Community events are waste of time. I am too busy with my work. I just want to spend my time on things I am interested in after work.,There might be some community events possibly align with my interests or offer a valuable break from work. ,DECISION: 0
108,stage2,0,1,"Other than family members, I don't have any social support. I don't have true friends.",Some people get pet to become their emotional support.,DECISION: 1
109,stage2,0,0,"Outside of my family, I don't have a social network. Most of my weekdays are consumed by long hours at work, and I often bring work home. Due to the demanding nature of my job, I find little time to socialize or engage in activities outside of my professional life. ",It seems like some of my colleagues have same interests with me. It might worth to try to connect with them outside of work.,DECISION: 0
110,stage2,1,1,I sometimes feel like I lack a broader network of friends or individuals I can rely on for emotional support and guidance. I don't trust people around me. So I regrad no one as support.,I was betrayed by my best friend before. I don't like to trust others.,DECISION: 1
111,stage2,1,1,I don't have other close support. I am strong enough to rely everything on myself.,Social support is not neccessary for me. I always believe I need to rely on myself and believe myself.,DECISION: 1
112,stage2,0,1,"I don't hangout with my friends or colleagues. I don't socialize outside of work or formal meetings. While I have friends and colleagues, I don't often make plans to hang out with them in a more relaxed or informal setting.","I prioritize work other than socialize and hangout with friends and colleagues. Even when I go out for dinner with my colleagues, I just want to discuss work-related topics with them.",DECISION: 1
113,stage2,0,0,"My days are usually long, and by the time I finish work, I feel too tired to socialize. I have a few close friends and get along well with my coworkers, but I rarely spend time with them outside of work.  I spend most of my weekends catching up on rest.",Perhaps there are ways to integrate social activities into my schedule without them being overly draining or time-consuming.,DECISION: 0
114,stage2,0,0,"I have a team that I get along with, and I'm friendly with a few people in other departments. However, I rarely join them for lunches or after-work gatherings. Last time I went out, I felt awkward and left early. Since then, I've been avoiding social events.",Is it true that all social events will be uncomfortable based on one awkward experience? ,DECISION: 0
115,stage2,0,0,"I’ve stopped trying to socialize with my colleagues and spend my evenings working or alone. I have colleagues who occasionally go out after work, but I usually decline their invitations. Last time I joined them, I felt out of place and didn't contribute much to the conversation. I think they didn’t enjoy my company. ","Is it fair to assume that one less-than-ideal experience means all future social interactions will be the same? Perhaps my colleagues have different perspectives on that evening, and my assumption may not be entirely accurate.",DECISION: 0
116,stage2,0,0," I've been feeling a bit distant from my partner. We've had a few disagreements, and sometimes I find it hard to express my feelings. Last week, we had a discussion about future plans, and it didn't go well. I started feeling like maybe we're not right for each other, and I've been avoiding deep conversations since then.","Is it realistic to expect agreement on everything in a relationship? Disagreements are normal, and they don't necessarily mean we're incompatible. ",DECISION: 0
117,stage2,0,0,I don't feel comfortable with my boyfriend. He is too dominant. He doesn't listen to me if we have any disagreement.,I haven't pay efforts to communicate my feelings about this behavior to my boyfriend.,DECISION: 0
118,stage2,0,1,"I don't feel comfortable with my partner. She demands too much on sex. Even if I am too tired after work, she may push me to have sex. Although I mentioned my feeling to her a few times.",Do I still want to be with her considering her demands compromise my health and even mental well-being?,DECISION: 1
119,stage2,0,0,"No. I am involved in a domestic violence case with my husband right now. My husband hit me, and we are in a long-distance relationship. I don't know how to solve the situation. I don't want to divorce. As my friends and family will judge me. You know, my culture. ",Perhaps I can start to look for confidential resources like hotlines or online counseling where I can discuss my situation anonymously. ,DECISION: 0
120,stage2,0,0,"No. I am involved in a domestic violence case with my husband right now. My husband hit me, and we are in a long-distance relationship. ",I might want to talk to a trusted friend to get some objective feedback about my situation.,DECISION: 0
121,stage2,0,0,We might engage in risky sexual behaviors. We are aware of the risks but sometimes feel pressured or tempted to not take precautions.,Unprotected sex increase the possibility of sexually transmitted infections and unintended pregnancies. And I am not ready for a baby yet.,DECISION: 0
122,stage2,0,0,I might have risky sexual behaviors. I don't have too much experiences in this field. I was just following what my partner said. But it feels wired.,Is it true that my lack of experience means I should ignore my feelings of discomfort? Can I communicate my feelings and concerns with my partner and seek more information to make informed decisions? ,DECISION: 0
123,stage2,0,0,I've been noticing that my productivity at work has decreased recently. I'm struggling to complete tasks on time and often find myself procrastinating or getting distracted by minor issues.,"Productivity can be influenced by many factors, including workload, stress, work environment... Maybe I am too stressful, so I am less productive.",DECISION: 0
124,stage2,0,0," I've been feeling really unproductive at work lately. Despite my efforts, I always seem to be behind on my tasks, and it feels like my colleagues are achieving much more than I am.",It's unfair to compare my progress with others without knowing their unique challenges and circumstances.,DECISION: 0
125,stage2,0,0,"I am not productive recently. Recently, I've been struggling to keep up with my workload at work. It seems like no matter how much I do, there's always more piling up, and I end up feeling overwhelmed and unproductive.","Yeah, challenge my thoughts, right? Am I the only who feel less productive recently? I might want to check with my coworkers and my mentors to see what do they think about my performance.",DECISION: 0
126,stage2,0,0,"I am not too motivated for school. I have a big project due at work in a week, but I've been procrastinating and feeling overwhelmed. I'm worried I won't finish it on time. The overwhelming feeling makes me trying to avoid it.","It's a big and important project. But if I cannot finish it on time, it might be possible for me to ask for an extension on the project.",DECISION: 0
127,stage2,0,0,"I am lossing some motivation about my work now. I recently received feedback on a work project, and although most of it was positive, there was one area where my performance was criticized. Since then, I've been feeling really demotivated about my job.","Everyone makes mistakes, and one area of criticism doesn't negate all my achievements and skills. ",DECISION: 0
128,stage2,0,0,"Not actually, I am not that motivated for my work. I recently applied for a promotion at work but was turned down. I've been feeling extremely discouraged and starting to doubt my abilities. ","I'm taking this one rejection and applying it to my entire career, viewing things in black-and-white terms (success or failure), and predicting a bleak future based on this single event.",DECISION: 0
129,stage2,0,0,"I don't have a really good coping skill. After a long and stressful day at work, I find myself feeling overwhelmed. I notice that I often resort to sitting on the couch and mindlessly scrolling through social media for hours. I still feel overwhelmed or even more directionless afterward.",There might be more active ways to manage my stress that I haven't tried.,DECISION: 0
130,stage2,0,1,"I don't have coping skills. When I face challenges, I notice that my usual response is to isolate myself and ruminate over what happened, often leading to increased anxiety and a sense of hopelessness.","Is it really true that ruminating on my problems is the only way I can cope? This approach works sometimes, especially when I have actually done something inappropriate.",DECISION: 1
